HCH_012_153_000001	宋禮，字大本，河南永寧人。
HCH_012_153_000370	忱適赴京，言庫貯牛皮，歲久朽腐，請出煎膠，俟歸市皮償庫。
HCH_012_153_000371	土木之變，當國者議，欲焚通州倉，絕寇資。
HCH_012_153_000372	忱適議事至，言倉米數百萬，可充京軍一歲餉，令自往取，則立盡，何至遂付煨燼。
HCH_012_153_000373	頃之，詔趣造盔甲數百萬。
HCH_012_153_000374	忱計明盔浴鐵工多，令且沃錫，數日畢辦。
HCH_012_153_000375	忱既被劾，帝命李敏代之，敕無輕易忱法。
HCH_012_153_000376	然自是戶部括所積余米為公賦，儲備蕭然。
HCH_012_153_000377	其後吳大饑，道堇相望，課逋如故矣。
HCH_012_153_000378	民益思忱不已，即生祠處處祀之。
HCH_012_153_000379	景泰四年十月卒。
HCH_012_153_000380	謚文襄。
HCH_012_153_000381	況鍾等自有傳。
HCH_012_153_000382	贊曰：宋禮、陳瑄治河通運道，為國家經久計，生民被澤無窮。
HCH_012_153_000383	周忱治財賦，民不擾而廩有餘羨。
HCH_012_153_000384	此無他故，殫公心以體國，而才力足以濟之。
HCH_012_153_000385	誠異夫造端興事，僥一時之功，智籠巧取，為科斂之術者也。
HCH_012_153_000386	然河渠之利，世享其成，而忱之良法美意，未幾而澌滅無余，民用重困。
HCH_012_153_000387	豈非成功之有跡者易以循，而用法之因人者難其繼哉。
HCH_012_153_000388	雖然，見小利而樂紛更，不能不為當日之嘵嘵者惜也。
