HCH_012_196_000001	張璁，字秉用，永嘉人。
HCH_012_196_000309	繼統者，天下之公，三王之道也。
HCH_012_196_000310	繼嗣者，一人之私，後世之事也。
HCH_012_196_000311	興獻之得稱帝者，以陛下為天子也。
HCH_012_196_000312	不得稱宗者，以實未嘗在位也。
HCH_012_196_000313	伏乞宣示朝臣，復稱孝宗曰『皇伯』，興獻帝曰『皇考』，別立廟祀之。
HCH_012_196_000314	夫然後合於人情，當乎名實，非唯得先王制禮之意，抑亦遂陛下純孝之心矣。
HCH_012_196_000315	疏具，見廷臣方抵排異議，懼不敢上，為桂萼所見，與席書疏並表上之。
HCH_012_196_000316	帝大喜，立下廷議。
HCH_012_196_000317	廷臣遂目獻夫為奸邪，至不與往還。
HCH_012_196_000318	獻夫乃杜門乞假，既不得請，則進《大禮》上下二論，其說益詳。
HCH_012_196_000319	時已召張璁、桂萼於南京，至即用為翰林學士，而用獻夫為侍講學士。
HCH_012_196_000320	攻者四起，獻夫亦力辭。
HCH_012_196_000321	帝卒用諸人議定「大禮」，由是荷帝眷與璁、萼埒。
HCH_012_196_000322	四年冬進少詹事。
HCH_012_196_000323	獻夫終不自安，謝病歸。
HCH_012_196_000324	六年召修《明倫大典》。
HCH_012_196_000325	獻夫與霍韜同里，以議禮相親善，又同赴召，乃合疏言：「自古力主為後之議者，宋莫甚於司馬光，漢莫甚於王莽。主《濮議》者，光為首，呂誨、範純仁、呂大防附之，而光之說惑人最甚。主哀帝議者，莽為首，師丹、甄邯、劉歆附之，而莽之說流毒最深。宋儒祖述王莽之說以惑萬世，誤後學。臣等謹按《漢書》、《魏志》、《宋史》，略采王莽、師丹、甄邯之奏，與其事始末，及魏明帝之詔，濮園之議，論正以附其後。乞付纂修官，參互考訂，俾天下臣子知為後之議實起於莽，宋儒之論實出於莽，下洗群疑，上彰聖孝。」
HCH_012_196_000326	詔語下其書於史館。
HCH_012_196_000327	還朝未幾，命署大理寺事，與璁、萼覆讞李福達獄。
HCH_012_196_000328	萼等議馬錄重辟，獻夫力爭得減死。
HCH_012_196_000329	其年九月拜禮部右侍郎，仍兼學士，直經筵日講。
HCH_012_196_000330	尋代萼為吏部左侍郎，復代為禮部尚書。
HCH_012_196_000331	《明倫大典》成，加太子太保。
HCH_012_196_000332	獻夫視璁、萼性寬平，遇事亦間有執持，不盡與附會。
HCH_012_196_000333	萼反陳洸獄，請盡逮問官葉應驄等，以獻夫言多免逮。
HCH_012_196_000334	思恩、田州比歲亂，獻夫請專任王守仁，而罷鎮守中官鄭潤、總兵官朱騏，帝乃召潤、騏還。
HCH_012_196_000335	思、田既平，守仁議築城建邑，萼痛詆之。
HCH_012_196_000336	獻夫歷陳其功狀，築城得毋止。
HCH_012_196_000337	璁、萼與楊一清構，獻夫因災異進和衷之說，且請收召謫戍削籍余寬、馬明衡輩，而倍取進士之數。
HCH_012_196_000338	帝優詔答之，寬等卒不用。
HCH_012_196_000339	獻夫以尼僧、道姑傷風化，請勒令改嫁，帝從之。
HCH_012_196_000340	又因霍韜言，盡汰僧道無牒、毀寺觀私創者。
HCH_012_196_000341	帝欲殺陳後喪，獻夫引禮固爭。
HCH_012_196_000342	尋復代萼為吏部尚書。
HCH_012_196_000343	萼、璁罷政，詔吏部核兩人私黨。
HCH_012_196_000344	獻夫言：「陸粲等所劾百十人，誣者不少。昔攻璁、萼者，以為黨而去之。今附璁、萼者，又以為黨而去之。縉紳之禍何時已。」
HCH_012_196_000345	乃奏留黃綰等二十三人，而黜儲良才等十二人。
HCH_012_196_000346	良才者，初為御史，以考察黜。
HCH_012_196_000347	上疏詆楊廷和，指吏部侍郎孟春等為奸黨，萼因請復其職。
HCH_012_196_000348	至是斥去，時論快之。
HCH_012_196_000349	安昌伯錢維圻卒，庶兄維垣請嗣爵。
HCH_012_196_000350	獻夫言外戚之封不當世及，歷引漢、唐、宋事為證。
HCH_012_196_000351	帝善其言，下廷議，外戚遂永絕世封。
HCH_012_196_000352	璁、萼既召還，羽林指揮劉永昌劾都督桂勇，語侵萼及兵部尚書李承勛。
HCH_012_196_000353	又劾御史廖自顯，自顯坐逮。
HCH_012_196_000354	已，又訐兵部郎中盧襄等。
HCH_012_196_000355	獻夫請按治永昌，毋令奸人以蜚語中善類。
HCH_012_196_000356	帝不從。
HCH_012_196_000357	獻夫遂求退，帝亦不允。
HCH_012_196_000358	給事中孫應奎劾獻夫私其親故大理少卿洗光、太常卿彭澤。
HCH_012_196_000359	帝不聽。
HCH_012_196_000360	都給事中夏言亦劾獻夫壞選法，徙張璁所惡浙江參政黃卿於陜西，而用璁所愛黨以平代，邪回之彭澤逾等躐遷太常，及他所私昵，皆有跡，疑獻夫交通賄賂。
HCH_012_196_000361	疏入，帝令卿等還故官。
HCH_012_196_000362	獻夫及璁疏辨，因引退。
HCH_012_196_000363	帝重違二人意，復令卿等如前擬。
HCH_012_196_000364	頃之，給事中薛甲言：「劉永昌以武夫劾冢宰，張瀾以軍余劾勛臣，下淩上替，不知所止，願存廉遠堂高之義，俾小人不得肆攻訐。」
HCH_012_196_000365	章下吏部。
HCH_012_196_000366	獻夫等請從甲言，敕都察院嚴禁吏民，毋得譸張亂政，並飭兩京給事御史及天下撫按官論事，先大體毋責小疵。
HCH_012_196_000367	當是時，帝方欲廣耳目，周知百僚情偽，得獻夫議不懌，報罷。
HCH_012_196_000368	於是給事中饒秀劾甲阿附：「自劉永昌後，言官未聞議大臣，獨夏言、孫應奎、趙漢議及璁、獻夫耳。漢已蒙詰譴，言、應奎所奏皆用人行政之失，甲乃指為毛舉細故，而頌大臣不已。貪縱如郭勛，亦不欲人言。必使大臣橫行，群臣緘口。萬一有逆人廁其間，奈何！」
HCH_012_196_000369	奏入，帝心善其言。
HCH_012_196_000370	下吏部再議。
HCH_012_196_000371	甲具疏自明，帝惡其不俟部奏，命削二官出之外。
HCH_012_196_000372	部謂甲已處分，不復更議。
HCH_012_196_000373	帝責令置對，停獻夫俸一月，郎官倍之。
HCH_012_196_000374	獻夫不自得，兩疏引疾。
HCH_012_196_000375	帝即報允，然猶虛位以俟。
HCH_012_196_000376	十年秋有詔召還。
HCH_012_196_000377	獻夫疏辭，舉梁材、汪鋐、王廷相自代。
HCH_012_196_000378	帝手詔褒答，遣行人蔡叆趣之。
HCH_012_196_000379	叆及門，獻夫潛入西樵，以疾辭。
HCH_012_196_000380	既而使命再至，雲將別用，乃就道。
HCH_012_196_000381	明年五月至京，命以故官兼武英殿大學士入閣輔政。
HCH_012_196_000382	初，賜獻夫銀章曰「忠誠直諒」，令有事密封奏聞。
HCH_012_196_000383	獻夫歸，上之朝，至是復賜如故。
HCH_012_196_000384	吏部尚書王瓊卒，命獻夫掌之。
HCH_012_196_000385	獻夫家居，引體自尊，監司謁見，輒稱疾不報。
HCH_012_196_000386	家人姻黨橫於郡中，鄉人屢訐告，僉事龔大稔聽之。
HCH_012_196_000387	獻夫還朝，囑大稔。
HCH_012_196_000388	會大稔坐事落職，疑獻夫為之，遂上疏列其不法數事，詞連霍韜。
HCH_012_196_000389	獻夫疏辨，帝方眷獻夫，大稔遂被逮削籍。
HCH_012_196_000390	十月彗見東井。
HCH_012_196_000391	御史馮恩詆獻夫兇奸肆巧辨，播弄威福，將不利於國家，故獻夫掌吏部而彗見。
HCH_012_196_000392	帝怒，下之獄。
HCH_012_196_000393	獻夫亦引疾乞休，優詔不允。
HCH_012_196_000394	獻夫飾恬退名，連被劾，中恧。
HCH_012_196_000395	雖執大政，氣厭厭不振。
HCH_012_196_000396	獨帝欲殺張延齡，常力爭。
HCH_012_196_000397	而其時桂萼已前卒。
HCH_012_196_000398	張璁最寵，罷相者屢矣。
HCH_012_196_000399	霍韜、黃宗明言事一不當，輒下之吏。
HCH_012_196_000400	獻夫見帝恩威不測，居職二歲，三疏引疾。
HCH_012_196_000401	帝優詔許之，令乘傳，予道里費。
HCH_012_196_000402	家居十年卒。
HCH_012_196_000403	先已加柱國、少保，乃贈太保，謚文襄。
HCH_012_196_000404	獻夫緣議禮驟貴。
HCH_012_196_000405	與璁、萼共事，持論頗平恕，故人不甚惡之。
HCH_012_196_000406	夏言，字公謹，貴溪人。
HCH_012_196_000407	父鼎，臨清知州。
HCH_012_196_000408	言舉正德十二年進士，授行人，擢兵科給事中。
HCH_012_196_000409	性警敏，善屬文。
HCH_012_196_000410	及居言路，謇諤自負。
HCH_012_196_000411	世宗嗣位，疏言：「正德以來，壅蔽已極。今陛下維新庶政，請日視朝後，御文華殿閱章疏，召閣臣面決。或事關大利害，則下廷臣集議。不宜謀及褻近，徑發中旨。聖意所予奪，亦必下內閣議而後行，絕壅蔽矯詐之弊。」
HCH_012_196_000412	帝嘉納之。
HCH_012_196_000413	奉詔偕御史鄭本公、主事汪文盛核親軍及京衛冗員，汰三千二百人，復條九事以上。
HCH_012_196_000414	輦下為肅清。
HCH_012_196_000415	嘉靖初，偕御史樊繼祖等出按莊田，悉奪還民產。
HCH_012_196_000416	劾中官趙霦、建昌侯張延齡，疏凡七上。
HCH_012_196_000417	請改後宮負郭莊田為親蠶廠、公桑園，一切禁戚裏求請及河南、山東奸人獻民田王府者。
HCH_012_196_000418	救被逮永平知府郭九臯。
HCH_012_196_000419	莊奉夫人弟邢福海、肅奉夫人弟顧福，傳旨授錦衣世千戶，言力爭不可。
HCH_012_196_000420	諸疏率諤諤，為人傳誦。
HCH_012_196_000421	屢遷兵科都給事中。
HCH_012_196_000422	勘青羊山平賊功罪，論奉悉當。
HCH_012_196_000423	副使牛鸞獲賊中交通名籍，言請毀之以安眾心。
HCH_012_196_000424	孝宗朝，令吏、兵二部每季具兩京大臣及在外文武方面官履歷進御，正德後漸廢，以言請復之。
HCH_012_196_000425	七年，調吏科。
HCH_012_196_000426	當是時，帝銳意禮文事。
HCH_012_196_000427	以天地合祀非禮，欲分建二郊，並日月而四。
HCH_012_196_000428	大學士張孚敬不敢決，帝卜之太祖亦不吉，議且寢。
HCH_012_196_000429	會言上疏請帝親耕南郊，後親蠶北郊，為天下倡。
HCH_012_196_000430	帝以南北郊之說，與分建二郊合，令孚敬諭旨，言乃請分祀天地。
HCH_012_196_000431	廷臣持不可，孚敬亦難之，詹事霍韜詆尤力。
HCH_012_196_000432	帝大怒，下韜獄。
HCH_012_196_000433	降璽書獎言，賜四品服俸，卒從其請。
HCH_012_196_000434	又贊成二郊配饗議，語詳《禮志》。
HCH_012_196_000435	言自是大蒙帝眷。
HCH_012_196_000436	郊壇工興，即命言監之。
HCH_012_196_000437	延綏饑，言薦僉都御史李如圭為巡撫。
HCH_012_196_000438	吏部推代如圭者，帝不用，再推及言。
HCH_012_196_000439	御史熊爵謂言出如圭為己地，至比之張糸采。
HCH_012_196_000440	帝切責爵，令言毋辨。
HCH_012_196_000441	而言不平，訐爵且辭新命，帝乃止。
HCH_012_196_000442	孚敬頤指百僚，無敢與抗者。
HCH_012_196_000443	言自以受帝知，獨不為下。
HCH_012_196_000444	孚敬乃大害言寵，言亦怨孚敬驟用彭澤為太常卿不右己，兩人遂有隙。
HCH_012_196_000445	言抗疏劾孚敬及吏部尚書方獻夫。
HCH_012_196_000446	孚敬、獻夫皆疏辨求去。
HCH_012_196_000447	帝顧諸人厚，為兩解之。
HCH_012_196_000448	言既顯，與孚敬、獻夫、韜為難，益以強直厚自結。
HCH_012_196_000449	帝欲輯郊禮為成書，擢言侍讀學士，充纂修官，直經筵日講，仍兼吏科都給事中。
HCH_012_196_000450	言又贊帝更定文廟祀典及大禘禮，帝益喜。
HCH_012_196_000451	十年三月遂擢少詹事，兼翰林學士，掌院事，直講如故。
HCH_012_196_000452	言眉目疏朗，美須髯，音吐弘暢，不操鄉音。
HCH_012_196_000453	每進講，帝必目屬，欲大用之。
HCH_012_196_000454	孚敬忌彌甚，遂與彭澤構薛侃獄，下言法司。
HCH_012_196_000455	已，帝覺孚敬曲，乃罷孚敬而釋言。
HCH_012_196_000456	八月，四郊工成，進言禮部左侍郎，仍掌院事。
HCH_012_196_000457	逾月，代李時為本部尚書。
HCH_012_196_000458	去諫官未浹歲拜六卿，前此未有也。
HCH_012_196_000459	時士大夫猶惡孚敬，恃言抗之。
HCH_012_196_000460	言既以開敏結帝知，又折節下土。
HCH_012_196_000461	御史喻希禮、石金請宥「大禮」大獄得罪諸臣。
HCH_012_196_000462	帝大怒，令言劾。
HCH_012_196_000463	言謂希禮、金無他腸，請帝寬恕。
HCH_012_196_000464	帝責言對狀，逮二人詔獄，遠竄之，言引罪乃已。
HCH_012_196_000465	以是大得公卿間聲。
HCH_012_196_000466	帝制作禮樂，多言為尚書時所議，閣臣李時、翟鑾取充位。
HCH_012_196_000467	帝每作詩，輒賜言，悉酬和勒石以進，帝益喜。
HCH_012_196_000468	奏對應制，倚待立辦。
HCH_012_196_000469	數召見，諮政事，善窺帝旨，有所傅會。
HCH_012_196_000470	賜銀章一，俾密封言事，文曰「學博才優」。
HCH_012_196_000471	先後賜繡蟒飛魚麒麟服、玉帶、兼金、上尊、珍饌、時物無虛月。
HCH_012_196_000472	孚敬、獻夫復相繼入輔。
HCH_012_196_000473	知帝眷言厚，亦不敢與較。
HCH_012_196_000474	已而皆謝事。
HCH_012_196_000475	議禮諸人獨霍韜在，仇言不置。
HCH_012_196_000476	十五年以順天府尹劉淑相事，韜、言相攻訐。
HCH_012_196_000477	韜卒不勝，事詳《韜傳》中。
HCH_012_196_000478	言由是氣遂驕。
HCH_012_196_000479	郎中張元孝、李遂與小忤，即奏謫之。
HCH_012_196_000480	皇子生，帝賜言甚渥。
HCH_012_196_000481	初加太子太保，進少傅兼太子太傅。
HCH_012_196_000482	閏十二月遂兼武英殿大學士入參機務。
HCH_012_196_000483	扈蹕謁陵，還至沙河，言庖中火，延郭勛、李時帳，帝付言疏六亦焚。
HCH_012_196_000484	言當獨引罪，與勛等合謝，被譙責焉。
HCH_012_196_000485	時李時為首輔，政多自言出。
HCH_012_196_000486	顧鼎臣入，恃先達且年長，頗欲有所可否。
HCH_012_196_000487	言意不悅，鼎臣遂不敢與爭。
HCH_012_196_000488	其冬，時卒，言為首輔。
HCH_012_196_000489	十八年，以祗薦皇天上帝冊表，加少師、特進光祿大夫、上柱國。
HCH_012_196_000490	明世人臣無加上柱國者，言所自擬也。
HCH_012_196_000491	武定侯郭勛得幸，害言寵。
HCH_012_196_000492	而禮部尚書嚴嵩亦心妒言。
HCH_012_196_000493	言與嵩扈蹕承天，帝謁顯陵畢，嵩再請表賀，言乞俟還京。
HCH_012_196_000494	帝報罷，意大不懌。
HCH_012_196_000495	嵩知帝指，固以請，帝乃曰：「禮樂自天子出可也。」
HCH_012_196_000496	令表賀，帝自是不悅言。
HCH_012_196_000497	帝幸大峪山，言進居守敕稍遲，帝責讓。
HCH_012_196_000498	言懼請罪。
HCH_012_196_000499	帝大怒曰：「言自卑官，因孚敬議郊禮進，乃怠慢不恭，進密疏不用賜章，其悉還累所降手敕。」
HCH_012_196_000500	言益懼，疏謝。
HCH_012_196_000501	請免追銀章、手敕，為子孫百世榮，詞甚哀。
HCH_012_196_000502	帝怒不解，疑言毀損，令禮部追取。
HCH_012_196_000503	削少師勛階，以少保尚書大學士致仕。
HCH_012_196_000504	言乃以手敕四百餘，並銀章上之。
HCH_012_196_000505	居數日，怒解，命止行。
HCH_012_196_000506	復以少傅、太子太傅入直，言疏謝。
HCH_012_196_000507	帝悅，諭令勵初忠，秉公持正，免眾怨。
HCH_012_196_000508	言心知所雲眾怨者，郭勛輩也，再疏謝。
HCH_012_196_000509	謂自處不敢後他人，一誌孤立，為眾所忌。
HCH_012_196_000510	帝復不悅，詰責之。
HCH_012_196_000511	惶恐謝，乃已。
HCH_012_196_000512	未幾，雷震奉天殿。
HCH_012_196_000513	召言及鼎臣不時至。
HCH_012_196_000514	帝復詰讓，令禮部劾之。
HCH_012_196_000515	言等請罪，帝復讓言傲慢，並責鼎臣。
HCH_012_196_000516	已，乃還所追銀章、御書。
HCH_012_196_000517	陜西奏捷，復少師、太子太師，進吏部尚書，華蓋殿。
HCH_012_196_000518	江淮賊平，璽書獎勵，賜金幣，兼支大學士俸。
HCH_012_196_000519	鼎臣已歿，翟鑾再入，恂恂若屬吏然，不敢少齟齬。
HCH_012_196_000520	而霍韜入掌詹事府數修怨。
HCH_012_196_000521	以郭勛與言有隙，結令助己，三人日相構。
HCH_012_196_000522	既而韜死，言、勛交惡自若。
HCH_012_196_000523	九廟災，言方以疾在告，乞罷，不允。
HCH_012_196_000524	昭聖太后崩，詔問太子服制，言報疏有訛字。
HCH_012_196_000525	帝切責言，言謝罪且乞還家治疾。
HCH_012_196_000526	帝益怒，令以少保、尚書、大學士致仕。
HCH_012_196_000527	言始聞帝怒己，上御邊十四策，冀以解。
HCH_012_196_000528	帝曰：「言既蘊忠謀，何堅自愛，負朕眷倚，姑不問。」
HCH_012_196_000529	初，言撰青詞及他文，最當帝意。
HCH_012_196_000530	言罷，獨翟鑾在，非帝所急也。
HCH_012_196_000531	及將出都，詣西苑齋宮叩首謝。
HCH_012_196_000532	帝聞而憐之，特賜酒饌，俾還私第治疾，俟後命。
HCH_012_196_000533	會郭勛以言官重劾，亦引疾在告。
HCH_012_196_000534	京山侯崔元新有寵，直內苑，忌勛。
HCH_012_196_000535	帝從容問元：「言、勛皆朕股肱，相妒何也？」
HCH_012_196_000536	元不對。
HCH_012_196_000537	帝問言歸何時，曰：「俟聖誕後，始敢請。」
HCH_012_196_000538	又問勛何疾，曰：「勛無疾，言歸即出耳。」
HCH_012_196_000539	帝頷之。
HCH_012_196_000540	言官知帝眷言惡勛，因共劾勛。
HCH_012_196_000541	勛辨語悖謾，帝怒，削勛同事王廷相籍。
HCH_012_196_000542	給事中高時者，言所厚也，盡發勛貪縱不法十數事。
HCH_012_196_000543	遂下勛獄，復言少傅、太子太師、禮部尚書、武英殿大學士，疾愈入直。
HCH_012_196_000544	言雖在告，閣事多取裁。
HCH_012_196_000545	治勛獄，悉其指授。
HCH_012_196_000546	二十一年春，一品九年滿，遣中使賜銀幣、寶鈔、羊酒、內饌。
HCH_012_196_000547	盡復其官階，璽書獎美，賜宴禮部。
HCH_012_196_000548	尚書、侍郎、都御史陪侍。
HCH_012_196_000549	當是時，帝雖優禮言，然恩眷不及初矣。
HCH_012_196_000550	慈慶、慈寧兩宮宴駕，勛嘗請改其一居太子。
HCH_012_196_000551	言不可，合帝意。
HCH_012_196_000552	至是帝猝問太子當何居，言忘前語，念興作費煩，對如勛指。
HCH_012_196_000553	帝不悅。
HCH_012_196_000554	又疑言官劾勛出言意。
HCH_012_196_000555	及建大享殿，命中官高忠監視，言不進敕稿。
HCH_012_196_000556	入直西苑諸臣，帝皆令乘馬，又賜香葉束發巾，用皮帛為履。
HCH_012_196_000557	言謂非人臣法服，不受，又獨乘腰輿。
HCH_012_196_000558	帝積數憾欲去言，而嚴嵩因得間之。
HCH_012_196_000559	嵩與言同鄉，稱先達，事言甚謹。
HCH_012_196_000560	言入閣援嵩自代，以門客畜之，嵩心恨甚。
HCH_012_196_000561	言既失帝意，嵩日以柔佞寵。
HCH_012_196_000562	言懼斥，呼嵩與謀。
HCH_012_196_000563	嵩則已潛造陶仲文第，謀齮言代其位。
HCH_012_196_000564	言知甚慍，諷言官屢劾嵩。
HCH_012_196_000565	帝方憐嵩不聽也，兩人遂大郤。
HCH_012_196_000566	六月，嵩燕見，頓首雨泣，訴言見淩狀。
HCH_012_196_000567	帝使悉陳言罪，嵩因振暴其短。
HCH_012_196_000568	帝大怒，手敕禮部，歷數言罪，且曰：「郭勛已下獄，猶千羅百織。言官為朝廷耳目，專聽言主使。朕不早朝，言亦不入閣。軍國重事，取裁私家。王言要密，視等戲玩。言官不一言，徒欺謗君上，致神鬼怒，雨甚傷禾。」
HCH_012_196_000569	言大懼，請罪。
HCH_012_196_000570	居十餘日，獻帝諱辰，猶召入拜，候直西苑。
HCH_012_196_000571	言因謝恩乞骸骨，語極哀。
HCH_012_196_000572	疏留八日，會七月朔日食既，下手詔曰：「日食過分，正坐下慢上之咎，其落言職閑住。」
HCH_012_196_000573	帝又自引三失，布告天下。
HCH_012_196_000574	御史喬佑、給事中沈良才等皆具疏論言，且請罪。
HCH_012_196_000575	帝大怒，貶黜十三人。
HCH_012_196_000576	高時以劾勛故，獨謫遠邊。
HCH_012_196_000577	於是嚴嵩遂代言入閣。
HCH_012_196_000578	言久貴用事，家富厚，服用豪侈，多通問遺。
HCH_012_196_000579	久之不召，監司府縣吏亦稍慢易之，悒悒不樂。
HCH_012_196_000580	遇元旦、聖壽必上表賀，稱「草土臣」。
HCH_012_196_000581	帝亦漸憐之，復尚書、大學士。
HCH_012_196_000582	至二十四年，帝微覺嵩貪恣，復思言，遣官賫敕召還，盡復少師諸官階，亦加嵩少師，若與言並者。
HCH_012_196_000583	言至，直陵嵩出其上。
HCH_012_196_000584	凡所批答，略不顧嵩，嵩噤不敢吐一語。
HCH_012_196_000585	所引用私人，言斥逐之，亦不敢救，銜次骨。
HCH_012_196_000586	海內士大夫方怨嵩貪忮，謂言能壓嵩制其命，深以為快。
HCH_012_196_000587	而言以廢棄久，務張權。
HCH_012_196_000588	文選郎高簡之戍，唐龍、許成名、崔桐、王用賓、黃佐之罷，王杲、王暐、孫繼魯之獄，皆言主之。
HCH_012_196_000589	貴州巡撫王學益、山東巡撫何鰲為言官論劾，輒擬旨逮訊。
HCH_012_196_000590	龍故與嵩善，暐事牽世蕃，其他所譴逐不盡當，朝士仄目。
HCH_012_196_000591	最後御史陳其學以鹽法事劾崔元及錦衣都督陸炳，言擬旨令陳狀，皆造言請死，炳長跪乃得解。
HCH_012_196_000592	二人與嵩比而構言，言未之悟也。
HCH_012_196_000593	帝數使小內豎詣言所，言負氣岸，奴視之；嵩必延坐，親納金錢袖中。
HCH_012_196_000594	以故日譽嵩而短言。
HCH_012_196_000595	言進青詞往往失帝旨，嵩聞益精治其事。
HCH_012_196_000596	未幾，河套議起。
HCH_012_196_000597	言故慷慨以經濟自許，思建立不世功。
HCH_012_196_000598	因陜西總督曾銑請復河套，贊決之。
HCH_012_196_000599	嵩與元、炳媒孽其間，竟以此敗。
HCH_012_196_000600	江都人蘇綱者，言繼妻父也，雅與銑善。
HCH_012_196_000601	銑方請復河套，綱亟稱於言。
HCH_012_196_000602	言倚銑可辦，密疏薦之，謂群臣無如銑忠者。
HCH_012_196_000603	帝令言擬旨，優獎之者再。
HCH_012_196_000604	銑喜，益銳意出師。
HCH_012_196_000605	帝忽降旨詰責，語甚厲。
HCH_012_196_000606	嵩揣知帝意，遂力言河套不可復，語侵言。
HCH_012_196_000607	言始大懼，謝罪，且言「嵩未嘗異議，今乃盡諉於臣」。
HCH_012_196_000608	帝責言「強君脅眾」，嵩復騰疏攻言，言亦力辨。
HCH_012_196_000609	而帝已入嵩譖，怒不可解。
HCH_012_196_000610	二十七年正月盡奪言官階，以尚書致仕，猶無意殺之也。
HCH_012_196_000611	會有蜚語聞禁中，謂言去時怨謗。
HCH_012_196_000612	嵩復代仇鸞草奏訐言納銑金，交關為奸利，事連蘇綱，遂下銑、綱詔獄。
HCH_012_196_000613	嵩與元、炳謀，坐銑交結近侍律斬，綱戍邊，遣官校逮言。
HCH_012_196_000614	言抵通州，聞銑所坐，大驚墮車曰：「噫！吾死矣。」
HCH_012_196_000615	再疏訟冤，言：「鸞方就逮，上降諭不兩日，鸞何以知上語，又何知嵩疏而附麗若此？蓋嵩與崔元輩詐為之以傾臣。嵩靜言庸違似共工，謙恭下士似王莽，奸巧弄權、父子專政似司馬懿。在內諸臣受其牢籠，知有嵩不知有陛下。在外諸臣受其箝制，亦知有嵩不知有陛下。臣生死系嵩掌握，惟歸命聖慈，曲賜保全。」
HCH_012_196_000616	帝不省。
HCH_012_196_000617	獄成，刑部尚書喻茂堅、左都御史屠僑等當言死，援議貴議能條以上。
HCH_012_196_000618	帝不從，切責茂堅等，奪其俸，猶及言前不戴香冠事。
HCH_012_196_000619	其年十月竟棄言市。
HCH_012_196_000620	妻蘇流廣西，從子主事克承、從孫尚寶丞朝慶，削籍為民。
HCH_012_196_000621	言死時年六十有七。
HCH_012_196_000622	言豪邁有俊才，縱橫辨博，人莫能屈。
HCH_012_196_000623	既受特眷，揣帝意不欲臣下黨比，遂日與諸議禮貴人抗。
HCH_012_196_000624	帝以為不黨，遇益厚，然卒為嚴嵩所擠。
HCH_012_196_000625	言死，嵩禍及天下，久乃多惜言者。
HCH_012_196_000626	而言所推轂徐階，後卒能去嵩為名相。
HCH_012_196_000627	隆慶初，其家上書白冤狀，詔復其官，賜祭葬，謚文湣。
HCH_012_196_000628	言始無子。
HCH_012_196_000629	妾有身，妻忌而嫁之，生一子。
HCH_012_196_000630	言死，妻逆之歸，貌甚類言。
HCH_012_196_000631	且得官矣，忽病死。
HCH_012_196_000632	言竟無後。
HCH_012_196_000633	贊曰：璁、萼、獻夫議尊興獻帝，本人子至情，故其說易入。
HCH_012_196_000634	原其初議未嘗不準情禮之中，乃至遭時得君，動引議禮自固，務快恩仇。
HCH_012_196_000635	於是知其建議之心，非有惓惓忠愛之實，欲引其君於當道也。
HCH_012_196_000636	言所奏定典禮，亦多可采。
HCH_012_196_000637	而誌驕氣溢，卒為嵩所擠。
HCH_012_196_000638	究觀諸人立身本末與所言是非，固兩不相掩云。
