HCH_013_066_000000	神宗萬曆二十一年二月，京察竣。
HCH_013_066_000290	二月，御史周宗建上言：「國家之治亂，由於議論之公私。皇祖戊申以後，沈一貫未敗之時，在朝者豈無君子？而一雜以小人，則沈鯉可逐，郭正域可芟，察典可壞，大獄可興。時則有錢夢臯、康丕揚為之首。庚戌、辛亥之交，在朝者豈無君子？而一雜以小人，則大貪之淮撫可保，極險之銓佐可阿，直節可摧，清流可放。時則有史記事、徐縉芳等為之首。壬子、癸丑之交，在朝者豈無君子？而一雜以小人，則學差可擯，考選可排，吏、兵之諸事，可日試以為嘗，考察之把持，可一網以為阱。時則有亓詩教、趙興邦為之首。有如今日，三咨並下，君子進庸矣。而臣竊為先事之慮者，以用人言之，如所引董應舉、高攀龍、史孟麟、李邦華、熊明遇、魏允中等二十餘人，類皆磊落奇才。如必借此相引，積橫之貪邪，亦思梯架於月旦，窮凶之醜類，尚留春夢於餘灰，將朝廷大公之盛舉，翻作臣子市德之私緣，臣之所謂不得不慮也。以『移宮』言之，如方震孺、毛士龍等十有餘章，闡發既明。在科臣楊漣潔志遠嫌，不難聽召用於他日。臺臣賈繼春質心愛主，何妨付定論於國人。若復侈談羽翼，追憶几筵，欲埽疑端，愈增滋蔓，又臣之所謂不得不慮也。臣請約言之，銓除在真品，毋容夾雜以同升；朝論在輿評，毋輕出言以佐鬬。國家要以邊事為首務，
HCH_013_066_000291	毋自起室內之戈。
HCH_013_066_000292	今日終以君德為大本，毋徒為將順之節。
HCH_013_066_000293	三月，起劉宗周禮部主事，王之寀刑部主事，高攀龍光祿寺丞。
HCH_013_066_000294	八月，給奉聖夫人客氏地。
HCH_013_066_000295	以陵工成，命敍錄魏進忠。
HCH_013_066_000296	御史王心一、馬鳴起，吏科給事侯震暘、倪思輝、朱欽相等，先後糾之。
HCH_013_066_000297	降調有差。
HCH_013_066_000298	二年春正月，起吏部郎中趙南星為太常寺卿。
HCH_013_066_000299	三月，禮科惠世揚疏參輔臣沈㴶：「借募兵之名，為護身之術。陰使其黨晏日華潛入大內，誘劉朝等練兵，再見江彬之事。外戚鄭養性厚募死士，有違祖制。」
HCH_013_066_000300	不聽。
HCH_013_066_000301	御史侯震暘亦以劾㴶調外。
HCH_013_066_000302	六月，刑部尚書王紀奏劾輔臣沈㴶「巧能移人主之視聽，力足倒天下之是非。交結權黨，誅鋤正士。黃臺瓜詞已賦，同文館獄將興」。
HCH_013_066_000303	又曰：「臣指其蔡京，而㴶不肯受。試取惠世揚、周朝瑞、魏大中、董羽宸等疏，一一讀之。則京之為京，隱括於此矣。」
HCH_013_066_000304	上以煩言責之。
HCH_013_066_000305	㴶尋予告回籍，紀革職為民。
HCH_013_066_000306	八月，以楊漣為太常寺少卿。
HCH_013_066_000307	兵科給事朱童蒙疏劾都御史鄒元標、副都御史馮從吾建壇講學，醵金立院之非。
HCH_013_066_000308	標等上疏自理，上優詔答之。
HCH_013_066_000309	工科給事郭興治復劾，內有「比擬妖賊」諸語。
HCH_013_066_000310	上責其狂悖，奪俸。
HCH_013_066_000311	於是元標、從吾五疏乞休。
HCH_013_066_000312	元標即移家出城，遂予告，馳驛去。
HCH_013_066_000313	翰林修撰文震孟上言勤政講學之實，留中。
HCH_013_066_000314	庶吉士鄭鄤疏促之，俱降調。
HCH_013_066_000315	太僕少卿滿朝薦上言：「國事顛倒，成於陛下者什之一二，成於當事大臣者十之八九。」
HCH_013_066_000316	疏入，除籍為民。
HCH_013_066_000317	十一月，以趙南星為都察院左都御史。
HCH_013_066_000318	十二月，以顧秉謙、魏廣微為大學士，入閣辦事。
HCH_013_066_000319	三年二月，奪御史周宗建俸。
HCH_013_066_000320	南京御史徐世業劾宗建保舉熊廷弼。
HCH_013_066_000321	宗建疏辨，詞連郭鞏，有「結交宮闈，獻媚進忠」之語。
HCH_013_066_000322	中旨切責。
HCH_013_066_000323	冬十月，以楊漣為右僉都御史，協理院事。
HCH_013_066_000324	四年二月，推南京吏部尚書鄒元標，中旨以衰老罷之。
HCH_013_066_000325	夏四月，吏部尚書趙南星上言：「吏部四司，惟稽勳司一人，餘司皆二人，以稽勳事寡也。然今日之稽勳，皆儲為文選、考功之用，宜就近推補司官，不拘資格，一省不妨二人。」
HCH_013_066_000326	引陸光祖調吏部呂坤、黃克念等同邑同司之例為言。
HCH_013_066_000327	上從之。
HCH_013_066_000328	於是南星調職方司郎中，鄒維璉為稽勳，主外察。
HCH_013_066_000329	維璉與原任主事吳羽文皆江西人，羽文遂拘舊事求去，維璉亦不敢履任。
HCH_013_066_000330	刑科傅櫆疏侵之，羽文求去益堅，維璉亦上疏力辭。
HCH_013_066_000331	櫆復疏以僉都御史左光斗、吏科都給事魏大中交通故內監王安、中書汪文言。
HCH_013_066_000332	詔下文言於獄，嚴訊之。
HCH_013_066_000333	光斗上疏自理，大略謂：「櫆之意，不利於稽勳有鄒維璉，銓司有程國祥，吏垣有魏大中，故欲一網去之。」
HCH_013_066_000334	且指其「冒東廠理刑傅繼教為兄弟，布置窟穴」。
HCH_013_066_000335	大中亦上疏辨。
HCH_013_066_000336	得旨，命大中赴任供職。
HCH_013_066_000337	御史袁化中、給事中甄淑相繼為光斗辨。
HCH_013_066_000338	大學士葉向高請骸骨，疏曰：「臣十八疏乞歸，皇上維時艱主憂，臣即去何安？顧臣罪戾多矣。即如科臣傅櫆所論，汪文言實臣具題。左光斗、魏大中之善文言，尚屬曖昧，而臣之用文言，則事跡甚明。臣取罪之故，當聽公論，不敢妄辨，以滋紛紜。耿耿愚忠，竊謂言官之訐奏，釁不可開，駕帖之拏人，漸不可長。惟皇上罪臣一人，而稍寬其他，於以釋官府之嫌，消搢紳之禍。」
HCH_013_066_000339	上慰諭留之。
HCH_013_066_000340	已而大中既涖任，復傳旨詰責大中：「櫆情事未明，何得赴任！」
HCH_013_066_000341	櫆乃上言：「明旨不宜二三，中旨恐開旁竊。」
HCH_013_066_000342	糾近臣以自解。
HCH_013_066_000343	七月，大學士葉向高予告回籍。
HCH_013_066_000344	向高再入相，政移忠賢。
HCH_013_066_000345	同事者更希意阿旨，向高動即掣肘。
HCH_013_066_000346	楊漣二十四罪疏上，忠賢恨刺骨。
HCH_013_066_000347	御史林汝翥忤璫，羣璫圍向高第索之。
HCH_013_066_000348	向高知時不可為，發憤決去。
HCH_013_066_000349	疏三十三上，後得請。
HCH_013_066_000350	左都御史高攀龍糾劾貪污御史崔呈秀，落職回籍。
HCH_013_066_000351	呈秀巡按淮陽，有狼籍聲。
HCH_013_066_000352	吏科都給事魏大中發其餽遺，攀龍因回道考察，劾罷之。
HCH_013_066_000353	已而呈秀以魏璫義子起用。
HCH_013_066_000354	冬十月朔，有事太廟，輔臣魏廣微不至，魏大中糾其無禮，指稱：「惟奢安不拜正朔。」
HCH_013_066_000355	廣微深銜之，上疏自辨。
HCH_013_066_000356	御史李應昇復疏糾之，謂「廣微不可見乃父於地下」。
HCH_013_066_000357	廣微見疏恚甚。
HCH_013_066_000358	廣微父，魏允貞也，嘗為諫官，得罪閣臣去。
HCH_013_066_000359	降吏科都給事魏大中、吏部員外郎夏嘉遇、御史陳九疇三級，調外。
HCH_013_066_000360	吏部尚趙南星、左都御史高攀龍乞罷，許之。
HCH_013_066_000361	給事中沈惟炳疏救，不允，亦調外。
HCH_013_066_000362	時推山西巡撫，南星以太常卿謝應祥沈靜有為，欲以處之，言於員外夏嘉遇。
HCH_013_066_000363	嘉遇述其意於河南道御史袁化中，化中深然之。
HCH_013_066_000364	及化中途逢大中，告以故。
HCH_013_066_000365	先是，應祥令嘉善，大中知其才守，遂會推焉。
HCH_013_066_000366	陳九疇有私恨，遂論應祥昏耄，大中以門牆私之。
HCH_013_066_000367	互相奏辨，有旨會勘。
HCH_013_066_000368	吏部坐臺臣「論人失實」上，中旨以「比周」切責之，降大中等。
HCH_013_066_000369	於是南星、攀龍皆引罪去。
HCH_013_066_000370	大學士韓爌力救，不聽，引疾歸。
HCH_013_066_000371	已而刑部尚書喬允升，吏部侍郎陳于庭，都御史楊漣、左光斗，太常卿謝應祥，部屬張光前、鄒維璉，科、道袁化中，許譽卿等，一時盡黜，部署皆空。
HCH_013_066_000372	戶科給事中陶崇道上言：「諸臣各執成見，無不異同，尤望皇上盡入陶鎔，化其畛域。而天語頻煩，責以朋比。彼此之互異既章，水火之情形立見。虞廷黜陟，不過賢奸；唐、宋末流，可為殷鑑。」
HCH_013_066_000373	疏入，降調。
HCH_013_066_000374	十二月，起徐兆魁為吏部左侍郎，朱童蒙、郭允厚、李春燁太僕寺少卿，徐大化、呂雲鵬、孫杰大理寺寺丞，霍維華、郭興治、楊維垣等皆科、道。
HCH_013_066_000375	以御史梁夢環追論，復逮汪文言。
HCH_013_066_000376	自是羅織靡已，楊漣、魏大中相繼斃於獄。
HCH_013_066_000377	御史李蕃疏劾輔臣朱國禎。
HCH_013_066_000378	時韓爌既去，魏廣微未得為首輔，嗾蕃劾之。
HCH_013_066_000379	五年秋八月，御史張訥請廢天下書院。
HCH_013_066_000380	殺熊廷弼。
HCH_013_066_000381	初，楊、左事起，以「移宮」為案，但屬楊、左，與顧大章等無與也。
HCH_013_066_000382	已，復改為封疆，周朝瑞曾疏薦廷弼，而顧大章與楊維垣相疏辨，與楊、左又無與也。
HCH_013_066_000383	乃以封疆牽入「移宮」，於是一網盡矣。
HCH_013_066_000384	七年八月，上崩，無嗣，遺命以信王入繼大統。
HCH_013_066_000385	誅魏忠賢、客氏，其黨相繼伏法。
HCH_013_066_000386	冬十月，吏科都給事中陳爾翼上言：「東林餘孼，徧布長安，每欲因事起釁，憂不在小。乞敕下廠、衞，嚴緝禁之。」
HCH_013_066_000387	上曰：「羣臣流品，先帝澄汰已分。朕初御極，嘉與士大夫臻平康之理，毋事揣摩形影，以滋爭競。」
HCH_013_066_000388	十一月，戶部員外王守履劾崔呈秀，薦舊輔韓爌。
HCH_013_066_000389	上以韓爌清忠有執，下所司知之。
HCH_013_066_000390	懷宗崇禎元年春正月，翰林院編修倪元璐上言：「臣入都見邸抄，凡攻崔、魏者，必引東林為並案。一則曰『邪黨』，再則曰『邪黨』。夫崔、魏而既邪黨矣，向之劾忠賢、論呈秀者，又邪黨乎？虛中言之，東林則亦天下之才藪也。其所宗主者，大都秉清挺之標，而或繩人過刻；樹高明之幟，而或持論太深；此之謂非中行則可，謂之非狂狷則不可。且天下之議論，寧涉假借，而必不可不歸於名義；士人之行己，寧任矯激，而必不可不準諸廉隅。自以假借矯激深咎前人，而彪虎之徒，公然毀裂廉隅，背叛名［義］矣。連篇頌德，匝地生祠。夫頌德不已，必將勸進；生祠不已，必且嵩呼；而人猶寬之曰『無可奈何』。嗟乎！充一無可奈何之心，又將何所不至哉！議者論以忠厚之心曲原此輩，而獨持已甚之論苛責吾徒，亦所謂悖也。今大獄之後，湯火僅存，恩論酌用。乃任事諸臣，猶以『道學封疆』四字，持為鐵案，深防報復，臣竊以為過計也。水落石出，正人相見，總屬崔、魏之異己，即可化牛、李為同心。況年來借東林以媚崔、魏者，其人自敗，不須東林報復。若其不附崔、魏，又能攻而去之者，其人既已喬嶽矣，雖百東林烏能報復哉！臣所謂方隅未化也。韓爌清忠有執，聖諭鑑知。而廷議殊有異同，則徒以票擬熊廷弼一事耳。
HCH_013_066_000391	夫封疆失事，累累有徒，而時議獨殺一廷弼，豈平論哉！
HCH_013_066_000392	此爌之所以閣筆也。
HCH_013_066_000393	然廷弼不死於封疆而死於局面，不死於法吏而死於奸璫，則又不可謂後之人能殺廷弼，而爌獨不能殺之也。
HCH_013_066_000394	詞臣文震孟三月居官，昌言獲罪，有人如此，雅謂千秋。
HCH_013_066_000395	而起用之旨再下，悠謬之談日甚，豈以其前兄從龍不逞之事乎？
HCH_013_066_000396	夫賢愚相越，古今多有，不聞柳下惠膺盜跖之誅，司馬牛受向魁之罰，臣所謂正氣未伸也。
HCH_013_066_000397	總之，臣論不主調停，而主別白，不爭二臣之用舍，而爭一日之是非。
HCH_013_066_000398	至於海內講學書院，凡經逆璫矯旨毀拆者，俱宜葺復如故。
HCH_013_066_000399	蓋書院、生祠相為勝負，生祠毀，書院豈不當復哉！
HCH_013_066_000400	疏入，上不納。
HCH_013_066_000401	御史楊維垣以詞臣持論之偏，疏駁之。
HCH_013_066_000402	元璐復上言：「維垣疏臣持論甚謬，怪臣盛稱東林，以東林之尊李三才而護熊廷弼也。然亦知東林中有首參魏忠賢之楊漣、提問崔呈秀之高攀龍乎？且當時於三才特推其揮霍之略，未嘗不指之為貪。於廷弼特未即西市之誅，未嘗不坐之以辟，則猶未為失論失刑也。今忠賢窮凶極惡，維垣猶曰『廠臣公，廠臣不愛錢，廠臣為國為民』，而何況三才！虎彪結交近侍，律當處斬，初擬止於削奪，維垣不聞駁正，又何況廷弼！而以臣為謬，臣不受也。維垣又怪臣盛稱韓爌，夫舍爌觸璫嬰禍之跡，加以說情罔利，已非矣。如廷弼特票免一梟，未赦而欲用之也。至廷弼行賄之說，逆璫借為楊、左諸人追贓地耳。維垣奈何尚守是說乎？而以臣為謬，臣不受也。維垣又怪臣盛稱文震孟，夫震孟臣不更論，即如王紀清正著聲，以參沈㴶忤逆璫而譴斥，震孟則以薦王紀而降削，均得罪於逆璫者也。維垣試觀數年來破帽策蹇之輩，較超階躐級之儔，孰為榮辱？自此義不明，於是畏破帽策蹇者相率為頌德生祠，希蟒玉馳驛者，遂呼父呼九千歲而不顧。而以臣為謬，臣不受也。維垣又怪臣盛稱鄒元標，夫謂都門聚講為非宜，則可；謂元標講學有邪謀，則不可。逆璫毀書院，逐正人，箝學士大夫之口。自元標以偽學見驅，而逆璫遂真儒自命，學宮之席，
HCH_013_066_000403	儼然揖先聖為平交，使元標諸人在，豈遂至此！
HCH_013_066_000404	而以臣為謬，臣不受也。
HCH_013_066_000405	維垣又極力洗發臣『假借矯激』四字。
HCH_013_066_000406	夫崔、魏之世，人皆任真率性為頌德生祠，使有一人假借而不頌不祠，豈不猶賴是人哉！
HCH_013_066_000407	［非］謂東林之名義盡假［借］也。
HCH_013_066_000408	東林自鄒元標、王紀、高攀龍、楊漣外，如顧憲成、趙南星、馮從吾、陳大受、周順昌、魏大中、周起元、周宗建等之真理學、真骨力、真氣節、真清操、真吏治，豈有所矯激假借而然？
HCH_013_066_000409	而曰臣大謬，臣益不受也。
HCH_013_066_000410	維垣以［為］真小人待其貫滿可攻去之，崔、魏之貫滿久矣，不遇聖明，誰攻去之？
HCH_013_066_000411	維垣終以無可奈何之時，為頌德生祠者解嘲。
HCH_013_066_000412	假令呈秀舞蹈稱臣於逆璫，諸臣亦以為不可異同而舞蹈稱臣乎？
HCH_013_066_000413	又令逆璫以兵劫諸臣使從叛逆，諸臣便亦畏而從之，以為適值無可奈何之時乎？
HCH_013_066_000414	維垣又言：「今日之忠直，不當以崔、魏為對案。』臣謂正當以崔、魏為對案也。夫品節試之於崔、魏而定矣。有東林之人，為崔、魏所恨，必欲殺之逐之，此正人也。有攻東林之人，雖為崔、魏所借，而勁節不阿，或逐或遠，此亦正人也。以崔、魏定邪正，譬之以明鏡別妍媸。而揭揭代逆璫分謗，臣願維垣之熟計之也。」
HCH_013_066_000415	上是之。
HCH_013_066_000416	時元璐屢言事，大學士來宗道常曰：「渠何事多言？吾詞林故事，惟香茗耳！」
HCH_013_066_000417	時謂宗道「清客宰相」。
HCH_013_066_000418	五月，御史袁弘勳劾大學士劉鴻訓：「一入黃扉，揚揚自得。浹旬之間，革職閒住無虛日。最可異者，楊所修、賈繼春、楊維垣，夾攻表裏之奸，有功無罪而誅鋤禁錮，自三臣始。且軍國大事，未暇平章，惟亟毀《要典》。謂水火玄黃，是書為祟。今燬矣，水火玄黃息耶戰耶？未燬以前，崔、魏借之以空善類；既燬以後，鴻訓又借之以殛忠良。以暴易暴，長此安窮！」
HCH_013_066_000419	鎮撫司僉書張道濬亦訐攻鴻訓。
HCH_013_066_000420	工科給事中顏繼祖爭之，且言：「道濬出位亂政，非重創不止。」
HCH_013_066_000421	御史史𡎊、高捷相繼彈鴻訓，鴻訓尋以事罷歸。
HCH_013_066_000422	十一月庚申，會推閣員吏部侍郎成基命、禮部侍郎錢謙益等。
HCH_013_066_000423	禮部尚書溫體仁訐謙益，天啓初主試浙江，賄中錢千秋，不宜枚卜。
HCH_013_066_000424	上召廷臣及體仁、謙益於文華殿，質辨良久。
HCH_013_066_000425	上曰：「體仁所參『神奸結黨』，誰也？」
HCH_013_066_000426	曰：「謙益黨與甚衆，臣不敢盡言。即枚卜之典，俱自謙益主持。」
HCH_013_066_000427	吏科給事中章允儒曰：「體仁資深望輕，如糾謙益，何不先於枚卜也？」
HCH_013_066_000428	體仁曰：「前猶冷局，今卜相事大，不得不為皇上慎用人耳。」
HCH_013_066_000429	允儒曰：「朋黨之說，小人以陷君子，先朝可鑑。」
HCH_013_066_000430	上叱之，下錦衣衞獄，削籍。
HCH_013_066_000431	禮部以錢千秋試卷呈，上責謙益，引罪而出，旋回籍，除名為民。
HCH_013_066_000432	下千秋於刑部。
HCH_013_066_000433	周延儒曰：「自來會推會議，皆故事，僅一二人主持，餘無所言。即言出，而禍隨之矣。」
HCH_013_066_000434	上大稱善，遂停枚卜，卒用延儒。
HCH_013_066_000435	延儒力援體仁，明年亦入政府。
HCH_013_066_000436	初，延儒以召對稱旨，至是，枚卜，謙益必欲得之，而慮以延儒同推，勢必用延儒，遂力扼止之。
HCH_013_066_000437	不知上果意在延儒，不推適滋上疑耳。
HCH_013_066_000438	於是黨同之疑，中於上者深。
HCH_013_066_000439	體仁發難，而延儒助之，謙益不知也。
HCH_013_066_000440	忽蒙召對，謙益自為枚卜定於此日。
HCH_013_066_000441	及入見，方知有體仁疏。
HCH_013_066_000442	體仁與謙益廷辨，體仁言如湧泉，而謙益出不意，頗屈。
HCH_013_066_000443	二年春正月，定逆案。
HCH_013_066_000444	召廷臣於文華殿。
HCH_013_066_000445	先是，御史毛九華劾禮部尚書溫體仁有媚璫詩刊本。
HCH_013_066_000446	上問體仁，體仁謂出自錢謙益誣論。
HCH_013_066_000447	又出御史任贊化參體仁疏，其語褻，上不懌，謫贊化於外。
HCH_013_066_000448	御史吳甡言：「因溫體仁前削章允儒，降房可壯、瞿式耜，今又斥任贊化，班行無色。乞召還言官。」
HCH_013_066_000449	不聽。
HCH_013_066_000450	三年五月，左諭德文震孟上言：「呂純如羅織諸賢，今藉奧援，思借邊才起用。吏部尚書王永光假竊威柄，年例變亂祖制，考選擯斥清才。」
HCH_013_066_000451	疏入，命指實具奏。
HCH_013_066_000452	永光有清執，東林以其異己，給事中張國維、御史毛羽健等交劾之。
HCH_013_066_000453	俱不問。
HCH_013_066_000454	至是，震孟再糾之。
HCH_013_066_000455	四年春正月，翰林院編修黃道周疏救錢龍錫，調外。
HCH_013_066_000456	初，定魏、崔逆案，輔臣錢龍錫主之。
HCH_013_066_000457	袁崇煥之獄，御史史力謀借崇煥以報龍錫，因龍錫以囉及諸臣，周延儒、溫體仁主之。
HCH_013_066_000458	欲發自兵部，而尚書梁廷棟不敢任。
HCH_013_066_000459	又上英察，不能遽起大獄也。
HCH_013_066_000460	道周疏上，延儒意稍解。
HCH_013_066_000461	時大學士韓爌亦被劾歸。
HCH_013_066_000462	二月，給事中葛應鬥糾御史袁弘勳、錦衣衞都督同知張道濬，通賂竊權。
HCH_013_066_000463	命下理。
HCH_013_066_000464	弘勳受參將胡宗明、主事趙建極賄，囑於兵部尚書梁廷棟、吏部尚書王永光。
HCH_013_066_000465	弘勳、道濬，皆永光所任也，俱論戍。
HCH_013_066_000466	刑科給事中吳執御論永光誨貪崇墨，永光罷。
HCH_013_066_000467	五月，釋故大學士錢龍錫獄，戍定海衞。
HCH_013_066_000468	龍錫出獄，周延儒即過之，極言上怒甚，挽回殊難，龍錫深德之。
HCH_013_066_000469	未幾，溫體仁至，龍錫因述延儒語。
HCH_013_066_000470	體仁曰：「上固不甚怒也。」
HCH_013_066_000471	於是聞者謂體仁質直而延儒虛偽，然亦體仁之巧於擠延儒也。
HCH_013_066_000472	嘉善錢士升為龍錫門生，聞體仁語，頗多之，而輕延儒，體仁遂與相結。
HCH_013_066_000473	五年春正月，刑科給事中吳執御奏薦黃克纘、劉宗周等，御史吳彥芳奏薦李瑾、李邦華等。
HCH_013_066_000474	上以其朋比，惡之，下彥芳、執御於理。
HCH_013_066_000475	坐上書不以實律，杖為城旦。
HCH_013_066_000476	六年三月，刑科都給事陳贊化劾大學士周延儒「招權納賄、遊客李元功借勢威人。延儒嘗語去輔李標事云：「上先允放，余封還原疏，上即改留。頗有回天之力，今上羲皇上人也。』此是何語，豈徒小人之輕泄乎！至指借停刑，以罔賄利，此固通國所共聞也」。且引刑科給事李世祺為證。世祺亦奏延儒有此言。不問。戶科給事中朱文煥亦劾延儒「重荷國恩，毫無補救」。六月，大學士周延儒罷。始，溫體仁與延儒深相結納，延儒力援之以進。至是，體仁將奪其位，太監王坤疏攻延儒，體仁無一語相助。於是陳贊化屢糾延儒，即「羲皇上人」一語，窮究不已。體仁知上意，凡與延儒為難者，必陰助之，而助延儒者皆詘。延儒放歸。七年三月，召大學士何如寵入朝，在道屢引疾，不許。刑科給事中黃紹傑奏言：「從來君子小人，不能並立。如寵徘徊瞻顧，則次輔溫體仁當知所自處矣。自體仁為相，水旱洊臻，盜賊滿路，燮理固如是乎？秉政既久，窺旨必熟。中外諸臣，承奉其意。用一人，則曰：「此與體仁不合也。』行一事，則曰：「此體仁所不樂也。』凡此，皆召變之由。乞命體仁引咎辭位，以回天心，慰民望。」上責其率妄，調外。八月甲戌，召廷臣於平臺，問誰堪冢宰總憲者，令各給條對。吏部左侍郎張捷曰：「臣之所舉，
HCH_013_066_000477	與衆不同。
HCH_013_066_000478	上許之。
HCH_013_066_000479	勳戚在殿西室，文臣在殿東室。
HCH_013_066_000480	捷旁皇四顧，大學士王應熊目屬之，諸臣覺其異。
HCH_013_066_000481	及問所薦，則前兵部呂純如也。
HCH_013_066_000482	時諸臣或舉鄭三俊，勳戚亦如之。
HCH_013_066_000483	或舉唐世濟。
HCH_013_066_000484	捷曰：「總憲世濟可，冢宰非純如不可。」
HCH_013_066_000485	俄入奏，力言純如之長。
HCH_013_066_000486	諸臣以純如列逆案，不可。
HCH_013_066_000487	刑科給事中姜應申言之尤力，捷失色。
HCH_013_066_000488	上問溫體仁，對曰：「謝陞可。」
HCH_013_066_000489	上是之。
HCH_013_066_000490	應熊故善周延儒，而純如又與延儒善者，故體仁陰持之。
HCH_013_066_000491	給事中范淑泰、吳甘來交章劾王應熊、張捷同謀黨附，計翻逆案。
HCH_013_066_000492	乙亥，召南京吏部尚書謝陞為吏部尚書，以唐世濟為左都御史。
HCH_013_066_000493	八年夏六月，刑部主事吳江，給事中何楷、宋學顯，御史張纘曾各劾大學士溫體仁，并及王應熊。
HCH_013_066_000494	初，流盜陷中都，巡撫楊一鵬，巡按吳振纓被劾。
HCH_013_066_000495	而振纓體仁鄉人，曲庇之。
HCH_013_066_000496	時何吾騶亦與應熊不合，錢士升力劑其間，得解。
HCH_013_066_000497	秋七月，進少詹事文震孟為禮部左侍郎兼東閣大學士。
HCH_013_066_000498	震孟講《春秋》稱旨，既而以疾告，不允。
HCH_013_066_000499	溫體仁語之曰：「行相君矣，何避也！」
HCH_013_066_000500	至是，出特簡入政府。
HCH_013_066_000501	十一月，大學士何吾騶、文震孟罷。
HCH_013_066_000502	初，吾騶、震孟在直，欲以工科給事許譽卿補南京太常卿，溫體仁與吏部尚書謝陞難之。
HCH_013_066_000503	陞遂疏糾譽卿。
HCH_013_066_000504	震孟自恃特簡，於體仁無所依附。
HCH_013_066_000505	嘗與體仁論庶吉士鄭鄤當遷除，大拂體仁意。
HCH_013_066_000506	至是，票陞疏，止欲奪譽卿俸，體仁不肯。
HCH_013_066_000507	震孟作色擲筆曰：「即削籍無害！」
HCH_013_066_000508	體仁夕揭上，而吾騶、震孟朝罷矣。
HCH_013_066_000509	譽卿擊璫有直聲，沈淪諫垣，十年不調，至是削籍。
HCH_013_066_000510	震孟有時望，入相僅三月而齟齬同官，不竟其用。
HCH_013_066_000511	逮庶吉士鄭鄤。
HCH_013_066_000512	鄤繼母，大學士吳宗達女弟也。
HCH_013_066_000513	鄤薄於宗達，宗達嘗揭其杖母烝妾。
HCH_013_066_000514	震孟既忤體仁，體仁併恨鄭鄤，即以宗達所揭入告，下獄。
HCH_013_066_000515	九年二月，吏部尚書謝陞疏救陳子壯，不聽。
HCH_013_066_000516	先是，子壯以論宗秩事下獄。
HCH_013_066_000517	巡按蘇、松、常、鎮御史王一鶚奏薦周延儒等，以濫及廢籍，責之。
HCH_013_066_000518	夏四月，大學士錢士升罷。
HCH_013_066_000519	初，溫體仁深結士升，其入相也，體仁凡有所為，必力推之。
HCH_013_066_000520	如用冢宰謝陞、總憲唐世濟，皆體仁意，而士升成之。
HCH_013_066_000521	體仁逐文震孟，頗引士升為主，士升亦助體仁。
HCH_013_066_000522	至是，體仁并欲去士升，因福建右衞經歷吳鯤化訐奏士升弟士晉，即擬嚴旨。
HCH_013_066_000523	仍囑林釬毋泄言，欲借弟以逐其兄也。
HCH_013_066_000524	士升遂引歸。
HCH_013_066_000525	五月，逮滋陽知縣成德，下錦衣獄。
HCH_013_066_000526	德性剛激，入前大學士文震孟之門。
HCH_013_066_000527	至是，連章攻溫體仁，凡十上，盡發其奸狀。
HCH_013_066_000528	母張氏，伺體仁輿出，輒道詬之。
HCH_013_066_000529	德移獄刑部，戍延綏。
HCH_013_066_000530	秋七月，國子祭酒倪元璐免。
HCH_013_066_000531	元璐與同邑左庶子丁進不合，嗾誠意伯劉孔昭訐奏也。
HCH_013_066_000532	十一月，下左都御史唐世濟於獄。
HCH_013_066_000533	世濟以邊才薦故兵部尚書霍維華。
HCH_013_066_000534	上謂維華逆案，世濟蒙蔽，下刑部獄。
HCH_013_066_000535	明年正月，霍維華戍沒。
HCH_013_066_000536	十年春正月，常熟章從儒訐奏前禮部右侍郎錢謙益、科臣瞿式耜。
HCH_013_066_000537	疏上，溫體仁修郄，逮之下刑部獄，幾殆。
HCH_013_066_000538	謙益嘗作《故太監王安祠記》，曹化淳出王安門，憤其寃，發從儒陰謀，立枷死。
HCH_013_066_000539	謙益等尋得釋。
HCH_013_066_000540	二月，逮巡按山西御史張孫振。
HCH_013_066_000541	初，提學僉事袁繼咸守官奉公，自書卷外無長物。
HCH_013_066_000542	孫振貪穢不職，誣奏之。
HCH_013_066_000543	貢士衞周祚等訟其寃。
HCH_013_066_000544	命并孫振逮訊。
HCH_013_066_000545	三月，陸文聲陳「風俗之弊，皆原於士子。太倉庶吉士張溥、前臨川知縣張采，倡復社以亂天下」。
HCH_013_066_000546	命南直提學御史倪元珙覈奏。
HCH_013_066_000547	元珙因極言文聲之妄。
HCH_013_066_000548	上責其蒙飾，降光祿寺錄事。
HCH_013_066_000549	溥、采為古學以相砥礪，天下靡然鄉風，不為政府所悅，故朝論多苛及之。
HCH_013_066_000550	時蘇州推官周之夔，亦訐奏溥等樹黨挾持。
HCH_013_066_000551	夏四月，兵科給事中宋學顯，貴州道御史張盛美俱例轉湖廣、河南參議。
HCH_013_066_000552	撫寧侯朱國弼劾溫體仁，私左都御史唐世濟，逐學顯、盛美。
HCH_013_066_000553	上不聽。
HCH_013_066_000554	又劾體仁受霍維華賂，令唐世濟發端。
HCH_013_066_000555	上慰諭體仁，奪國弼侯爵，世濟亦戍邊。
HCH_013_066_000556	六月，大學士溫體仁引疾免，賜金幣，遣行人吳本泰護歸。
HCH_013_066_000557	體仁在事，諸臣攻者無虛日。
HCH_013_066_000558	體仁與舉朝為仇，其庇私黨排異己，未嘗有跡，但因事圖之，使若發自上者，而主炳陰為所假，上竟不之疑。
