HCH_012_332_000001	撒馬兒罕，即漢罽賓地，隋曰漕國，唐復名罽賓，皆通中國。
HCH_012_332_000289	十二年，陳誠使其國。
HCH_012_332_000290	十八年遣使來貢，命誠及內官郭敬齎書幣往報。
HCH_012_332_000291	天順五年，其王馬哈麻遣使來貢。
HCH_012_332_000292	明年復貢。
HCH_012_332_000293	命使臣阿卜都剌襲父職，為指揮同知。
HCH_012_332_000294	于闐，古國名，自漢迄宋皆通中國。
HCH_012_332_000295	永樂四年遣使來朝，貢方物。
HCH_012_332_000296	使臣辭歸，命指揮神忠母撒等齎璽書偕行，賜其酋織金文綺。
HCH_012_332_000297	其酋打魯哇亦不刺金遣使者貢玉璞，命指揮尚衡等齎書幣往勞。
HCH_012_332_000298	十八年偕哈烈、八答黑商諸國貢馬，命參政陳誠、中官郭敬等報以綵幣。
HCH_012_332_000299	二十年貢美玉，賜賚有加。
HCH_012_332_000300	二十二年貢馬及方物。
HCH_012_332_000301	時仁宗初踐阼，即宴賚遣還。
HCH_012_332_000302	先是，永樂時，成祖欲遠方萬國無不臣服，故西域之使歲歲不絕。
HCH_012_332_000303	諸蕃貪中國財帛，且利市易，絡繹道途。
HCH_012_332_000304	商人率偽稱貢使，多攜馬、駝、玉石，聲言進獻。
HCH_012_332_000305	既入關，則一切舟車水陸、晨昏飲饌之費，悉取之有司。
HCH_012_332_000306	郵傳困供億，軍民疲轉輸。
HCH_012_332_000307	比西歸，輒緣道遲留，多市貨物。
HCH_012_332_000308	東西數千里間，騷然繁費，公私上下罔不怨咨。
HCH_012_332_000309	廷臣莫為言，天子亦莫之恤也。
HCH_012_332_000310	至是，給事中黃驥極陳其害。
HCH_012_332_000311	仁宗感其言，召禮官呂震責讓之。
HCH_012_332_000312	自是不復使西域，貢使亦漸稀。
HCH_012_332_000313	于闐自古為大國，隋、唐間侵并戎盧、扞彌、渠勒、皮山諸國，其地益大。
HCH_012_332_000314	南距蔥嶺二百餘里，東北去嘉峪關六千三百里。
HCH_012_332_000315	大略蔥嶺以南，撒馬兒罕最大；以北，于闐最大。
HCH_012_332_000316	元末時，其主暗弱，鄰國交侵。
HCH_012_332_000317	人民僅萬計，悉避居山谷，生理蕭條。
HCH_012_332_000318	永樂中，西域憚天子威靈，咸修職貢，不敢擅相攻，于闐始獲休息。
HCH_012_332_000319	漸行賈諸蕃，復致富庶。
HCH_012_332_000320	桑麻黍禾，宛然中土。
HCH_012_332_000321	其國東有白玉河，西有綠玉河，又西有黑玉河，源皆出崑崙山。
HCH_012_332_000322	土人夜視月光盛處，入水採之，必得美玉。
HCH_012_332_000323	其鄰國亦多竊取來獻。
HCH_012_332_000324	迄萬曆朝，于闐亦間入貢。
HCH_012_332_000325	失刺思，近撒馬兒罕。
HCH_012_332_000326	永樂十一年遣使偕哈烈、俺的干、哈實哈兒等八國，隨白阿兒忻台入貢方物，命李達、陳誠等齎敕偕其使往勞。
HCH_012_332_000327	十三年冬，其酋亦不剌金遣使隨達等朝貢，天子方北巡。
HCH_012_332_000328	至明年夏始辭還，復命誠偕中官魯安齎敕及白金、綵緞、紗羅、布帛賜其酋。
HCH_012_332_000329	十七年遣使偕亦思弗罕諸部貢獅子、文豹、名馬，辭還。
HCH_012_332_000330	復命安等送之，賜其酋絨錦、文綺、紗羅、玉繫腰、磁器諸物。
HCH_012_332_000331	時車駕頻歲北征，乏馬，遣官多齎彩幣、磁器，市之失剌思及撒馬兒罕諸國。
HCH_012_332_000332	其酋即遣使貢馬，以二十一年八月謁帝於宣府之行宮。
HCH_012_332_000333	厚賜之，遣還京師，其人遂久留內地不去。
HCH_012_332_000334	仁宗嗣位，趣之還，乃辭去。
HCH_012_332_000335	宣德二年貢駝馬方物，授其使臣阿力為都指揮僉事，賜誥命、冠帶。
HCH_012_332_000336	嗣後久不貢。
HCH_012_332_000337	成化十九年與黑婁、撒馬兒罕、把丹沙諸國共貢獅子，詔加優賚。
HCH_012_332_000338	弘治五年，哈密忠順王陜巴襲封歸國，與鄰境野乜克力酋結婚。
HCH_012_332_000339	失剌思酋念其貧，偕旁國亦不剌因之酋，率其平章鎖和卜台、知院滿可，各遣人請頒賜財物，助之成婚。
HCH_012_332_000340	朝議義之，厚賜陜巴，幷賜二國及其平章、知院綵幣。
HCH_012_332_000341	嘉靖三年與旁近三十二部幷遣使貢馬及方物。
HCH_012_332_000342	其使者各乞蟒衣、膝襴、磁器、布帛。
HCH_012_332_000343	天子不能卻，量予之，自是貢使亦不至。
HCH_012_332_000344	俺的干，西域小部落。
HCH_012_332_000345	元太祖盡平西域，封子弟為王鎮之，其小者則設官置戍，同於內地。
HCH_012_332_000346	元亡，各自割據，不相統屬。
HCH_012_332_000347	洪武、永樂間，數遣人招諭，稍稍來貢。
HCH_012_332_000348	地大者稱國，小者止稱地面。
HCH_012_332_000349	迄宣德朝，效臣職、奉表箋、稽首闕下者，多至七八十部。
HCH_012_332_000350	而俺的干，則永樂十一年與哈烈幷貢者也。
HCH_012_332_000351	迨十四年，魯安等使哈烈、失剌思諸思，復便道賜其酋長文綺。
HCH_012_332_000352	然地小不能常貢，後竟不至。
HCH_012_332_000353	哈實哈兒，亦西域小部落。
HCH_012_332_000354	永樂六年，把太、李達等齎敕往賜，即奉命。
HCH_012_332_000355	十一年遣使隨白阿兒忻台入朝，貢方物。
HCH_012_332_000356	宣德時亦來朝貢。
HCH_012_332_000357	天順七年命指揮劉福、普賢使其地。
HCH_012_332_000358	其貢使亦不能常至。
HCH_012_332_000359	亦思弗罕，地近俺的干。
HCH_012_332_000360	永樂十四年使俺都淮、撒馬兒罕者道經其地，賜其酋文綺諸物。
HCH_012_332_000361	十七年偕鄰國失剌思共貢獅、豹、西馬，賚白金、鈔幣。
HCH_012_332_000362	使臣辭還，命魯安等送之。
HCH_012_332_000363	有馬哈木者，願留京師。
HCH_012_332_000364	從其請。
HCH_012_332_000365	成化十九年與撒馬兒罕共貢獅子、名馬、番刀、兜羅、鎖幅諸物，賜賚有加。
HCH_012_332_000366	先是，宣德六年，有亦思把罕遣使臣迷兒阿力朝貢，或云即亦思弗罕。
HCH_012_332_000367	火剌札，國微弱。
HCH_012_332_000368	四圍皆山，鮮草木。
HCH_012_332_000369	水流曲折，亦無魚蝦。
HCH_012_332_000370	城僅里許，悉土屋，酋所居亦卑陋。
HCH_012_332_000371	俗敬僧。
HCH_012_332_000372	永樂十四年遣使朝貢，命所經地皆禮待。
HCH_012_332_000373	弘治五年，其地回回怕魯灣等由海道貢玻璃、瑪瑙諸物。
HCH_012_332_000374	孝宗不納，賜道里費遣還。
HCH_012_332_000375	乞力麻兒，永樂中遣使來貢，惟獸皮、鳥羽、罽褐。
HCH_012_332_000376	其俗喜射獵，不事耕農。
HCH_012_332_000377	西南傍海，東北林莽深密，多猛獸、毒蟲。
HCH_012_332_000378	有逵巷，無市肆，交易用鐵錢。
HCH_012_332_000379	白松虎兒，舊名速麻里兒。
HCH_012_332_000380	嘗有白虎出松林中，不傷人，亦不食他獸，旬日後不復見。
HCH_012_332_000381	國人異之，稱為神虎，曰此西方白虎所降精也，因改國名。
HCH_012_332_000382	其地無大山，亦不生樹木，無毒蟲、猛獸之害，然物產甚薄。
HCH_012_332_000383	永樂中嘗入貢。
HCH_012_332_000384	答兒密，服屬撒馬兒罕。
HCH_012_332_000385	居海中，地不百里，人不滿千家。
HCH_012_332_000386	無城郭，上下皆居板屋。
HCH_012_332_000387	知耕植，有毛褐、布縷、馬駝、牛羊。
HCH_012_332_000388	刑止箠朴。
HCH_012_332_000389	交易兼用銀錢。
HCH_012_332_000390	永樂中遣使朝貢，賜《大統曆》及文綺、藥、茶諸物。
HCH_012_332_000391	納失者罕，東去失剌思數日程，皆舟行。
HCH_012_332_000392	城東平原，饒水草，宜畜牧。
HCH_012_332_000393	馬有數種，最小者高不過三尺。
HCH_012_332_000394	俗重僧，所至必供飲食。
HCH_012_332_000395	然好氣健鬬，鬬不勝者，眾嗤之。
HCH_012_332_000396	永樂中遣使朝貢。
HCH_012_332_000397	使臣還，歷河北，轉關中，抵甘肅，有司皆置宴。
HCH_012_332_000398	敏真城，永樂中來貢。
HCH_012_332_000399	其國地廣，多高山。
HCH_012_332_000400	日中為市，諸貨駢集，貴中國磁、漆器。
HCH_012_332_000401	產異香、駝、馬。
HCH_012_332_000402	日落國，永樂中來貢。
HCH_012_332_000403	弘治元年，其王亦思罕答兒魯密帖里牙復貢。
HCH_012_332_000404	使臣奏求紵、絲、夏布、磁器，詔皆予之。
HCH_012_332_000405	米昔兒，一名密思兒。
HCH_012_332_000406	永樂中遣使朝貢。
HCH_012_332_000407	既宴賚，命五日一給酒饌、果餌，所經地皆置宴。
HCH_012_332_000408	正統六年，王鎖魯檀阿失剌福復來貢。
HCH_012_332_000409	禮官言：「其地極遠，未有賜例。昔撒馬兒罕初貢時，賜予過優，今宜稍損。賜王彩幣十表裏，紗、羅各三匹，白氁絲布、白將樂布各五匹，洗白布二十匹，王妻及使臣遞減。」
HCH_012_332_000410	從之。
HCH_012_332_000411	自後不復至。
HCH_012_332_000412	黑婁，近撒馬兒罕，世為婚姻。
HCH_012_332_000413	其地山川、草木、禽獸皆黑，男女亦然。
HCH_012_332_000414	宣德七年遣使來朝，貢方物。
HCH_012_332_000415	正統二年，其王沙哈魯鎖魯檀遣指揮哈只馬黑麻奉貢。
HCH_012_332_000416	命齎敕及金織紵絲、綵絹歸賜其王。
HCH_012_332_000417	六年復來貢。
HCH_012_332_000418	景泰四年偕鄰境三十一部男婦百餘人，貢馬二百四十有七，騾十二，驢十，駝七，及玉石、風砂、鑌鐵刀諸物。
HCH_012_332_000419	天順七年，王母塞亦遣指揮僉事馬黑麻捨兒班等奉貢。
HCH_012_332_000420	賜綵幣表裏、紵、絲襲衣，擢其使臣為指揮同知，從者七人俱為所鎮撫。
HCH_012_332_000421	成化十九年與失剌思、撒馬兒罕、把丹沙共貢獅子。
HCH_012_332_000422	把丹沙之長亦稱鎖魯檀馬黑麻，景泰七年嘗入貢，至是復偕至。
HCH_012_332_000423	弘治三年又與天方諸國貢駝、馬、玉石。
HCH_012_332_000424	討來思，地小，周徑不百里。
HCH_012_332_000425	城近山。
HCH_012_332_000426	山下有水，赤色，望之如火。
HCH_012_332_000427	俗佞佛。
HCH_012_332_000428	婦人主家柄。
HCH_012_332_000429	產牛羊馬駝，有布縷毛褐。
HCH_012_332_000430	土宜穄麥，無稻。
HCH_012_332_000431	交易用錢。
HCH_012_332_000432	宣德六年入貢。
HCH_012_332_000433	明年命中官李貴齎璽書獎勞，賜文綺、綵帛。
HCH_012_332_000434	以地小不能常貢。
HCH_012_332_000435	阿速，近天方、撒馬兒罕，幅員甚廣。
HCH_012_332_000436	城倚山面川。
HCH_012_332_000437	川南流入海，有魚鹽之利。
HCH_012_332_000438	土宜耕牧。
HCH_012_332_000439	敬佛畏神，好施惡鬬。
HCH_012_332_000440	物產富，寒暄適節，人無饑寒，夜鮮寇盜，雅稱樂土。
HCH_012_332_000441	永樂十七年，其酋牙忽沙遣使貢馬及方物，宴賚如制。
HCH_012_332_000442	以地遠不能常貢。
HCH_012_332_000443	天順七年命都指揮白全等使其國，竟不復再貢。
HCH_012_332_000444	沙哈魯，在阿速西海島中。
HCH_012_332_000445	永樂中遣七十七人來貢，日給酒饌、果餌，異於他國。
HCH_012_332_000446	其地，山川環抱，饒畜產，人性樸直，恥鬭好佛。
HCH_012_332_000447	王及臣僚處城中，庶人悉處城處。
HCH_012_332_000448	海產奇物，西域賈人以輕直市之，其國人不能識。
HCH_012_332_000449	天方，古筠沖地，一名天堂，又曰默伽。
HCH_012_332_000450	不道自忽魯謨斯四十日始至，自古里西南行，三月始至。
HCH_012_332_000451	其貢使多從陸道入嘉峪關。
HCH_012_332_000452	宣德五年，鄭和使西洋，分遣其儕詣古里。
HCH_012_332_000453	聞古里遣人往天方，因使人齎貨物附其舟偕行。
HCH_012_332_000454	往返經歲，市奇珍異寶及麒麟、獅子、駝雞以歸。
HCH_012_332_000455	其國王亦遣陪臣隨朝使來貢。
HCH_012_332_000456	宣宗喜，賜賚有加。
HCH_012_332_000457	正統元年始命附爪哇貢舟還，賜幣及敕獎其王。
HCH_012_332_000458	六年，王遣子賽亦得阿力與使臣賽亦得哈三以珍寶來貢。
HCH_012_332_000459	陸行至哈剌，遇賊，殺使臣，傷其子右手，盡劫貢物以去，命守臣察治之。
HCH_012_332_000460	成化二十三年，其國中回回阿力以兄納的游中土四十餘載，欲往雲南訪求。
HCH_012_332_000461	乃攜寶物鉅萬，至滿剌加，附行人左輔舟，將入京進貢。
HCH_012_332_000462	抵廣東，為市舶中官韋眷侵剋。
HCH_012_332_000463	阿力怨，赴京自訴。
HCH_012_332_000464	禮官請估其貢物，酬其直，許訪兄於雲南。
HCH_012_332_000465	時眷懼罪，先已夤緣於內。
HCH_012_332_000466	帝乃責阿力為間諜，假貢行奸，令廣東守臣逐還，阿力乃號泣而去。
HCH_012_332_000467	弘治三年，其王速檀阿黑麻遣使偕撒馬兒罕、土魯番貢馬、駝、玉石。
HCH_012_332_000468	正德初，帝從御馬太監谷大用言，令甘肅守臣訪求諸番騍馬、騸馬，番使云善馬出天方。
HCH_012_332_000469	守臣因請諭諸番貢使，傳達其王，俾以入貢。
HCH_012_332_000470	兵部尚書劉宇希中官指，議令守臣善擇使者與通事，親詣諸番曉諭，從之。
HCH_012_332_000471	十三年，王寫亦把剌克遣使貢馬、駝、梭幅、珊瑚、寶石、魚牙刀諸物，詔賜蟒龍金織衣及麝香、金銀器。
HCH_012_332_000472	嘉靖四年，其王亦麻都兒等遣使貢馬、駝、方物。
HCH_012_332_000473	禮官言：「西人來貢，陜西行都司稽留半年以上始為具奏。所進玉石悉粗惡，而使臣所私貨皆良。乞下按臣廉問，自今毋得多攜玉石，煩擾道途。其貢物不堪者，治都司官罪。」
HCH_012_332_000474	從之。
HCH_012_332_000475	明年，其國額麻都抗等八王各遣使貢玉石，主客郎中陳九川簡退其粗惡者，使臣怨。
HCH_012_332_000476	通事胡士紳亦憾九川因詐為使臣奏，詞誣九川，盜玉，坐下詔獄拷訊。
HCH_012_332_000477	尚書席書、給事中解一貫等論救，不聽，竟戍邊。
HCH_012_332_000478	十一年遣使偕土魯番、撒馬兒罕、惟密諸國來貢，稱王者至三十七人。
HCH_012_332_000479	禮官言：「舊制，恰哈密與朵顏三衛比歲一貢，貢不過三百人。三衛地近，盡許入都。哈密則十遣其二，餘留待於邊。若西域則越在萬里，素非屬國，難視三衛貢期，而所遣使人倍踰恒數。番文至二百餘通，皆以索取叛人牙木蘭為詞。竊恐託詞窺伺，以覘朝廷處分。邊臣不遵明例，概行起送，有乖法體。乞下督撫諸臣，遇諸番人入貢，分別存留起送，不得概遣入京。且嚴飭邊吏，毋避禍目前，貽患異日，貪納款之虛名，忘禦邊之實策。」
HCH_012_332_000480	帝可其奏。
HCH_012_332_000481	故事，諸番貢物至，邊臣驗上其籍，禮官為按籍給賜。
HCH_012_332_000482	籍所不載，許自行貿易。
HCH_012_332_000483	貢使既竣，即有餘貨，責令攜歸。
HCH_012_332_000484	願入官者，禮官奏聞，給鈔。
HCH_012_332_000485	正德末，黠番猾胥交關罔利，始有貿易餘貨令市儈評直、官給絹鈔之例。
HCH_012_332_000486	至是，天方及土魯番使臣，其籍餘玉石、銼刀諸貨，固求準貢物給賞。
HCH_012_332_000487	禮官不得已，以正德間例為請，許之。
HCH_012_332_000488	番使多賈人，來輒挾重貲與中國市。
HCH_012_332_000489	邊吏嗜賄，侵剋多端，類取償於公家。
HCH_012_332_000490	或不當其直，則咆哮不止。
HCH_012_332_000491	是歲，貢使皆黠悍，既習知中國情，且憾邊吏之侵剋也，屢訴之，禮官卻不問。
HCH_012_332_000492	鎮守甘肅中官陳浩者，當番使入貢時，令家奴王洪多索名馬、玉石諸物，使臣憾之。
HCH_012_332_000493	一日，遇洪於衢，即執詣官以證實其事。
HCH_012_332_000494	禮官言事關國體，須大有處分，以服遠人之心。
HCH_012_332_000495	乃命三法司、錦衣衛及給事中各遣官一員赴甘肅按治，洪迄獲罪。
HCH_012_332_000496	十七年復貢，其使臣請游覽中土。
HCH_012_332_000497	禮官疑有狡心，以非故事格之。
HCH_012_332_000498	二十二年偕撒馬兒罕、土魯番、哈密、魯迷諸國貢馬及方物。
HCH_012_332_000499	後五六年一貢，迄萬曆中不絕。
HCH_012_332_000500	天方於西域為大國，四時常似夏，無雨雹霜雪，惟露最濃，草木皆資之長養。
HCH_012_332_000501	土沃，饒慄、麥、黑黍。
HCH_012_332_000502	人皆頎碩。
HCH_012_332_000503	男子削髮，以布纏之。
HCH_012_332_000504	婦女則編髮蓋頭，不露其面。
HCH_012_332_000505	相傳回回設教之祖曰馬哈麻者，首於此地行教，死即葬焉。
HCH_012_332_000506	墓頂常有光，日夜不熄。
HCH_012_332_000507	後人遵其教，久而不衰，故人皆向善。
HCH_012_332_000508	國無苛擾，亦無刑罰，上下安和，寇賊不作，西土稱為樂國。
HCH_012_332_000509	俗禁酒。
HCH_012_332_000510	有禮拜寺，月初生，其王及臣民咸拜天，號呼稱揚以為禮。
HCH_012_332_000511	寺分四方，每方九十間，共三百六十間，皆白玉為柱，黃甘玉為地。
HCH_012_332_000512	其堂以五色石砌成，四方平頂。
HCH_012_332_000513	內用沉香大木為梁凡五，又以黃金為閣。
HCH_012_332_000514	堂中垣墉，悉以薔薇露、龍涎香和土為之。
HCH_012_332_000515	守門以二黑獅。
HCH_012_332_000516	堂左有司馬儀墓，其國稱為聖人塚。
HCH_012_332_000517	土悉寶石，圍牆則黃甘玉。
HCH_012_332_000518	兩旁有諸祖師傳法之堂，亦以石築成，俱極其壯麗。
HCH_012_332_000519	其崇奉回回教如此。
HCH_012_332_000520	瓜果、諸畜，咸如中國。
HCH_012_332_000521	西瓜、甘瓜有一人不能舉者，桃有重四五斤者，雞、鴨有重十餘斤者，皆諸番所無也。
HCH_012_332_000522	馬哈麻墓後有一井，水清而甘。
HCH_012_332_000523	泛海者必汲以行，遇颶風，取水灑之即息。
HCH_012_332_000524	當鄭和使西洋時，傳其風物如此。
HCH_012_332_000525	其後稱王者至二三十人，其俗亦漸不如初矣。
HCH_012_332_000526	默德那，回回祖國也，地近天方。
HCH_012_332_000527	宣德時，其酋長遣使偕天方使臣來貢，後不復至。
HCH_012_332_000528	相傳，其初國王謨罕驀德生而神靈，盡臣服西域諸國，諸國尊為別諳拔爾，猶言天使也。
HCH_012_332_000529	國中有經三十本，凡三千六百餘段。
HCH_012_332_000530	其書旁行，兼篆、草、楷三體，西洋諸國皆用之。
HCH_012_332_000531	其教以事天為主，而無像設。
HCH_012_332_000532	每日西向虔拜。
HCH_012_332_000533	每歲齋戒一月，沐浴更衣，居必易常處。
HCH_012_332_000534	隋開皇中，其國撒哈八撒阿的幹葛思始傳其教入中國。
HCH_012_332_000535	迄元世，其人遍於四方，皆守教不替。
HCH_012_332_000536	國中城池、宮室、市肆、田園，大類中土。
HCH_012_332_000537	有陰陽、星曆、醫藥、音樂諸技。
HCH_012_332_000538	其織文、製器尤巧。
HCH_012_332_000539	寒暑應候，民殷物繁，五穀六畜咸備。
HCH_012_332_000540	俗重殺，不食豬肉。
HCH_012_332_000541	嘗以白布蒙頭，雖適他邦，亦不易其俗。
HCH_012_332_000542	坤城，西域回回種。
HCH_012_332_000543	宣德五年，其使臣者馬力丁等來朝，貢駝馬。
HCH_012_332_000544	時有開中之令，使者即輸米一萬六千七百石於京倉中鹽。
HCH_012_332_000545	及辭還，願以所納米獻官。
HCH_012_332_000546	帝曰：「回人善營利，雖名朝貢，實圖貿易，可酬以直。」
HCH_012_332_000547	於是予帛四十匹、布倍之。
HCH_012_332_000548	其後亦嘗貢。
HCH_012_332_000549	自成祖以武定天下，欲威制萬方，遣使四出招徠。
HCH_012_332_000550	由是西域大小諸國莫不稽顙稱臣，獻琛恐後。
HCH_012_332_000551	又北窮沙漠，南極溟海，東西抵日出沒之處，凡舟車可至者，無所不屆。
HCH_012_332_000552	自是，殊方異域鳥言侏㒧之使，輻輳闕廷。
HCH_012_332_000553	歲時頒賜，庫藏為虛。
HCH_012_332_000554	而四方奇珍異寶、名禽殊獸進獻上方者，亦日增月益。
HCH_012_332_000555	蓋兼漢、唐之盛而有之，百王所莫幷也。
HCH_012_332_000556	餘威及於後嗣，宣德、正統朝猶多重譯而至。
HCH_012_332_000557	然仁宗不務遠略，踐阼之初，即撤西洋取寶之船，停松花江造舟之役，召西域使臣還京，敕之歸國，不欲疲中土以奉遠人。
HCH_012_332_000558	宣德繼之，雖間一遣使，尋亦停止，以故邊隅獲休息焉。
HCH_012_332_000559	今采故牘嘗奉貢通名天朝者，曰哈三，曰哈烈兒，曰沙的蠻，曰哈的蘭，曰掃蘭，曰乜克力，曰把力黑，曰俺力麻，曰脫忽麻，曰察力失，曰幹失，曰卜哈剌，曰怕剌，曰你沙兀兒，曰克失迷兒，曰帖必力思，曰火壇，曰火占，曰苦先，曰牙昔，曰牙兒干，曰戎，曰白，曰兀倫，曰阿端，曰邪思城，曰捨黑，曰擺音，曰克癿，計二十九部。
HCH_012_332_000560	以疆域褊小，止稱地面。
HCH_012_332_000561	與哈烈、哈實哈兒、賽藍、亦力把力、失剌思、沙鹿海牙、阿速、把丹皆由哈密入嘉峪關，或三年、五年一貢，入京者不得過三十五人。
HCH_012_332_000562	其不由哈密者，更有乞兒、麻米兒、哈蘭可脫、癿蠟燭、也的干、剌竹、亦不剌、因格失、迷乞兒、吉思羽奴、思哈辛十一地面，亦嘗通貢。
HCH_012_332_000563	魯迷，去中國絕遠。
HCH_012_332_000564	嘉靖三年遣使貢獅子、西牛。
HCH_012_332_000565	給事中鄭一鵬言：「魯迷非嘗貢之邦，獅子非可育之獸，請卻之，以光聖德。」
HCH_012_332_000566	禮官席書等言：「魯迷不列《王會》，其真偽不可知。近土魯番數侵甘肅，而邊吏於魯迷冊內，察有土魯番之人。其狡詐明甚，請遣之出關，治所獲間諜罪。」
HCH_012_332_000567	帝竟納之，而令邊臣察治。
HCH_012_332_000568	五年冬，復以二物來貢。
HCH_012_332_000569	既頒賜，其使臣言，長途跋涉，費至二萬二千餘金，請加賜。
HCH_012_332_000570	御史張祿言：「華夷異方，人物異性，留人養畜，不惟違物，抑且拂人。況養獅日用二羊，養西牛日用果餌。獸相食與食人食，聖賢皆惡之。又調御人役，日需供億。以光祿有限之財，充人獸無益之費，殊為拂經。乞返其人，卻其物，薄其賞，明中國聖人不貴異物之意。」
HCH_012_332_000571	不納。
HCH_012_332_000572	乃從禮官言，如弘治撒馬兒罕例益之。
HCH_012_332_000573	二十二年偕天方諸國貢馬及方物，明年還至甘州。
HCH_012_332_000574	會迤北賊入寇，總兵官楊信令貢使九十餘人往御，死者九人。
HCH_012_332_000575	帝聞，褫信職，命有司棺斂歸其喪。
HCH_012_332_000576	二十七年、三十三年幷入貢。
HCH_012_332_000577	其貢物有珊瑚、琥珀、金剛鉆、花瓷器、鎖服、撒哈剌帳、羚羊角、西狗皮、舍列猻皮、鐵角皮之屬。
