HCH_012_166_000001	韓觀山雲蕭授方瑛李震王信彭倫歐磐張祐韓觀，字彥賓，虹人，高陽忠壯侯成子也。
HCH_012_166_000388	陜西大饑，勝奉詔輸米百萬石往振。
HCH_012_166_000389	信卒，遂遷署都指揮使，充總兵官代之，鋐代勝為參將。
HCH_012_166_000390	弘治中，勝以都督僉事帶俸南京前府。
HCH_012_166_000391	時鋐已鎮守廣西副總兵，破府江僮賊，遂以時望擢總漕運。
HCH_012_166_000392	鋐沈毅有將略。
HCH_012_166_000393	而勝無汗馬勛，徒以居官廉靜，故頻有任使。
HCH_012_166_000394	歷任五十七年，所處皆膏腴地，而自奉簡淡，日食止豆腐，時因以為號。
HCH_012_166_000395	鋐累進都督同知，凡軍民利病多陳於朝。
HCH_012_166_000396	嘗浚通州河二十里，置壩，令淺船搬運，歲省白金數萬。
HCH_012_166_000397	當孝宗時，朝政整肅，文武大臣率得人，鋐筦漕十三年不易。
HCH_012_166_000398	正德初，始召佐後府，尋卒。
HCH_012_166_000399	彭倫，初職為湖廣永定衛指揮使，累功至都指揮同知。
HCH_012_166_000400	成化初，從趙輔平大藤峽賊。
HCH_012_166_000401	進都指揮使，守備貴州清浪諸處，討破茅坪、銅鼓叛苗。
HCH_012_166_000402	賊掠乾溪，倫討之。
HCH_012_166_000403	賊還所掠，與盟而退。
HCH_012_166_000404	倫以賊入時，道邛水諸寨，不即邀遏，乃下令，賊入境能生致者予重賞，縱者置諸法。
HCH_012_166_000405	由是諸司各約所屬，凡生苗軼入，即擒之，送帳下者累累。
HCH_012_166_000406	倫大會所部目、把縛俘囚，置高竿，集健卒亂射殺之，復割裂肢體，烹啖諸壯士。
HCH_012_166_000407	罪輕者截耳鼻使去，曰：「以此識，再犯不赦矣。」
HCH_012_166_000408	因令諸寨樹牌為界，群苗股栗不敢犯。
HCH_012_166_000409	明年充右參將，仍鎮清浪。
HCH_012_166_000410	益盡心邊計，戎事畢舉。
HCH_012_166_000411	妖賊石全州潛入絞洞，煽動古州苗，洪江、甘篆諸苗鹹應之。
HCH_012_166_000412	倫遣兵截擒，並搜獲其妻子。
HCH_012_166_000413	諸苗將攻鎮遠，倫大敗之，斬首及墮崖死者無算。
HCH_012_166_000414	無何，邛水十四寨苗糾洪江生苗為逆。
HCH_012_166_000415	倫分五哨往，甫行，雨如註，倫曰：「賊不虞我，急趨之，可得誌也。」
HCH_012_166_000416	競進夾攻，縶其魁，俘斬余黨。
HCH_012_166_000417	賊盡平。
HCH_012_166_000418	靖州苗亂，湖廣總兵官李震檄倫會討。
HCH_012_166_000419	軍至邛水江，諸熟苗驚，欲竄。
HCH_012_166_000420	倫與僉事李晃計曰「苗竄必助賊」，乃急撫定之。
HCH_012_166_000421	又緣道降天堂、小坪諸苗。
HCH_012_166_000422	既抵靖州，倫將右哨，出賊背布營。
HCH_012_166_000423	賊走據高山，倫軍仰攻之，賊敗走。
HCH_012_166_000424	遂渡江，搗其巢，大獲。
HCH_012_166_000425	乘勝攻白崖塘。
HCH_012_166_000426	崖高萬仞，下臨深淵，稱絕險。
HCH_012_166_000427	倫會左哨同進，得徑路。
HCH_012_166_000428	夜登，賊倉皇潰。
HCH_012_166_000429	追斬二千餘級，俘獲如之，盡夷其寨。
HCH_012_166_000430	初，臻剖、六洞苗侵熟苗田，不輸賦，又不供驛馬，有司莫敢問。
HCH_012_166_000431	倫遣人諭之，頓首請如制。
HCH_012_166_000432	錄功，進都督僉事。
HCH_012_166_000433	久之，御史鄧庠、員外郎費瑄勘事貴州，總兵官吳經等皆被劾，獨薦倫智謀老成。
HCH_012_166_000434	弘治初，經論罷，即以倫代。
HCH_012_166_000435	倫用師，先計後戰，故多功。
HCH_012_166_000436	四年以老致仕。
HCH_012_166_000437	卒，予恤如制。
HCH_012_166_000438	歐磐，滁人。
HCH_012_166_000439	襲世職指揮使。
HCH_012_166_000440	成化中，擢廣東都指揮僉事。
HCH_012_166_000441	屢剿蠻寇有功。
HCH_012_166_000442	用總督朱英薦，充廣西右參將，分守柳州、慶遠。
HCH_012_166_000443	與左參將馬義討融縣八寨瑤，克之。
HCH_012_166_000444	師旋。
HCH_012_166_000445	余賊復出掠，被劾。
HCH_012_166_000446	帝絀磐等功，但恤死事家。
HCH_012_166_000447	瑤賊方公強亂，兵部劾總鎮中官顧恒，並及磐，當謫戍。
HCH_012_166_000448	督撫奏：「磐所守乃瑤、僮出沒地。磐募死士，夜入賊巢，斬其渠胡公返，威震群蠻。論功，可贖罪。」
HCH_012_166_000449	帝乃宥之，還故任。
HCH_012_166_000450	二十三年，郁林陸川賊黃公定、胡公明等亂。
HCH_012_166_000451	磐偕按察使陶魯等分五道攻破之。
HCH_012_166_000452	進都指揮同知。
HCH_012_166_000453	弘治初，謝病解職。
HCH_012_166_000454	總督秦纮言磐多歷戰陣，有才有守，乞起用。
HCH_012_166_000455	詔還任。
HCH_012_166_000456	八年，府江永安諸僮亂。
HCH_012_166_000457	總督閔珪調兵六萬，分四哨往討。
HCH_012_166_000458	磐自象州、修仁直搗陸峒，所向摧破。
HCH_012_166_000459	已，偕諸軍連破山寨百八十，斬首六千有奇。
HCH_012_166_000460	進都指揮使，遷廣西副總兵。
HCH_012_166_000461	思恩土官岑浚築石城於丹良莊，截江括商利。
HCH_012_166_000462	帥府令毀之，不聽。
HCH_012_166_000463	磐自田州還，督兵將毀城。
HCH_012_166_000464	浚率眾拒，擊敗之，卒夷其城。
HCH_012_166_000465	都御史鄧廷瓚等以磐功多，言於朝，進都督僉事。
HCH_012_166_000466	十五年命佩平蠻將軍印，鎮守湖廣。
HCH_012_166_000467	磐為將廉，能得士。
HCH_012_166_000468	久鎮南邦，蠻人畏服。
HCH_012_166_000469	十八年請老，又二年卒。
HCH_012_166_000470	祭葬如制。
HCH_012_166_000471	張祐，字天祐，廣州人。
HCH_012_166_000472	幼好學能文。
HCH_012_166_000473	弘治中襲世職為廣州右衛指揮使。
HCH_012_166_000474	年十九，從總督潘蕃征南海寇禢元祖，先登有功。
HCH_012_166_000475	正德二年擢署都指揮僉事，守備德慶、瀧水。
HCH_012_166_000476	瑤、僮負險者聞其威信，稍稍遁去。
HCH_012_166_000477	總督林廷選引為中軍，事無大小咨焉。
HCH_012_166_000478	守備惠、潮，搗盜魁劉文安、李通寶穴，平之。
HCH_012_166_000479	遷廣西右參將，分守柳、慶。
HCH_012_166_000480	總督陳金討府江賊，命祐進沈沙口，大破之。
HCH_012_166_000481	增俸一等，擢副總兵，鎮守廣西。
HCH_012_166_000482	尋進署都督僉事。
HCH_012_166_000483	古田諸瑤、僮亂。
HCH_012_166_000484	祐言：「先年征討，率倚兩江土兵，賞不酬勞。今調多失期，乞定議優賚。」
HCH_012_166_000485	從之。
HCH_012_166_000486	督都指揮沈希儀等討臨桂、灌陽諸瑤，斬首五百餘級，璽書獎勞。
HCH_012_166_000487	又連破古田賊，俘斬四千七百，進署都督同知。
HCH_012_166_000488	已，復討平洛容、肇慶、平樂諸蠻。
HCH_012_166_000489	增俸一等，蔭子，世百戶。
HCH_012_166_000490	嘉靖改元，母喪，哀毀骨立。
HCH_012_166_000491	尋以疾乞休，還衛。
HCH_012_166_000492	初，上思州土目黃镠作亂，祐購其黨黃廷寶縛獻之。
HCH_012_166_000493	總督張嵿惡祐不白己，至劾祐懷奸避難，逮系德慶獄。
HCH_012_166_000494	數上書訟冤，釋令閑住。
HCH_012_166_000495	盧蘇、王受亂田州。
HCH_012_166_000496	總督姚鏌召至軍中，待以賓禮，多所裨贊。
HCH_012_166_000497	後王守仁代鏌，詢撫剿之宜，祐曰：「以夷治夷，可不煩兵而下。」
HCH_012_166_000498	守仁納之，蘇、受果效順。
HCH_012_166_000499	因命祐部分其眾。
HCH_012_166_000500	事寧，守仁言：「思、田初定，宜設一副總兵鎮之，請即以命祐。」
HCH_012_166_000501	報可。
HCH_012_166_000502	破封川賊盤古子，又剿廣東會寧劇賊丘區長等，斬首一千二百，勒銘大隆山。
HCH_012_166_000503	十一年，楊春賊趙林花陷高州，總督陶諧檄祐討。
HCH_012_166_000504	深入，多所斬獲。
HCH_012_166_000505	忽中危疾卒，軍中為哀慟。
HCH_012_166_000506	祐身長八尺，智識絕人。
HCH_012_166_000507	馭軍有節制，與下同甘苦，不營私產。
HCH_012_166_000508	性好書，每載以自隨，軍暇即延儒生講論。
HCH_012_166_000509	嘗過烏蠻灘，謁馬伏波祠，太息曰：「歿不俎豆其間，非夫也。」
HCH_012_166_000510	題詩而去。
HCH_012_166_000511	後田州人立祠橫山祀之。
HCH_012_166_000512	贊曰：苗蠻阻險自固，易動難服，自其性然。
HCH_012_166_000513	而草禽狝，濫殺邀功，貪貨賄，興事端，控馭乖方，綏懷無策，則鎮將之過也。
HCH_012_166_000514	韓觀諸人，雖功最焯著，而皆以威信震懾蠻荒。
HCH_012_166_000515	若山雲、王信、張祐之廉儉有守，士君子何以過？
HCH_012_166_000516	故尤足尚雲。
