HCH_012_156_000001	吳允誠薛斌吳成金忠李英毛勝焦禮毛忠和勇羅秉忠吳允誠，蒙古人。
HCH_012_156_000439	積戰功至左都督。
HCH_012_156_000440	天順初，始賜姓名。
HCH_012_156_000441	曹欽之反，番官多從之者。
HCH_012_156_000442	秉忠亦坐下獄，籍其家。
HCH_012_156_000443	久之，上章自辯，乃得釋。
HCH_012_156_000444	成化初，尚書程信討山都掌蠻，秉忠以遊擊將軍從。
HCH_012_156_000445	既抵永寧，分兵六道。
HCH_012_156_000446	秉忠由金鵝江進，大破之。
HCH_012_156_000447	論功，封順義伯。
HCH_012_156_000448	十六年卒。
HCH_012_156_000449	謚榮壯，子孫世指揮使。
HCH_012_156_000450	贊曰：明興，諸番部懷太祖功德，多樂內附，賜姓名授官職者不可勝紀。
HCH_012_156_000451	繼以成祖銳意遠圖，震耀威武，於是吳允誠、金忠之徒，率眾來屬，遂得列爵授任，比肩勛舊。
HCH_012_156_000452	或以戰功自奮，錫券受封，傳世不絕。
HCH_012_156_000453	視夫陸梁倔強者，順逆殊異，不其昭歟！
HCH_012_156_000454	土木以還，勢以不競，邊政日弛，火篩、俺答諸部騷動無寧歲。
HCH_012_156_000455	盛衰之故概可考焉。
