HCH_009_005_000001	廢帝海陵庶人亮，字元功，本諱迪古乃，遼王宗幹第二子也。
HCH_009_005_000363	四月，太尉、樞密使僕散思恭以父憂，起復如故。
HCH_009_005_000364	五月辛亥，修容安氏閣女御爲妖所憑，舞噪宮中，命殺之。
HCH_009_005_000365	是月，頒行正隆官制。
HCH_009_005_000366	六月庚辰，天水郡公趙桓薨。
HCH_009_005_000367	丙戌，以尚書右丞蔡松年爲左丞，樞密副使耶律安禮爲右丞，附馬都尉烏古論當海爲樞密副使。
HCH_009_005_000368	七月己酉，命太保昂如上京，奉遷始祖以下梓宮。
HCH_009_005_000369	八月丁丑，如大房山行視山陵。
HCH_009_005_000370	十月乙酉，葬始祖以下十帝于大房山。
HCH_009_005_000371	丁酉，還宮。
HCH_009_005_000372	閏月己亥朔，山陵禮成，群臣稱賀。
HCH_009_005_000373	甲辰，回鶻使使寅朮烏籠骨來貢。
HCH_009_005_000374	庚寅，杖右丞相蕭玉、左丞蔡松年、右丞耶律安禮、御史中丞馬諷等。
HCH_009_005_000375	十一月己巳朔，以右司郎中梁銶等爲賀宋正旦使。
HCH_009_005_000376	癸巳，禁二月八日迎佛。
HCH_009_005_000377	二年正月戊辰朔，宋、高麗、夏遣使來賀。
HCH_009_005_000378	庚辰，太白晝見。
HCH_009_005_000379	癸未，生辰，宋、高麗夏遣使來賀。
HCH_009_005_000380	庚寅，以工部侍郎韓錫同知宣徽院事，錫不謝，杖百二十，奪所授官。
HCH_009_005_000381	二月辛丑，初定太廟時享牲牢禮儀。
HCH_009_005_000382	癸卯，改定親王以下封爵等第，命置局追取存亡告身，存者二品以上，死者一品，參酌削降。
HCH_009_005_000383	公私文書，但有王爵字者，皆立限毀抹，雖墳墓碑誌併發而毀之。
HCH_009_005_000384	三月丙寅朔，高麗遣使賀受尊號。
HCH_009_005_000385	四月戊戌，追降景宣皇帝爲豐王。
HCH_009_005_000386	以僉書宣徽院事張哲爲橫賜高麗使，宿直將軍溫敦斡喝爲橫賜夏國使。
HCH_009_005_000387	六月乙未，參知政事納合椿年薨。
HCH_009_005_000388	以禮部尚書耶律守素等爲賀宋生日使。
HCH_009_005_000389	八月癸卯，始置登聞院。
HCH_009_005_000390	甲寅，罷上京留守司。
HCH_009_005_000391	九月乙丑，以宿直將軍僕散烏里黑爲夏國生日使。
HCH_009_005_000392	戊子，罷護駕軍，置龍翔虎步軍。
HCH_009_005_000393	罷尚書省文資令史出爲外官。
HCH_009_005_000394	是秋，中都、山東、河東蝗。
HCH_009_005_000395	十月壬寅，命會寧府毀舊宮殿、諸大族第宅及儲慶寺，仍夷其址而耕種之。
HCH_009_005_000396	丁未，禁賣古器入他境。
HCH_009_005_000397	乙卯，初鑄銅錢。
HCH_009_005_000398	十一月辛未，以侍衛親軍副指揮使高助不古等爲賀宋正旦使。
HCH_009_005_000399	十二月己亥，以侍衛親軍都指揮使紇石烈良弼爲參知政事。
HCH_009_005_000400	三年正月壬戌朔，宋、高麗、夏遣使來賀。
HCH_009_005_000401	丙寅，子矧思阿不死，殺太醫副使謝友正及其乳母等。
HCH_009_005_000402	丁丑，生辰，宋、高麗、夏遣使來賀。
HCH_009_005_000403	己卯，杖右諫議大夫楊伯雄。
HCH_009_005_000404	二月壬辰朔，都城及京兆初置錢監。
HCH_009_005_000405	甲午，遣使檢視隨路金銀銅鐵冶。
HCH_009_005_000406	三月辛酉朔，司天奏日食，侯之不見。
HCH_009_005_000407	命自今遇日食，面奏，不須頒告。
HCH_009_005_000408	辛巳，以兵部尚書蕭恭等爲賀宋生日使。
HCH_009_005_000409	四月丙辰，樞密副使烏古論當海罷，以北京留守張暉爲樞密副使。
HCH_009_005_000410	六月壬辰，蝗入京師。
HCH_009_005_000411	七月庚申，封子廣陽爲滕王。
HCH_009_005_000412	甲申，以右丞相蕭玉爲司徒，尚書左丞蔡松年爲右丞相，右丞耶律安禮爲左丞，參知政事紇石烈良弼爲右丞，左宣徽使敬嗣暉、戸部尚書李通爲參知政事。
HCH_009_005_000413	九月己未，太白經天。
HCH_009_005_000414	甲子，滕王廣陽薨。
HCH_009_005_000415	庚午，以宿直將軍阿魯保爲夏國生日使。
HCH_009_005_000416	丁丑，以教坊提點高存福爲高麗生日使。
HCH_009_005_000417	辛巳，遷中都屯軍二猛安于南京，遣吏部尚書李惇等分地安置。
HCH_009_005_000418	十月戊戌，詔尚書省：「凡事理不當者，許詣登聞檢院投狀，院類奏覽訖，付御史台理問。」
HCH_009_005_000419	十一月辛酉，以工部尚書蘇保衡等爲賀宋正旦使。
HCH_009_005_000420	癸亥，詔有司勤政安民。
HCH_009_005_000421	癸未，尚書左丞耶律安禮罷。
HCH_009_005_000422	參知政事李通以憂制，起復如故。
HCH_009_005_000423	詔左丞相張浩、參知政事敬嗣暉營建南京宮室。
HCH_009_005_000424	十二月乙卯，以樞密副使張暉爲尚書左丞。
HCH_009_005_000425	歸德尹致仕高召和式起爲樞密副使。
HCH_009_005_000426	四年正月丙辰朔，宋、高麗、夏遣使來賀。
HCH_009_005_000427	上朝太后于壽康宮。
HCH_009_005_000428	丁巳，御史大夫高楨薨。
HCH_009_005_000429	庚申，更定私相越境法，並論死。
HCH_009_005_000430	辛酉，罷鳳翔、唐、鄧、潁、蔡、鞏、洮、膠西諸榷場，置場泗州。
HCH_009_005_000431	辛未，生辰，宋、高麗、夏遣使來賀。
HCH_009_005_000432	二月己丑，以左宣徽使許霖爲御史大夫。
HCH_009_005_000433	丁未，修中都城。
HCH_009_005_000434	造戰船于通州。
HCH_009_005_000435	詔諭宰臣以伐宋事。
HCH_009_005_000436	調諸路猛安謀克軍年二十以上、五十以下者，皆籍之，雖親老丁多亦不許留侍。
HCH_009_005_000437	三月丙辰朔，遣兵部尚書蕭恭經畫夏國邊界。
HCH_009_005_000438	遣使分詣諸道總管府督造兵器。
HCH_009_005_000439	四月辛丑，命增山東泉水、畢括兩營兵士廩給。
HCH_009_005_000440	庚戌，詔諸路舊貯軍器並致于中都。
HCH_009_005_000441	時方建宮室于南京，又中都與四方所造軍器材用皆賦于民，箭翎一尺至千錢，村落間往往椎牛以供筋革，至于烏鵲狗彘無不被害者。
HCH_009_005_000442	辛亥，尚書左丞張暉、御史大夫許霖罷。
HCH_009_005_000443	以大興尹徒單貞爲樞密副使。
HCH_009_005_000444	以秘書監王可道等爲賀宋生日使。
HCH_009_005_000445	八月，詔諸路調馬，以戶口爲差，計五十六萬余匹，富室有至六十匹者，仍令戶自養飼以俟。
HCH_009_005_000446	己卯，尚書右丞相蔡松年薨。
HCH_009_005_000447	九月，以翰林待制完顏達紀爲高麗生日使，宿直將軍加古撻懶爲夏國生日使。
HCH_009_005_000448	十月乙亥，獵于近郊，觀造船于通州。
HCH_009_005_000449	賜尚書右丞紇石烈良弼、樞密副使徒單貞佩刀入宮。
HCH_009_005_000450	十一月甲辰，以翰林侍講學士施宜生等爲賀宋正旦使。
HCH_009_005_000451	十二月乙卯，宋遣使告母韋氏哀。
HCH_009_005_000452	甲子，太白晝見。
HCH_009_005_000453	乙丑，以左副點檢大懷忠等爲宋弔祭使。
HCH_009_005_000454	乙亥，太醫使祁宰上疏諫伐宋，殺之。
HCH_009_005_000455	五年正月庚辰朔，宋、高麗、夏遣使來賀。
HCH_009_005_000456	乙未，生辰，宋、高麗、夏遣使來賀。
HCH_009_005_000457	二月壬子，宋遣使獻母后遣留物。
HCH_009_005_000458	丁卯，太白晝見。
HCH_009_005_000459	辛未，河東、陝西地震，鎮戎、德順軍大風，壞廬舍，人多壓死。
HCH_009_005_000460	甲戌，遣引進使高植、刑部郎中海狗分道監視所獲盜賊，並淩遲處死，或鋸灼去皮截手足。
HCH_009_005_000461	仍戒屯戍千戶謀克等，後有獲者，並處死，總管府官亦決罰。
HCH_009_005_000462	三月辛巳，東海縣民張旺、徐元等反，遣都水監徐文、步軍指揮使張弘信、同知大興尹事李惟忠、宿直將軍蕭阿窊率舟師九百，浮海討之，命之曰：「朕意不在一邑，將試舟師耳。」
HCH_009_005_000463	庚子，以司徒判大宗正事蕭玉爲御史大夫，司徒如故，尚書右丞紇石烈良弼爲左丞，橫海軍節度使致仕劉長言起爲右丞。
HCH_009_005_000464	四月庚戌，昭妃蒲察阿里忽有罪賜死。
HCH_009_005_000465	甲寅，宿州防禦使耶律翼使宋失體，杖二百，除名。
HCH_009_005_000466	甲戌，太白晝見。
HCH_009_005_000467	六月，徐文等破賊張旺、徐元，東海平。
HCH_009_005_000468	七月辛巳，詔東海縣徐元、張旺詿誤者，並釋之。
HCH_009_005_000469	壬午，以張弘信被命討賊，稱疾逗遛萊州，與妓樂飲燕，杖之二百。
HCH_009_005_000470	癸卯，遣使簽諸路漢軍。
HCH_009_005_000471	八月丙午朔，日有食之。
HCH_009_005_000472	辛亥，命榷貨務並印造鈔引庫起赴南京。
HCH_009_005_000473	己巳，樞密副使徒單貞罷，以太子少保徒單永年爲樞密副使。
HCH_009_005_000474	辛未，謁山陵，見田間獲者，問其豐耗，以衣賜之。
HCH_009_005_000475	九月己卯，還宮。
HCH_009_005_000476	十月庚午，遣護衛完顏普連等二十四人督捕山東、河東、河北、中都盜賊。
HCH_009_005_000477	籍諸路水手得三萬人。
HCH_009_005_000478	十一月乙酉，以濟南尹僕散烏者等爲賀宋正旦使。
HCH_009_005_000479	尚書右丞劉長言罷。
HCH_009_005_000480	命親軍司以所掌付大興府。
HCH_009_005_000481	置左右驍騎都副指揮使，隸點檢司。
HCH_009_005_000482	步軍都副指揮使，隸宣徽院。
HCH_009_005_000483	十二月癸丑，禁中都、河北、山東、河南、河東、京兆軍民綱捕禽獸及畜養雕隼者。
HCH_009_005_000484	戊辰，禁朝官飲酒，犯者死，三國人使燕飲者罪。
HCH_009_005_000485	六年正月甲戌朔，宋、高麗、夏遣使來賀。
HCH_009_005_000486	丁丑，判大宗正徒單貞、益都尹京、安武軍節度使爽、金吾衛上將軍阿速飲酒，以近屬故，杖貞七十，餘皆杖百。
HCH_009_005_000487	壬午，上將如南京，以司徒、御史大夫蕭玉爲大興尹，司徒如故。
HCH_009_005_000488	樞密副使徒單永年罷，以都點檢紇石烈志寧爲樞密副使。
HCH_009_005_000489	己丑，生辰，宋、高麗、夏遣使來賀。
HCH_009_005_000490	癸巳，命參知政事李通諭宋使徐度等曰：「朕昔從梁王軍，樂南京風土，常欲巡幸。今營繕將畢功，期以二月末先往河南。帝王巡守，自古有之。以淮右多隙地，欲校獵其間，從兵不逾萬人。況朕祖宗陵廟在此，安能久于彼乎。汝等歸告汝主，令有司宣諭朕意，使淮南之民無懷疑懼。」
HCH_009_005_000491	庚子，詔自中都至河南府所過州縣調從獵騎士二千。
HCH_009_005_000492	辛丑，殺蒲察阿虎迭女義察。
HCH_009_005_000493	義察，慶宜公主出，幼鞠宮中，上屢欲納之，太后不可。
HCH_009_005_000494	至是，以罪殺之。
HCH_009_005_000495	二月乙巳，杖衛王襄之妃及左宣徽使許霖。
HCH_009_005_000496	甲寅，以參知政事李通爲尚書右丞。
HCH_009_005_000497	己未，禁扈從縱獵擾民。
HCH_009_005_000498	庚申，征諸道水手運戰船。
HCH_009_005_000499	癸亥，發中都。
HCH_009_005_000500	丙寅，次安肅州。
HCH_009_005_000501	三月己卯，改河南北邙山爲太平山，稱舊名者以違制論。
HCH_009_005_000502	丁亥，將至獲嘉，有男子上書言事，斬之，所言莫得聞。
HCH_009_005_000503	癸巳，次河南府，因出獵，幸汝州溫湯，視行宮地。
HCH_009_005_000504	自中都至河南，所過麥皆爲空。
HCH_009_005_000505	復禁扈從毋輒離次及遊賞飲酒，犯者罪皆死，而莫有從者。
HCH_009_005_000506	詔內地諸猛安赴山后牧馬，俟秋併發。
HCH_009_005_000507	弟袞之妻烏延氏有罪，賜死。
HCH_009_005_000508	烏延氏之弟南京兵馬副都指揮使習泥烈亦以罪誅。
HCH_009_005_000509	四月丁未，詔百官先赴南京治事，尚書省、樞密院、大宗正府、勸農司、太府、少府皆從行，吏、戶、兵、刑部，四方館，都水監，大理司官各留一員。
HCH_009_005_000510	以簽書樞密院事高景山等爲賀宋生日使。
HCH_009_005_000511	戊申，詔汝州百五十里內州縣，量遣商賈赴溫湯置市。
HCH_009_005_000512	詔有司移問宋人，蔡、穎、壽諸州對境創置堡戍者。
HCH_009_005_000513	庚戌，發河南府。
HCH_009_005_000514	契丹不補自山馳下，伏道左，自陳破東海賊有功，爲李惟忠所抑，立命斬之。
HCH_009_005_000515	丁卯，次溫湯。
HCH_009_005_000516	誡扈從毋輒過汝水。
HCH_009_005_000517	上獵，奔鹿突之墮馬，嘔血數日。
HCH_009_005_000518	遣使征諸道兵。
HCH_009_005_000519	五月庚辰，太師、尚書令耨碗溫都思忠薨。
HCH_009_005_000520	契丹諸部反，遣右衛將軍蕭禿剌等討之。
HCH_009_005_000521	六月癸卯，命樞密使僕散思恭、西京留守蕭懷忠將兵一萬討契丹諸部。
HCH_009_005_000522	上自汝州如南京。
HCH_009_005_000523	壬戌，次南京近郊，左丞相張浩率百官迎謁。
HCH_009_005_000524	是夜，大風，壞承天門鴟尾。
HCH_009_005_000525	癸亥，上備法駕入于南京。
HCH_009_005_000526	七月丁亥，以左丞相張浩爲太傅、尚書令，司徒、大興尹蕭玉爲尚書左丞相，吏部尚書白彥恭爲樞密副使，樞密副使紇石烈志甯爲開封尹，安武軍節度使徒單貞爲御史大夫。
HCH_009_005_000527	己丑，賜從駕、從行、從軍及千戶謀克錢帛。
HCH_009_005_000528	大括天下羸馬。
HCH_009_005_000529	殺亡遼耶律氏、宋趙氏子男凡百三十餘人。
HCH_009_005_000530	八月壬寅，單州賊杜奎據城叛，遣都點檢耶律湛、右驍騎副都指揮大磐討之。
HCH_009_005_000531	以樞密副使白彥恭爲北面兵馬都統，開封尹紇石烈志寧副之，中都留守完顏彀英爲西北面兵馬都統，西北路招討使唐括孛古的副之，討契丹。
HCH_009_005_000532	癸丑，以諫伐宋弑皇太后徒單氏于甯德宮，仍命即宮中焚之，棄其骨水中，並殺其侍婢等十餘人。
HCH_009_005_000533	癸亥，殺右衛將軍蕭禿剌、護衛十人長斡盧保，族樞密使僕散思恭、北京留守蕭賾、西京留守蕭懷忠，杖尚書令張浩、左丞相蕭玉。
HCH_009_005_000534	乙太常博士張崇爲高麗生日使，蕭誼忠爲夏國生日使。
HCH_009_005_000535	甲子，封所幸太后侍婢高福娘爲鄖國夫人。
HCH_009_005_000536	九月庚午朔，乙太保、判大宗正事昂爲樞密使，太保如故。
HCH_009_005_000537	戊子，殺前壽州刺史毛良虎。
HCH_009_005_000538	庚寅，大名府賊王九據城叛，衆至數萬，所至盜賊峰起，大者連城邑，小者保山澤，或以十數騎張旗幟而行，官軍莫敢近。
HCH_009_005_000539	上又惡聞盜賊事，言者輒罪之。
HCH_009_005_000540	上自將三十二總管兵伐宋，進自壽春。
HCH_009_005_000541	乙太保、樞密使昂爲左領軍大都督，尚書右丞李通副之，尚書左丞紇石烈良弼爲右領軍大都督，判大宗正烏延蒲盧渾副之，御史大夫徒單貞爲左監軍，同判大宗正事徒單永年爲右監軍，左宣徽使許霖爲左都監，河南尹蒲察斡論爲右都監，皆從。
HCH_009_005_000542	工部尚書蘇保衡爲浙東道水軍都統制，益都尹鄭家副之，由海道徑趨臨安。
HCH_009_005_000543	太原尹劉萼爲漢南道行營兵馬都統制，濟南尹僕散烏者副之，進自蔡州。
HCH_009_005_000544	河中尹徒單合喜爲西蜀道行營兵馬都統制，平陽尹張中彥副之，由鳳翔取散關，駐軍以俟後命。
HCH_009_005_000545	武勝、武平、武捷三軍爲前鋒。
HCH_009_005_000546	徒單貞別將兵二萬入淮陰。
HCH_009_005_000547	甲午，上發南京，詔皇后及太子光英居守，尚書令張浩、左丞相蕭玉、參知政事敬嗣暉留治省事。
HCH_009_005_000548	丙申，太白晝見。
HCH_009_005_000549	將士自軍中亡歸者相屬于道。
HCH_009_005_000550	曷蘇館猛安福壽、東京謀克金住等始授甲于大名，即舉部亡歸，從者衆至萬餘，皆公言于路曰：「我輩今往東京，立新天子矣！」
HCH_009_005_000551	十月乙巳，陰迷失道，二鼓始達營所。
HCH_009_005_000552	丙午，慶雲見。
HCH_009_005_000553	東京留守曹國公烏祿即位于遼陽，改元大定，大赦。
HCH_009_005_000554	數海陵過惡：弑皇太后徒單氏，弑太宗及宗翰、宗弼子孫及宗本諸王，毀上京宮室，殺遼豫王、宋天水郡王、郡公子孫等數十事。
HCH_009_005_000555	丁未，大軍渡淮，將至廬州，獲白鹿，以爲武王白魚之兆。
HCH_009_005_000556	漢南道劉萼取通化軍、蔣州、信陽軍。
HCH_009_005_000557	徒單貞敗宋將王權于盱眙，進取揚州。
HCH_009_005_000558	前鋒軍至段寨，宋戍兵皆遁去，敗宋兵于蔚子橋，敗宋兵于巢縣，斬二百級，至和州。
HCH_009_005_000559	王權夜以兵千餘來襲，射卻之。
HCH_009_005_000560	翼日，雨。
HCH_009_005_000561	宋人夜焚其積遁去。
HCH_009_005_000562	詰旦追之，宋人逆戰，猛安韓棠軍卻，遂失利。
HCH_009_005_000563	溫都奧剌奔北，武捷軍副總管阿散率猛安謀克力戰，卻之。
HCH_009_005_000564	王權退保南岸。
HCH_009_005_000565	癸亥，上次和州，阿散等進階賞賚有差。
HCH_009_005_000566	西蜀道徒單合喜駐散關，宋人攻秦州臘家城、德順州，克之。
HCH_009_005_000567	浙東道蘇保衡與宋人戰于海道，敗績，副統制鄭家死之。
HCH_009_005_000568	十一月庚午，左司郎中兀不喝等聞赦，入白東京即位改元事，上拊髀歎曰：「我本欲滅宋後改元大定，豈非天命乎？」
HCH_009_005_000569	出其書示之，即預志改元事也。
HCH_009_005_000570	以勸農使完顏元宜爲浙西道兵馬都統制，刑部尚書郭安國副之。
HCH_009_005_000571	上駐軍江北。
HCH_009_005_000572	遣武平總管阿鄰先渡江至南岸，失利。
HCH_009_005_000573	上還和州，遂進兵揚州。
HCH_009_005_000574	甲午，會舟師于瓜洲渡，期以明日渡江。
HCH_009_005_000575	乙未，浙西兵馬都統制完顏元宜等軍反，帝遇弑，崩，年四十。
HCH_009_005_000576	海陵在位十餘年，每飾情貌以御臣下。
HCH_009_005_000577	卻尚食進鵝以示儉，及遊獵頓次，不時需索，一鵝一鶉，民間或用數萬售之，有以一牛易一鶉者。
HCH_009_005_000578	或以弊衾覆衣，以示近臣。
HCH_009_005_000579	或服補綴，令記注官見之。
HCH_009_005_000580	或取軍士陳米飯與尚食同進，先食軍士飯幾盡。
HCH_009_005_000581	或見民車陷泥澤，令衛士下挽，俟車出然後行。
HCH_009_005_000582	與近臣燕語，輒引古昔賢君以自況。
HCH_009_005_000583	顯責大臣，使進直言。
HCH_009_005_000584	使張仲軻輩爲諫官，而祁宰竟以直諫死。
HCH_009_005_000585	比昵群小，官賞無度，左右有曠僚者，人或以名呼之，即授以顯階。
HCH_009_005_000586	常置黃金裀褥間，有喜之者，令自取之。
HCH_009_005_000587	而淫嬖不擇骨肉，刑殺不問有罪。
HCH_009_005_000588	至營南京宮殿，運一木之費至二千萬，牽一車之力至五百人。
HCH_009_005_000589	宮殿之飾，遍傅黃金而後間以五采，金屑飛空如落雪。
HCH_009_005_000590	一殿之費以億萬計，成而復毀，務極華麗。
HCH_009_005_000591	其南征造戰艦江上，毀民廬舍以爲材，煮死人膏以爲油，殫民力如馬牛，費財用如土苴，空國以圖人國，遂至于敗。
HCH_009_005_000592	都督府以其柩置之南京班荊館。
HCH_009_005_000593	大定二年，降封爲海陵郡王，諡曰煬。
HCH_009_005_000594	二月，世宗使小底婁室與南京官遷其柩于甯德宮。
HCH_009_005_000595	四月，葬于大房山鹿門谷諸王兆域中。
HCH_009_005_000596	二十年，熙宗既祔廟，有司奏曰：「煬王之罪未正。准晉趙王倫廢惠帝自立，惠帝反正，誅倫，廢爲庶人。煬帝罪惡過于倫，不當有王對，亦不當在諸王塋域。」
HCH_009_005_000597	乃詔降爲海陵庶人，改葬于山陵西南四十里。
HCH_009_005_000598	贊曰：海陵智足以拒諫，言足以飾非。
HCH_009_005_000599	欲爲君則弑其君，欲伐國則弑其母，欲奪人之妻則使之殺其夫。
HCH_009_005_000600	三綱絕矣，何暇他論。
HCH_009_005_000601	至于屠滅宗族，剪刈忠良，婦姑姊妹盡入嬪御。
HCH_009_005_000602	方以三十二總管之兵圖一天下，卒之戾氣感召，身由惡終，使天下後世稱無道主以海陵爲首。
HCH_009_005_000603	可不戒哉！
HCH_009_005_000604	可不戒哉！
