HCH_012_137_000001	劉三吾安然吳伯宗吳沈桂彥良宋訥趙俶李叔正劉崧羅復仁劉三吾，茶陵人。
HCH_012_137_000402	洪武二年，征為國子助教。
HCH_012_137_000403	作《金陵形勝論》、《歷代帝王樂章》，皆稱旨。
HCH_012_137_000404	十年乞休。
HCH_012_137_000405	進博士，賜敕遣歸。
HCH_012_137_000406	至二十七年，帝觀蔡氏《書傳》，象緯運行，與朱子《詩傳》相悖，其他註與鄱陽鄒季友所論有未安者。
HCH_012_137_000407	征天下宿儒訂正之。
HCH_012_137_000408	兵部尚書唐鐸舉宰及致仕編修張美和、助教靳權等。
HCH_012_137_000409	行人馳傳征至，命劉三吾總其事。
HCH_012_137_000410	江東諸門酒樓成，賜百官鈔，宴其上。
HCH_012_137_000411	宰等賦詩謝。
HCH_012_137_000412	帝大悅。
HCH_012_137_000413	諭諸儒年老願歸者，先遣之。
HCH_012_137_000414	宰年最高，請留。
HCH_012_137_000415	帝喜。
HCH_012_137_000416	書成，賜名《書傳會選》，頒行天下。
HCH_012_137_000417	厚賜，令馳驛歸。
HCH_012_137_000418	卒年九十六。
HCH_012_137_000419	又蕭執者，字子所，泰和人。
HCH_012_137_000420	洪武四年鄉舉，為國子學錄。
HCH_012_137_000421	明年夏至，帝有事北郊，召尚書吳琳、主事宋濂率文學士以從。
HCH_012_137_000422	執偕陶凱等十二人入見齋所。
HCH_012_137_000423	令賦詩，復令賦山梔花。
HCH_012_137_000424	獨喜執作，遍示諸臣，寵眷傾一時。
HCH_012_137_000425	時帝留意文學，往往親試廷臣，執與陳觀知遇尤異。
HCH_012_137_000426	觀以訓導入覲，試《王猛捫CB論》，立擢陜西參政。
HCH_012_137_000427	尋召還侍左右。
HCH_012_137_000428	應制作《鐘山賦》，賜金幣。
HCH_012_137_000429	在陜以廉謹稱。
HCH_012_137_000430	或問陜產金何狀。
HCH_012_137_000431	觀大驚曰：「吾備位藩寮，何金之問！」
HCH_012_137_000432	其卒也，妻子幾無以自存。
HCH_012_137_000433	而執以親老乞歸，親沒廬墓側。
HCH_012_137_000434	申國公鄧鎮剿龍泉寇，不戢下。
HCH_012_137_000435	執往責之，鎮為禁止，邑人以安。
HCH_012_137_000436	兩人皆篤行君子也。
HCH_012_137_000437	李叔正，字克正，初名宗頤，靖安人。
HCH_012_137_000438	年十二能詩，長益淹博。
HCH_012_137_000439	時江西有十才子，叔正其一也。
HCH_012_137_000440	以薦授國子學正。
HCH_012_137_000441	洪武初，告歸。
HCH_012_137_000442	未幾，復以薦為學正，遷渭南丞。
HCH_012_137_000443	同州蒲城人爭地界，累年不決。
HCH_012_137_000444	行省以委叔正，單騎至，剖數語立決。
HCH_012_137_000445	渭南歲輸糧二萬，豪右與猾吏為奸，田無定額，叔正履畝丈量。
HCH_012_137_000446	立法精密，諸弊盡剔。
HCH_012_137_000447	遷興化知縣。
HCH_012_137_000448	尋召為禮部員外郎。
HCH_012_137_000449	以年老乞歸，不許，改國子助教。
HCH_012_137_000450	於是叔正三至太學矣。
HCH_012_137_000451	帝方銳意文治，於國學人材尤加意。
HCH_012_137_000452	然諸生多貴胄，不率教。
HCH_012_137_000453	叔正嚴立規條，旦夕端坐，督課無倦色。
HCH_012_137_000454	朝論賢之。
HCH_012_137_000455	擢監察御史，奉命巡嶺表。
HCH_012_137_000456	瓊州府吏訐其守踞公座簽表文，叔正鞫之，守得白，抵吏罪。
HCH_012_137_000457	太祖嘉之曰：「人言老御史懦，乃明斷如是耶。」
HCH_012_137_000458	累官禮部侍郎。
HCH_012_137_000459	十四年進尚書，卒於官。
HCH_012_137_000460	叔正妻夏氏，陳友諒陷南昌時，投井死。
HCH_012_137_000461	叔正感其義，終身不復娶。
HCH_012_137_000462	劉崧，字子高，泰和人，舊名楚。
HCH_012_137_000463	家貧力學，寒無壚火，手皸裂而鈔錄不輟。
HCH_012_137_000464	元末舉於鄉。
HCH_012_137_000465	洪武三年舉經明行修，改今名。
HCH_012_137_000466	召見奉天殿，授兵部職方司郎中。
HCH_012_137_000467	奉命征糧鎮江。
HCH_012_137_000468	鎮江多勛臣田，租賦為民累，崧力請得少減。
HCH_012_137_000469	遷北平按察司副使，輕刑省事。
HCH_012_137_000470	招集流亡，民鹹復業。
HCH_012_137_000471	立文天祥祠於學宮之側。
HCH_012_137_000472	勒石學門，示府縣勿以徭役累諸生。
HCH_012_137_000473	嘗請減僻地驛馬，以益宛平。
HCH_012_137_000474	帝可其奏，顧謂侍臣曰：「驛傳勞逸不均久矣，崧能言之。牧民不當如是耶？」
HCH_012_137_000475	為胡惟庸所惡，坐事謫輸作。
HCH_012_137_000476	尋放歸。
HCH_012_137_000477	十三年，惟庸誅，征拜禮部侍郎。
HCH_012_137_000478	未幾，擢吏部尚書。
HCH_012_137_000479	雷震謹身殿，帝廷諭群臣陳得失。
HCH_012_137_000480	崧頓首，以修德行仁對。
HCH_012_137_000481	尋致仕。
HCH_012_137_000482	明年三月，與前刑部尚書李敬並征。
HCH_012_137_000483	拜敬國子祭酒，而崧為司業。
HCH_012_137_000484	賜鞍馬，令朝夕見，見輒燕語移時。
HCH_012_137_000485	未旬日卒。
HCH_012_137_000486	疾作，猶強坐訓諸生。
HCH_012_137_000487	及革，敬問所欲言。
HCH_012_137_000488	曰：「天子遣崧教國子，將責以成功，而遽死乎！」
HCH_012_137_000489	無一語及家事。
HCH_012_137_000490	帝命有司治殯殮，親為文祭之。
HCH_012_137_000491	崧幼博學，天性廉慎。
HCH_012_137_000492	兄弟三人共居一茆屋，有田五十畝。
HCH_012_137_000493	及貴，無所增益。
HCH_012_137_000494	十年一布被，鼠傷，始易之，仍葺以衣其子。
HCH_012_137_000495	居官未嘗以家累自隨。
HCH_012_137_000496	之任北平，攜一童往，至則遣還。
HCH_012_137_000497	晡時史退，孤燈讀書，往往達旦。
HCH_012_137_000498	善為詩，豫章人宗之為《西江派》雲。
HCH_012_137_000499	羅復仁，吉水人。
HCH_012_137_000500	少嗜學，陳友諒辟為編修。
HCH_012_137_000501	已，知其無成，遁去。
HCH_012_137_000502	謁太祖於九江，留置左右。
HCH_012_137_000503	從戰鄱陽，賫蠟書諭降江西未下諸郡，授中書諮議。
HCH_012_137_000504	從圍武昌，太祖欲招陳理降，以復仁故友諒臣也，遣入城諭，且曰：「理若來，不失富貴。」
HCH_012_137_000505	復仁頓首曰：「如陳氏遣孤得保首領，俾臣不食言於異日，臣死不憾。」
HCH_012_137_000506	太祖曰：「汝行，吾不汝誤也。」
HCH_012_137_000507	復仁至城下，號慟者竟日，理縋之入。
HCH_012_137_000508	見理大哭，陳太祖意，且曰：「大兵所向皆摧，不降且屠，城中民何罪？」
HCH_012_137_000509	理聽其言，遂率官屬出降。
HCH_012_137_000510	遷國子助教，以老特賜乘小車出入。
HCH_012_137_000511	每宴見，賜坐飲食。
HCH_012_137_000512	已，復使擴廓。
HCH_012_137_000513	前使多拘留，復仁議論慷慨，獨得還。
HCH_012_137_000514	洪武元年，擢編修，復偕主事張福往諭安南還占城侵地。
HCH_012_137_000515	安南奉詔，遺復仁金、貝、土產甚厚，悉卻不受。
HCH_012_137_000516	帝聞而賢之。
HCH_012_137_000517	三年置弘文館，以復仁為學士，與劉基同位。
HCH_012_137_000518	在帝前率意陳得失。
HCH_012_137_000519	嘗操南音。
HCH_012_137_000520	帝顧喜其質直，呼為「老實羅」而不名。
HCH_012_137_000521	間幸其舍，負郭窮巷，復仁方堊壁，急呼其妻抱杌以坐帝。
HCH_012_137_000522	帝曰：「賢士豈宜居此。」
HCH_012_137_000523	遂賜第城中。
HCH_012_137_000524	天壽節制《水龍吟》一闋以獻。
HCH_012_137_000525	帝悅，厚賜之。
HCH_012_137_000526	尋乞致仕。
HCH_012_137_000527	陛辭，賜大布衣，題詩衣襟上褒美之。
HCH_012_137_000528	已，又召至京師。
HCH_012_137_000529	奏減江西秋糧。
HCH_012_137_000530	報可。
HCH_012_137_000531	留三月，賜玉帶、鐵拄杖、坐墩、裘馬、食具遣還，以壽終。
HCH_012_137_000532	孫汝敬，名簡，以字行。
HCH_012_137_000533	永樂二年庶吉士，就學文淵閣，誦書不稱旨，即日遣戍江南。
HCH_012_137_000534	數日復之。
HCH_012_137_000535	自此刻厲為學，累遷侍講。
HCH_012_137_000536	仁宗時，上言時政十五事，忤旨下獄。
HCH_012_137_000537	既與李時勉同改御史，直聲震一時。
HCH_012_137_000538	宣宗初，上書大學士楊士奇曰：「太祖高皇帝奄有四海，太宗文皇帝再造寰區。然猶翼翼兢兢，無敢豫怠。先皇帝嗣統未及期月，奄棄群臣。揆厥所由，皆憸壬小夫，獻金石之方以致疾也。去冬，簡以愚戇應詔上書，言涉不敬，罪當萬死。先皇帝憐其孤直，寬雷霆之誅，俾居方路，撫躬循省，無可稱塞。伏見今年六月，車駕幸天壽山，躬謁二陵，京師之人瞻望咨嗟，以為聖天子大孝。既而道路喧傳，禮畢即較獵講武，扈從惟也先士幹與其徒數百人。風馳電掣，馳逐先後。某聞此言，心悸膽落。夫蒐苗獼狩，固有國之常經。然以謁陵出，而與降將較獵於山谷間，垂堂之戒，銜橛之虞，不可不深慮也。執事四朝舊臣，二聖元輔，於此不言，則孰得而言之者？惟特加采納，以弘靖獻之思，光弼直之義。」
HCH_012_137_000539	尋擢工部右侍郎，兩使安南。
HCH_012_137_000540	時黎利言其主陳皓已死，而張筵設女樂。
HCH_012_137_000541	汝敬叱之，利懼謝。
HCH_012_137_000542	還督兩浙漕運，理陜西屯田，多所建置。
HCH_012_137_000543	坐受饋，充為事官。
HCH_012_137_000544	英宗立，遇赦，汝敬誤引詔復職，復逮系。
HCH_012_137_000545	以在陜措置勞，宥死戍邊。
HCH_012_137_000546	尋復職，蒞故任。
HCH_012_137_000547	塞上有警，汝敬往督餉。
HCH_012_137_000548	遇敵紅城子，中流矢，墜馬得免。
HCH_012_137_000549	以疾告歸，卒。
HCH_012_137_000550	贊曰：明始建國，首以人材為務。
HCH_012_137_000551	征辟四方，宿儒群集闕下，隨其所長而用之。
HCH_012_137_000552	自議禮定制外，或參列法從，或預直承明，而成均胄子之任尤多稱職，彬彬乎稱得人焉。
HCH_012_137_000553	夫諸臣當元之季世，窮經績學，株守草野，幾於沒齒無聞。
HCH_012_137_000554	及乎泰運初平，連茹利見，乃各展所蘊，以潤色鴻猷，黼黼文治。
HCH_012_137_000555	昔人謂天下不患無才，惟視上之網羅何如耳，顧不信哉！
