HCH_011_056_000001	侯景，字萬景，朔方人，或云雁門人。
HCH_011_056_000266	景乃矯棟詔，追尊昭明太子爲昭明皇帝，豫章安王爲安皇帝，金華敬妃爲敬皇后，豫章國太妃王氏爲皇太后，妃張氏爲皇后；以劉神茂爲司空，徐洪爲平南將軍，秦晃之、王曄、李賢明、徐永、徐珍國、宋長寶、尹思合併爲儀同三司。
HCH_011_056_000267	景以哀太子妃賜郭元建，元建曰：「豈有皇太子妃而降爲人妾？」
HCH_011_056_000268	竟不與相見。
HCH_011_056_000269	十月壬寅夜，景遣其衛尉彭儁、王脩纂奉酒於太宗曰：「丞相以陛下處憂旣久，故令臣等奉進一觴。」
HCH_011_056_000270	太宗知其將弑，乃大酣飲酒，旣醉還寢，脩纂以帊盛土加於腹，因崩焉。
HCH_011_056_000271	斂用法服，以薄棺密瘞於城北酒庫。
HCH_011_056_000272	初，太宗久見幽縶，朝士莫得接覲，慮禍將及，常不自安；惟舍人殷不害後稍得入，太宗指所居殿謂之曰：「龐涓當死此下。」
HCH_011_056_000273	又曰：「吾昨夜夢吞土，卿試爲思之。」
HCH_011_056_000274	不害曰：「昔重耳饋塊，卒反晉國。陛下所夢，將符是乎？」
HCH_011_056_000275	太宗曰：「儻幽冥有徵，冀斯言不妄耳。」
HCH_011_056_000276	至是見弑，實以土焉。
HCH_011_056_000277	是月，景司空東道行臺劉神茂、儀同尹思合、劉歸義、王曄、雲麾將軍桑乾王元頵等據東陽歸順，仍遣元頵及別將李占、趙惠朗下據建德江口。
HCH_011_056_000278	尹思合收景新安太守元義，奪其兵。
HCH_011_056_000279	張彪攻永嘉，永嘉太守秦遠降彪。
HCH_011_056_000280	十一月，景以趙伯超爲東道行臺，鎮錢塘，遣儀同田遷、謝答仁等將兵東征神茂。
HCH_011_056_000281	景矯蕭棟詔，自加九錫之禮，置丞相以下百官。
HCH_011_056_000282	陳備物於庭，忽有野鳥翔于景上，赤足丹觜，形似山鵲，賊徒悉駭，競射之不能中。
HCH_011_056_000283	景以劉勸、戚霸、硃安王爲開府儀同三司，索九升爲護軍將軍。
HCH_011_056_000284	南兗州刺史侯子鑒獻白麞，建康獲白鼠以獻，蕭棟歸之于景。
HCH_011_056_000285	景以郭元建爲南兗州刺史，太尉、北行臺如故。
HCH_011_056_000286	景又矯蕭棟詔，追崇其祖爲大將軍，考爲丞相。
HCH_011_056_000287	自加冕，十有二旒，建天子旌旗，出警入蹕，乘金根車，駕六馬，備五時副車，置旄頭雲罕，樂儛八佾，鐘虡宮懸之樂，一如舊儀。
HCH_011_056_000288	景又矯蕭棟詔，禪位於己。
HCH_011_056_000289	於是南郊，柴燎于天，升壇受禪文物，並依舊儀。
HCH_011_056_000290	以轜車床載鼓吹，橐駝負犧牲，輦上置筌蹄、垂腳坐。
HCH_011_056_000291	景所帶劍水精標無故墮落，手自拾之。
HCH_011_056_000292	將登壇，有兔自前而走，俄失所在；又白虹貫日。
HCH_011_056_000293	景還升太極前殿，大赦，改元爲太始元年。
HCH_011_056_000294	封蕭棟爲淮陰王，幽于監省。
HCH_011_056_000295	偽有司奏改「警蹕」爲「永蹕」，避景名也。
HCH_011_056_000296	改梁律爲漢律，改左民尚書爲殿中尚書，五兵尚書爲七兵尚書，直殿主帥爲直寢。
HCH_011_056_000297	景三公之官動置十數，儀同尤多，或匹馬孤行，自執羈絆。
HCH_011_056_000298	其左僕射王偉請立七廟，景曰：「何謂爲七廟？」
HCH_011_056_000299	偉曰：「天子祭七世祖考，故置七廟。」
HCH_011_056_000300	幷請七世之諱，敕太常具祭祀之禮。
HCH_011_056_000301	景曰：「前世吾不復憶，惟阿爺名標。」
HCH_011_056_000302	衆聞咸竊笑之。
HCH_011_056_000303	景黨有知景祖名周者，自外悉是王偉制其名位，以漢司徒侯霸爲始祖，晉徵士侯瑾爲七世祖。
HCH_011_056_000304	於是追尊其祖周爲大丞相，父標爲元皇帝。
HCH_011_056_000305	十二月，謝答仁、李慶等至建德，攻元頵、李占柵，大破之，執頵、占送景。
HCH_011_056_000306	景截其手足徇之，經日乃死。
HCH_011_056_000307	景二年正月朔，臨軒朝會。
HCH_011_056_000308	景自巴丘挫衂，軍兵略盡，恐齊人乘釁與西師掎角，乃遣郭元建率步軍趣小峴，侯子鑒率舟師向濡須，曜兵肥水，以示武威。
HCH_011_056_000309	子鑒至合肥，攻羅城，剋之。
HCH_011_056_000310	郭元建、侯子鑒俄聞王師旣近，燒合肥百姓邑居，引軍退，子鑒保姑孰，元建還廣陵。
HCH_011_056_000311	時謝答仁攻劉神茂，神茂別將王華、麗通並據外營降答仁。
HCH_011_056_000312	劉歸義、尹思合等懼，各棄城走。
HCH_011_056_000313	神茂孤危，復降答仁。
HCH_011_056_000314	王僧辯軍至蕪湖，蕪湖城主宵遁。
HCH_011_056_000315	景遣史安和、宋長貴等率兵二千，助子鑒守姑孰，追田遷等還京師。
HCH_011_056_000316	是月，景黨郭長獻馬駒生角。
HCH_011_056_000317	三月，景往姑孰，巡視壘柵，又誡子鑒曰：「西人善水戰，不可與爭鋒，往年任約敗績，良爲此也。若得馬步一交，必當可破，汝但堅壁以觀其變。」
HCH_011_056_000318	子鑒乃舍舟登岸，閉營不出。
HCH_011_056_000319	僧辯等遂停軍十餘日，賊黨大喜，告景曰：「西師懼吾之強，必欲遁逸，不擊，將失之。」
HCH_011_056_000320	景復命子鑒爲水戰之備。
HCH_011_056_000321	子鑒乃率步騎萬餘人渡洲，幷引水軍俱進，僧辯逆擊，大破之，子鑒僅以身免。
HCH_011_056_000322	景聞子鑒敗，大懼涕下，覆面引衾以臥，良久方起，歎曰：「誤殺乃公！」
HCH_011_056_000323	僧辯進軍次張公洲。
HCH_011_056_000324	景以盧暉略守石頭，紇奚斤守捍國城，悉逼百姓及軍士家累入臺城內。
HCH_011_056_000325	僧辯焚景水柵，入淮，至祥靈寺渚。
HCH_011_056_000326	景大驚，乃緣淮立柵，自石頭至朱雀航。
HCH_011_056_000327	僧辯及諸將遂於石頭城西步上連營立柵，至於落星墩。
HCH_011_056_000328	景大恐，自率侯子鑒、于慶、史安和、王僧貴等，於石頭東北立柵拒守。
HCH_011_056_000329	使王偉、索超世、呂季略守臺城，宋長貴守延祚寺。
HCH_011_056_000330	遣掘王僧辯父墓，剖棺焚屍。
HCH_011_056_000331	王僧辯等進營於石頭城北，景列陣挑戰。
HCH_011_056_000332	僧辯率衆軍奮擊，大破之，侯子鑒、史安和、王僧貴各棄柵走，盧暉略、紇奚斤並以城降。
HCH_011_056_000333	景旣退敗，不入宮，斂其散兵，屯于闕下，遂將逃竄。
HCH_011_056_000334	王偉攬轡諫曰：「自古豈有叛天子！今宮中衛士，尚足一戰，寧可便走，棄此欲何所之？」
HCH_011_056_000335	景曰：「我在北打賀拔勝，破葛榮，揚名河、朔，與高王一種人。今來南渡大江，取臺城如反掌，打邵陵王於北山，破柳仲禮於南岸，皆乃所親見。今日之事，恐是天亡。乃好守城，我當復一決耳。」
HCH_011_056_000336	仰觀石闕，逡巡歎息。
HCH_011_056_000337	久之，乃以皮囊盛二子掛馬鞍，與其儀同田遷、范希榮等百餘騎東奔。
HCH_011_056_000338	王偉委臺城竄逸，侯子鑒等奔廣陵。
HCH_011_056_000339	王僧辯遣侯瑱率軍追景。
HCH_011_056_000340	景至晉陵，劫太守徐永東奔吳郡，進次嘉興，趙伯超據錢塘拒之。
HCH_011_056_000341	景退還吳郡，達松江，而侯瑱軍掩至，景衆未陣，皆舉幡乞降。
HCH_011_056_000342	景不能制，乃與腹心數十人單舸走，推墮二子于水，自滬瀆入海。
HCH_011_056_000343	至壺豆洲，前太子舍人羊鯤殺之，送屍于王僧辯，傳首西臺，曝屍于建康市。
HCH_011_056_000344	百姓爭取屠膾啖食，焚骨揚灰。
HCH_011_056_000345	曾罹其禍者，乃以灰和酒飲之。
HCH_011_056_000346	及景首至江陵，世祖命梟之於市，然後煮而漆之，付武庫。
HCH_011_056_000347	景長不滿七尺，而眉目疏秀。
HCH_011_056_000348	性猜忍，好殺戮。
HCH_011_056_000349	刑人或先斬手足，割舌劓鼻，經日方死。
HCH_011_056_000350	曾於石頭立大舂碓，有犯法者，皆搗殺之，其慘虐如此。
HCH_011_056_000351	自篡立後，時著白紗帽，而尚披青袍，或以牙梳插髻。
HCH_011_056_000352	床上常設胡床及筌蹄，著靴垂腳坐。
HCH_011_056_000353	或匹馬遊戲於宮內，及華林園彈射烏鳥。
HCH_011_056_000354	謀臣王偉不許輕出，於是鬱怏，更成失志。
HCH_011_056_000355	所居殿常有鵂鶹鳥鳴，景惡之，每使人窮山野討捕焉。
HCH_011_056_000356	普通中，童謠曰：「青絲白馬壽陽來。」
HCH_011_056_000357	後景果乘白馬，兵皆青衣。
HCH_011_056_000358	所乘馬，每戰將勝，輒躑躅嘶鳴，意氣駿逸，其奔衂，必低頭不前。
HCH_011_056_000359	初，中大同中，高祖嘗夜夢中原牧守皆以地來降，舉朝稱慶，寤甚悅之。
HCH_011_056_000360	旦見中書舍人朱异說所夢，异曰：「此豈宇內方一，天道前見其徵乎？」
HCH_011_056_000361	高祖曰：「吾爲人少夢，昨夜感此，良足慰懷。」
HCH_011_056_000362	及太清二年，景果歸附，高祖欣然自悅，謂與神通，乃議納之，而意猶未決。
HCH_011_056_000363	曾夜出視事，至武德閣，獨言：「我家國猶若金甌，無一傷缺，今便受地，詎是事宜，脫致紛紜，非可悔也。」
HCH_011_056_000364	朱异接聲而對曰：「聖明御宇，上應蒼玄，北土遺黎，誰不慕仰？爲無機會，未達其心。今侯景據河南十餘州，分魏土之半，輸誠送款，遠歸聖朝，豈非天誘其衷，人獎其計？原心審事，殊有可嘉。今若拒而不容，恐絕後來之望，此誠易見，願陛下無疑。」
HCH_011_056_000365	高祖深納異言，又信前夢，乃定議納景。
HCH_011_056_000366	及貞陽覆敗，邊鎮恇擾，高祖固已憂之，曰：「吾今段如此，勿作晉家事乎？」
HCH_011_056_000367	先是，丹陽陶弘景隱於華陽山，博學多識，嘗爲詩曰：「夷甫任散誕，平叔坐談空。不意昭陽殿，化作單于宮。」
HCH_011_056_000368	大同末，人士競談玄理，不習武事；至是，景果居昭陽殿。
HCH_011_056_000369	天監中，有釋寶志曰：「掘尾狗子自發狂，當死未死齧人傷，須臾之間自滅亡，起自汝陰死三湘。」
HCH_011_056_000370	又曰：「山家小兒果攘臂，太極殿前作虎視。」
HCH_011_056_000371	掘尾狗子、山家小兒，皆猴狀。
HCH_011_056_000372	景遂覆陷都邑，毒害皇室。
HCH_011_056_000373	大同中，太醫令朱躭嘗直禁省，無何，夜夢犬羊各一在御坐，覺而惡之，告人曰：「犬羊者，非佳物也。今據御坐，將有變乎？」
HCH_011_056_000374	旣而天子蒙塵，景登正殿焉。
HCH_011_056_000375	及景將敗，有僧通道人者，意性若狂，飲酒噉肉，不異凡等，世間遊行已數十載，姓名鄉里，人莫能知。
HCH_011_056_000376	初言隱伏，久乃方驗，人並呼爲闍梨，景甚信敬之。
HCH_011_056_000377	景嘗於後堂與其徒共射，時僧通在坐，奪景弓射景陽山，大呼云「得奴已」。
HCH_011_056_000378	景後又宴集其黨，又召僧通。
HCH_011_056_000379	僧通取肉揾鹽以進景，問曰：「好不？」
HCH_011_056_000380	景答：「所恨太咸。」
HCH_011_056_000381	僧通曰：「不鹹則爛臭。」
HCH_011_056_000382	果以鹽封其屍。
HCH_011_056_000383	王偉，陳留人。
HCH_011_056_000384	少有才學，景之表、啓、書、檄，皆其所制。
HCH_011_056_000385	景旣得志，規摹篡奪，皆偉之謀。
HCH_011_056_000386	及囚送江陵，烹於市，百姓有遭其毒者，並割炙食之。
HCH_011_056_000387	史臣曰：夫道不恒夷，運無常泰，斯則窮通有數，盛衰相襲，時屯陽九，蓋在茲焉。
HCH_011_056_000388	若乃侯景小豎，叛換本國，識不周身，勇非出類，而王偉爲其謀主，成此姦慝。
HCH_011_056_000389	驅率醜徒，陵江直濟，長戟強弩，淪覆宮闕，禍纏宸極，毒遍黎元，肆其恣睢之心，成其篡盜之禍。
HCH_011_056_000390	嗚呼！
HCH_011_056_000391	國之將亡，必降妖孽。
HCH_011_056_000392	雖曰人事，抑乃天時。
HCH_011_056_000393	昔夷羿亂夏，犬戎厄周，漢則莽、卓流災，晉則敦、玄構禍，方之羯賊，有逾其酷，悲夫！
HCH_011_056_000394	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
