HCH_009_098_000001	完顏匡，本名撒速，始祖九世孫。
HCH_009_098_000227	其賜曦詔曰：宋自佶、桓失守，構竄江表，僭稱位號，偷生吳會，時則乃祖武安公玠捍禦兩川。
HCH_009_098_000228	洎武順王璘嗣有大勳，固宜世胙大帥，遂荒西土，長為籓輔，誓以河山，後裔縱有欒黶之汰，猶當十世宥之。
HCH_009_098_000229	然威略震主者身危，功蓋天下者不賞，自古如此，非止於今。
HCH_009_098_000230	卿家專制蜀漢，積有歲年，猜嫌既萌，進退維谷，代之而不受，召之而不赴，君臣之義，已同路人，譬之破桐之葉不可以複合，騎虎之勢不可以中下矣。
HCH_009_098_000231	此事流傳，稔於朕聽，每一思之，未嘗不當饋歎息，而卿猶偃然自安。
HCH_009_098_000232	且卿自視翼贊之功孰與岳飛？
HCH_009_098_000233	飛之威名戰功暴於南北，一旦見忌，遂被三夷之誅，可不畏哉。
HCH_009_098_000234	故智者順時而動，明者因機而發，與其負高世之勳見疑於人，惴惴然常懼不得保其首領，曷若順時因機，轉禍為福，建萬世不朽之業哉！
HCH_009_098_000235	今趙擴昏孱，受制強臣，比年以來，頓違誓約，增屯軍馬，招納叛亡。
HCH_009_098_000236	朕以生靈之故，未欲遽行討伐，姑遣有司移文，複因來使宣諭，而乃不顧道理，愈肆憑陵，虔劉我邊陲，攻剽我城邑。
HCH_009_098_000237	是以忠臣扼腕，義士痛心，家與為仇，人百其勇，失道至此，雖欲不亡得乎？
HCH_009_098_000238	朕已分命虎臣，臨江問罪，長驅並騖，飛渡有期，此正豪傑分功之秋也。
HCH_009_098_000239	卿以英偉之姿，處危疑之地，必能深識天命，洞見事機。
HCH_009_098_000240	若按兵閉境，不為異同，使我師並力巢穴，而無西顧之虞，則全蜀之地，卿所素有，當加封冊，一依皇統冊構故事。
HCH_009_098_000241	更能順流東下，助為掎角，則旌麾所指，盡以相付。
HCH_009_098_000242	天日在上，朕不食言。
HCH_009_098_000243	今送金寶一鈕，至可領也。
HCH_009_098_000244	綱次臨江被詔，進至水洛，訪得曦族人端，署為水洛城巡檢使，遣持詔間行諭曦。
HCH_009_098_000245	曦得詔意動，程松尚在興元，未敢發，詐稱杖殺端，以蔽匿其事。
HCH_009_098_000246	松兵既敗，曦乃遣掌管機宜文字姚圓與端奉表送款。
HCH_009_098_000247	綱遣前京北府錄事張仔會吳曦於興州之置口，曦言歸心朝廷無他，張仔請以告身為報，曦盡出以付之，仍獻階州。
HCH_009_098_000248	朝廷以曦初附，恃中國為援，欲先取襄陽以為蜀漢遮罩，乃詔右副元帥匡先攻襄陽，詔略曰：「陝西一面雖下四州，吳曦之降朕所經略。自大軍出境，惟卿所部力戰為多，方之前人無所愧謝。今南伐之事責成卿等，區區俘獲不足羡慕，果能為國建功，豈止一身榮寵，後世子孫，亦保富貴。」
HCH_009_098_000249	匡得詔，乃移兵趨襄陽。
HCH_009_098_000250	十二月，曦遣果州團練使郭澄、仙人關使任辛奉表及蜀地圖志、吳氏譜牒來上。
HCH_009_098_000251	七年正月，召綱赴京師，以為陝西宣撫副使，進三階。
HCH_009_098_000252	還軍，吳曦遣郭澄進謝恩表、誓表、賀全蜀歸附三表，親王百官稱賀，朝廷以詔答之，並賜誓詔。
HCH_009_098_000253	郭澄朝辭，諭澄曰：「汝主效順，以全蜀歸附，朕甚嘉之。然立國日淺，恐宋兵侵軼，人心不安，凡有當行事務已委宣撫完顏綱移文計議。或有緊急，即差人就去講究。大定間，汝主嘗以事入覲，今亦多歲，朕嘉汝主之義，懷想不忘，欲得其繪像，如見其面。今已遣使封冊，俟回日附進。可以此意歸諭汝主。」
HCH_009_098_000254	詔以同知臨洮府事術虎高琪為封冊使，翰林直學士喬宇副之。
HCH_009_098_000255	詔高琪曰：「卿以邊面宣力，加之讀書，蜀人識卿威名，勿以財賄動心，失大國體。檢制隨去奉職，勿有違枉生事。」
HCH_009_098_000256	頃之，宋安丙殺吳曦。
HCH_009_098_000257	上聞曦死，遣使責綱，詔曰：「曦之降，自當進據仙人關，以制蜀命，且為曦重。既不據關，複撤兵，使丙無所憚，是宜有今日也。」
HCH_009_098_000258	於是，詔贈曦太師，命德順州刺史完顏思忠招魂葬于水洛縣。
HCH_009_098_000259	以曦族兄端之子為曦後。
HCH_009_098_000260	詔諭陝西軍士，略曰：「汝等爰自去冬，出疆用命，擐披甲胄，冒涉艱險，直取山外數州，比之他軍實有勤效。界外屯駐日久，負勞苦，恩賞未行，有司申奏不明，以致如此。朕已令增給賞物，以酬爾勞。惟是餘賊未殄，猶須經略。眷我師徒，久役未解，深懷憫念，寤寐弗忘。汝等益思體國之忠，奮敵愾之勇，協心畢力，建立功勳；高爵厚祿，朕所不吝。」
HCH_009_098_000261	宋人複陷階州、西和州，綱至鳳翔，詔徹五州之兵退保要害，五州之民願徙內地者厚撫集之。
HCH_009_098_000262	以近侍局直長為四川安慰使。
HCH_009_098_000263	蒲察貞撤黃牛戍，宋安丙乘之，連兵來襲，遂陷散關，鞏州鈐轄兀顏阿失死之。
HCH_009_098_000264	詔奪綱官一階，降兵部侍郎，權宣撫副使。
HCH_009_098_000265	遣戶部侍郎尼龐古懷忠按治綱以下將吏。
HCH_009_098_000266	懷忠未至陝西，綱、貞遣兵潛自昆谷西山養馬澗入，四面攻之，複取散關，斬宋將張統領、於團練。
HCH_009_098_000267	綱遣使奏捷，詔書獎諭，貞等釋不問。
HCH_009_098_000268	八年，宋獻韓侂胄、蘇師旦首，詔以陝西關隘還之，宋罷兵。
HCH_009_098_000269	綱還京師。
HCH_009_098_000270	是歲，章宗崩，衛紹王即位，除陝西路按察使，累官尚書左丞。
HCH_009_098_000271	至甯元年，綱行省事於縉山，徒單鎰使人謂綱曰：「高琪駐兵縉山甚得人心，士皆思奮，與其行省親往，不若益兵為便。」
HCH_009_098_000272	綱不聽。
HCH_009_098_000273	徒單鎰複使人止之曰：「高琪措畫已定，彼之功即行省之功。」
HCH_009_098_000274	綱不從。
HCH_009_098_000275	綱至縉山，遂大敗。
HCH_009_098_000276	胡沙虎斬關入中都，遷衛紹王于衛邸，命綱子安和作家書，使親信人召綱。
HCH_009_098_000277	綱至，囚之憫忠寺，明日，押至市中，使張霖卿數以失四川、敗縉山之事，殺之。
HCH_009_098_000278	貞祐四年，綱子權複州刺史安和上書訟父冤，略曰：「先臣綱在章宗時，招懷西羌青宜可等十八部族，取宋五州，吳曦以全蜀歸朝。胡沙虎無故見殺，奪其官爵。」
HCH_009_098_000279	詔下尚書省議：「謹按元年詔書雲，胡沙虎屢害良將，正謂綱輩也。」
HCH_009_098_000280	乃追複尚書左丞。
HCH_009_098_000281	弟定奴。
HCH_009_098_000282	定奴與兄綱俱知名，充護衛，除平涼府判官，累官同知真定府。
HCH_009_098_000283	從平章政事僕散揆伐宋，加平南虎威將軍。
HCH_009_098_000284	兵罷，遷河南東路副統軍，三遷武勝軍節度使，入為右副點檢。
HCH_009_098_000285	大安二年，遷元帥右都監，救西京，改震武軍節度使。
HCH_009_098_000286	元帥奧屯襄敗績，定奴坐失期及不以軍敗實奏，降河州防禦使。
HCH_009_098_000287	遷鎮西軍節度使、河東北路按察轉運使。
HCH_009_098_000288	宣宗即位，改知歸德府。
HCH_009_098_000289	貞祐二年，改知河南府，兼河南副統軍。
HCH_009_098_000290	尋遷河南統軍使，兼昌武軍節度使。
HCH_009_098_000291	請內外五品以上舉能幹之士充河北州縣官。
HCH_009_098_000292	改簽樞密院事、殿前都點檢、兼侍衛親軍都指揮使。
HCH_009_098_000293	複為簽樞密院事、行院事兼知歸德府事，改兼武甯軍節度使，行院于徐州。
HCH_009_098_000294	召為刑部尚書、參知政事。
HCH_009_098_000295	興定三年，薨。
HCH_009_098_000296	贊曰：章宗伐宋之役，三易主帥，兵家所忌也。
HCH_009_098_000297	宋不知乘此以為功，猶曰有人焉？
HCH_009_098_000298	韓侂胄心強智疏，蘇師旦謀淺任大，函首燕、薊，南北皆曰賊臣，何哉？
HCH_009_098_000299	完顏匡、完顏綱皆泰和終功之臣，然匡隳忠於大安，綱罔難於至甯，富貴之惑人，乃如此邪？
