HCH_009_036_000001	收國元年春正月壬申朔，諸路官民耆老畢會，議創新儀，奉上即皇帝位。
HCH_009_036_000319	訖，三呼「萬歲「，以罪人過。右司官宣制訖，西向，以制書授刑部官。跪受訖，以制書加於笏上，退以付其屬，歸本班。典儀曰：「拜。」在位官皆再拜，舞蹈，又再拜。典贊儀引皇太子至班前褥位立定，典儀曰：「拜。」皇太子以下群官皆再拜。典贊儀引皇太子稍前，俯伏，跪致詞，俯伏，興。典儀曰：「再拜。」皇太子以下群官皆再拜，搢笏，舞蹈，又再拜。侍中於御座前承旨，退臨軒宣曰：「有制。」典儀曰：「再拜。」皇太子以下群官皆再拜。侍中宣答，宣訖歸侍位，典儀曰：「再拜。」皇太子已下群官皆再拜，搢笏，舞蹈，又再拜，訖，典贊儀引皇太子至門下褥位，通事舍人引群官分班相向立。侍中詣御座前，俯伏，跪奏：「禮畢。」俯伏，興，退復位。所司索扇，宮縣樂作，扇合，簾降，皇帝降座，樂止。樓下鳴鞭，皇帝乘輦還內，傘扇侍衛如常儀。侍中奏：「解嚴。」通事舍人承敕，群臣各還次，將士各還本所。宣赦日，于應天門外設香案，及設香輿於案前，又於東側設卓子，自皇太子宰臣以下序班定。閣門官於箱內捧赦書出門置於案。閣門官案東立，南向稱：「有敕。」贊皇太子宰臣百僚再拜，皇太子少前上香訖，復位，皆再拜。閣門官取赦書授尚書省都事，都事跪受，及尚書省令史二人齊捧，同升于卓子讀，
HCH_009_036_000320	在位官皆跪聽，讀訖，赦書置於案，都事復位。
HCH_009_036_000321	皇太子宰臣百僚以下再拜，搢笏，舞蹈，執笏，俯伏，興，再拜。
HCH_009_036_000322	拱衛直以下三稱「萬歲」，訖，退。
HCH_009_036_000323	其降諸書，禮亦准此，惟不稱「萬歲」。
HCH_009_036_000324	其外郡，尚書省差官送赦書到京府節鎮，先遣人報，長官即率僚屬吏從，備旗幟音樂彩輿香輿，詣五裏外迎。
HCH_009_036_000325	見送赦書官，即於道側下馬，所差官亦下馬，取赦書置彩輿中，長官詣香輿前上香，訖，所差官上馬，在香輿後，長官以下皆上馬後從，鳴鉦鼓作樂導至公�耤A從正門入，所差官下馬。
HCH_009_036_000326	執事者先設案並望闕褥位於庭中，香輿置於案之前，又設所差官褥位在案之側，又設卓子於案之東南。
HCH_009_036_000327	所差官取赦書置於案，彩輿退。
HCH_009_036_000328	所差官稱：「有敕。」
HCH_009_036_000329	長官以下皆再拜。
HCH_009_036_000330	長官少前上香，訖，退復位，又再拜。
HCH_009_036_000331	所差官取赦書授都目，都目跪受，及孔目官二員，三人齊捧赦書，同高幾上宣讀，在位官皆跪聽。
HCH_009_036_000332	讀訖，都目等復位。
HCH_009_036_000333	長官以下再拜，舞蹈，俯伏，興，再拜。
HCH_009_036_000334	公吏以下三稱「萬歲」。
HCH_009_036_000335	禮畢。
HCH_009_036_000336	明日，長官率僚屬，音樂送至郭外。
