HCH_012_092_000001	明初，垛集令行，民出一丁為軍，衛所無缺伍，且有羨丁。
HCH_012_092_000296	邊衛、營堡、府州縣軍民壯騎操馬，則掌於行寺卿。
HCH_012_092_000297	邊用不足，又以茶易於番，以貨市於邊。
HCH_012_092_000298	其民牧皆視丁田授馬，始曰戶馬，既曰種馬，按歲徵駒。
HCH_012_092_000299	種馬死，孳生不及數，輒賠補。
HCH_012_092_000300	此其大凡也。
HCH_012_092_000301	初，太祖都金陵，令應天、太平、鎮江、廬州、鳳陽、揚州六府，滁、和二州民牧馬。
HCH_012_092_000302	洪武六年，設太僕寺於滁州，統於兵部。
HCH_012_092_000303	後增滁陽五牧監，領四十八羣。
HCH_012_092_000304	已，為四十監，旋罷，惟存天長、大興、舒城三監。
HCH_012_092_000305	置草場於湯泉、滁州等地。
HCH_012_092_000306	復令飛熊、廣武、英武三衛，五軍養一馬，馬歲生駒，一歲解京。
HCH_012_092_000307	既而以監牧歸有司，專令民牧。
HCH_012_092_000308	江南十一戶，江北五戶養馬一，復其身。
HCH_012_092_000309	太僕官督理，歲正月至六月報定駒，七月至十月報顯駒，十一、二月報重駒。
HCH_012_092_000310	歲終考馬政，以法治府州縣官吏。
HCH_012_092_000311	凡牡曰兒，牝曰騍。
HCH_012_092_000312	兒一、騍四為羣，羣頭一人。
HCH_012_092_000313	五羣，羣長一人。
HCH_012_092_000314	三十年，設北平、遼東、山西、陝西、甘肅行太僕寺，定牧馬草場。
HCH_012_092_000315	永樂初，設太僕寺於北京，掌順天、山東、河南。
HCH_012_092_000316	舊設者為南太僕寺，掌應天等六府二州。
HCH_012_092_000317	四年，設苑馬寺於陝西、甘肅，統六監，監統四苑。
HCH_012_092_000318	又設北京、遼東二苑馬寺，所統視陝西、甘肅。
HCH_012_092_000319	十二年，令北畿民計丁養馬，選居閑官教之畜牧。
HCH_012_092_000320	民十五丁以下一匹，十六丁以上二匹，為事編發者七戶一匹，得除罪。
HCH_012_092_000321	尋以寺卿楊砥言，北方人戶五丁養一，免其田租之半，薊州以東至南海等衛，戍守軍外，每軍飼種馬一。
HCH_012_092_000322	又定南方養馬例：鳳、廬、揚、滁、和五丁一，應天、太、鎮十丁一。
HCH_012_092_000323	淮、徐初養馬，亦以丁為率。
HCH_012_092_000324	十八年，罷北京苑馬寺，悉牧之民。
HCH_012_092_000325	洪熙元年，令民牧二歲徵一駒，免草糧之半。
HCH_012_092_000326	自是，馬日蕃，漸散於鄰省。
HCH_012_092_000327	濟南、兗州、東昌民養馬，自宣德四年始也。
HCH_012_092_000328	彰德、衛輝、開封民養馬，自正統十一年始也。
HCH_012_092_000329	已而也先入犯，取馬二萬，寄養近京，充團營騎操，而盡以故時種馬給永平等府。
HCH_012_092_000330	景泰三年，令兒馬十八歲、騍馬二十歲以上，免算駒。
HCH_012_092_000331	成化二年，以南土不產馬，改徵銀。
HCH_012_092_000332	四年，始建太僕寺常盈庫，貯備用馬價。
HCH_012_092_000333	是時，民漸苦養馬。
HCH_012_092_000334	六年，吏部侍郎葉盛言：「向時歲課一駒，而民不擾者，以芻牧地廣，民得為生也。自豪右莊田漸多，養馬漸不足。洪熙初，改兩年一駒，成化初，改三年一駒。馬愈削，民愈貧。然馬卒不可少，乃復兩年一駒之制，民愈不堪。請敕邊鎮隨俗所宜，凡可以買馬足邊、軍民交益者，便宜處置。」
HCH_012_092_000335	時馬文升撫陝西，又極論邊軍償馬之累，請令屯田卒田多丁少而不領馬者，歲輸銀一錢，以助賠償。
HCH_012_092_000336	雖皆允行，而民困不能舒也。
HCH_012_092_000337	繼文升撫陝者蕭禎，請省行太僕寺。
HCH_012_092_000338	兵部覆云：「洪、永時，設行太僕及苑馬寺，凡茶馬、番人貢馬，悉收寺、苑放牧，常數萬匹，足充邊用。正統以後，北敵屢入抄掠，馬遂日耗。言者每請裁革，是惜小費而忘大計。」
HCH_012_092_000339	於是敕諭禎，但令加意督察。
HCH_012_092_000340	而北畿自永樂以來，馬日滋，輒責民牧，民年十五者即養馬。
HCH_012_092_000341	太僕少卿彭禮以戶丁有限，而課駒無窮，請定種馬額。
HCH_012_092_000342	會文升為兵部尚書，奏行其請，乃定兩京太僕種馬，兒馬二萬五千，騍馬四之，二年納駒，著為令。
HCH_012_092_000343	時弘治六年也。
HCH_012_092_000344	十五年冬，尚書劉大夏薦南京太常卿楊一清為副都御史，督理陝西馬政。
HCH_012_092_000345	一清奏言：「我朝以陝右宜牧，設監苑，跨二千餘里。後皆廢，惟存長樂、靈武二監。今牧地止數百里，然以供西邊尚無不足，但苦監牧非人，牧養無法耳。兩監六苑，開城、安定水泉便利，宜為上苑，牧萬馬；廣甯、萬安為中苑；黑水草場逼窄，清平地狹土瘠，為下苑。萬安可五千，廣寧四千，清平二千，黑水千五百。六苑歲給軍外，可常牧馬三萬二千五百，足供三邊用。然欲廣孳息，必多蓄種馬，宜增滿萬匹，兩年一駒，五年可足前數。請支太僕馬價銀四萬二千兩，於平、慶、臨、鞏買種馬七千。又養馬恩隊軍不足，請編流亡民及問遣回籍者，且視恩軍例，凡發邊衛充軍者，改令各苑牧馬，增為三千人。又請相地勢，築城通商，種植榆柳，春夏放牧，秋冬還廄，馬既得安，敵來亦可收保。」
HCH_012_092_000346	孝宗方重邊防，大夏掌兵部，一清所奏輒行。
HCH_012_092_000347	遷總制仍督馬政。
HCH_012_092_000348	諸監草場，原額十三萬三千七百餘頃，存者已不及半。
HCH_012_092_000349	一清核之，得荒地十二萬八千餘頃，又開武安苑地二千九百餘頃。
HCH_012_092_000350	正德二年聞於朝。
HCH_012_092_000351	及一清去官，未幾復廢。
HCH_012_092_000352	時御史王濟言：「民苦養馬。有一孳生馬，輒害之。間有定駒，賂醫諱之，有顯駒墜落之。馬虧欠不過納銀二兩，既孳生者已聞官，而復倒斃，不過納銀三兩，孳生不死則饑餓。馬日瘦削，無濟實用。今種馬、地畝、人丁，歲取有定額，請以其額數令民買馬，而種馬孳生，縣官無與。」
HCH_012_092_000353	兵部是其言。
HCH_012_092_000354	自後，每有奏報，輒引濟言縣官無與種馬事，但責駒於民，遺母求子矣。
HCH_012_092_000355	初，邊臣請馬，太僕寺以見馬給之。
HCH_012_092_000356	自改徵銀，馬日少，而請者相繼，給價十萬，買馬萬匹。
HCH_012_092_000357	邊臣不能市良馬，馬多死，太僕卿儲巏以為言，請仍給馬。
HCH_012_092_000358	又指陳各邊種馬盜賣私借之弊。
HCH_012_092_000359	語雖切，不能從。
HCH_012_092_000360	而邊鎮給發日益繁。
HCH_012_092_000361	延綏三十六營堡，自弘治十一年始，十年間，發太僕銀二十八萬有奇，買補四萬九千餘匹，寧夏、大同、居庸關等處不與焉。
HCH_012_092_000362	至正德七年，遂開納馬例，凡十二條。
HCH_012_092_000363	九年，復發太僕銀市馬萬五千于山東、遼東、河南及鳳陽、保定諸府。
HCH_012_092_000364	嘉靖元年，陝西苑馬少卿盧璧條上馬政，請督逋負、明印烙、訓醫藥、均地差，以救目前，而闢場廣蓄為經久計。
HCH_012_092_000365	帝嘉納之。
HCH_012_092_000366	自後言馬事者頗眾，大都因事立說，補救一時而已。
HCH_012_092_000367	二十九年，俺答入寇，太僕馬缺，復行正德納馬例。
HCH_012_092_000368	已，稍增損之。
HCH_012_092_000369	至四十一年，遂開例至捐馬授職。
HCH_012_092_000370	隆慶二年，提督四夷館太常少卿武金言：「種馬之設，專為孳生備用。備用馬既別買，則種馬可遂省。今備用馬已足三萬，宜令每馬折銀三十兩，解太僕。種馬盡賣，輸兵部，一馬十兩，則直隸、山東、河南十二萬匹，可得銀百二十萬，且收草豆銀二十四萬。」
HCH_012_092_000371	御史謝廷傑謂：「祖制所定，關軍機，不可廢。」
HCH_012_092_000372	兵部是廷傑言。
HCH_012_092_000373	而是時，內帑乏，方分使括天下逋賦。
HCH_012_092_000374	穆宗可金奏，下部議。
HCH_012_092_000375	部請養、賣各半，從之。
HCH_012_092_000376	太僕之有銀也，自成化時始，然止三萬餘兩。
HCH_012_092_000377	及種馬賣，銀日增。
HCH_012_092_000378	是時，通貢互市所貯亦無幾。
HCH_012_092_000379	及張居正作輔，力主盡賣之議。
HCH_012_092_000380	自萬曆九年始，上馬八兩，下至五兩，又折徵草豆地租，銀益多，以供團營買馬及各邊之請。
HCH_012_092_000381	然一騸馬輒發三十金，而州縣以駑馬進，其直止數金。
HCH_012_092_000382	且仍寄養於馬戶，害民不減曩時。
HCH_012_092_000383	又國家有興作、賞賚，往往借支太僕銀，太僕帑益耗。
HCH_012_092_000384	十五年，寺卿羅應鶴請禁支借。
HCH_012_092_000385	二十四年詔太僕給陝西賞功銀。
HCH_012_092_000386	寺臣言：「先年庫積四百餘萬，自東西二役興，僅餘四之一。朝鮮用兵，百萬之積俱空。今所存者，止十餘萬。況本寺寄養馬歲額二萬匹，今歲取折色，則馬之派徵甚少，而東徵調兌尤多。卒然有警，馬與銀俱竭，何以應之。」
HCH_012_092_000387	章下部，未能有所釐革也。
HCH_012_092_000388	崇禎初，核戶兵工三部，借支太僕馬價至一千三百餘萬。
HCH_012_092_000389	蓋自萬曆以來，冏政大壞，而邊牧廢弛，愈不可問。
HCH_012_092_000390	既而遼東督師袁崇煥以缺馬，請於兩京州縣寄養馬內，折三千匹價買之西邊。
HCH_012_092_000391	太僕卿塗國鼎言：「祖宗令民養馬，專供京營騎操，防護都城，非為邊也。後來改折，無事則易馬輸銀，有警則出銀市馬，仍是為京師備禦之意。今折銀已多給各鎮，如並此馬盡折，萬一變生，奈何？」
HCH_012_092_000392	帝是其言，卻崇煥請。
HCH_012_092_000393	按明世馬政，法久弊叢。
HCH_012_092_000394	其始盛終衰之故，大率由草場興廢。
HCH_012_092_000395	太祖既設草場於大江南北，復定北邊牧地：自東勝以西至寧夏、河西、察罕腦兒，以東至大同、宣府、開平，又東南至大寧、遼東，抵鴨綠江又北千里，而南至各衛分守地，又自雁門關西抵黃河外，東曆紫荊、居庸、古北抵山海衛。
HCH_012_092_000396	荒閑平埜，非軍民屯種者，聽諸王駙馬以至近邊軍民樵採牧放，在邊籓府不得自佔。
HCH_012_092_000397	永樂中，又置草場於畿甸。
HCH_012_092_000398	尋以順聖川至桑乾河百三十餘里，水草美，令乙太僕千騎，令懷來衛卒百人分牧，後增至萬二千匹。
HCH_012_092_000399	宣德初，復置九馬坊於保安州。
HCH_012_092_000400	於是兵部奏，馬大蕃息，以色別而名之，其毛色二十五等，其種三百六十。
HCH_012_092_000401	其後莊田日增，草場日削，軍民皆困於孳養。
HCH_012_092_000402	弘治初，兵部主事湯冕、太僕卿王霽、給事中韓祐、周旋、御史張淳，皆請清核。
HCH_012_092_000403	而旋言：「香河諸縣地佔於勢家，霸州等處俱有仁壽宮皇莊，乞罷之，以益牧地。」
HCH_012_092_000404	雖允行，而佔佃已久，卒不能清。
HCH_012_092_000405	南京諸衛牧場亦久廢，兵部尚書張鎣請復之。
HCH_012_092_000406	御史胡海言恐遺地利，遂止。
HCH_012_092_000407	京師團營官馬萬匹，與旗手等衛上直官馬，皆分置草場。
HCH_012_092_000408	歲春末，馬非聽用者，坐營官領下場放牧，草豆住支，秋末回。
HCH_012_092_000409	給事御史閱視馬斃軍逃者以聞。
HCH_012_092_000410	後上直馬不出牧，而騎操馬仍歲出如例。
HCH_012_092_000411	嘉靖六年，武定侯郭勳以邊警為辭，奏免之，徵各場租以充公費，餘貯太僕買馬。
HCH_012_092_000412	於是營馬專仰秣司農，歲費至十八萬，戶部為詘，而草場益廢。
HCH_012_092_000413	議者爭以租佃取贏，侵淫至神宗時，弊壞極矣。
HCH_012_092_000414	茶馬司，洪武中，立於川、陝，聽西番納馬易茶，賜金牌信符，以防詐偽。
HCH_012_092_000415	每三歲，遣廷臣召諸番合符交易，上馬茶百二十斤，中馬七十斤，下馬五十斤。
HCH_012_092_000416	以私茶出者罪死，雖勳戚無貸。
HCH_012_092_000417	末年，易馬至萬三千五百餘匹。
HCH_012_092_000418	永樂中，禁稍弛，易馬少。
HCH_012_092_000419	乃命嚴邊關茶禁，遣御史巡督。
HCH_012_092_000420	正統末，罷金牌，歲遣行人巡察，邊氓冒禁私販者多。
HCH_012_092_000421	成化間，定差御史一員，領敕專理。
HCH_012_092_000422	弘治間，大學士李東陽言：「金牌制廢，私茶盛，有司又屢以敝茶紿番族，番人抱憾，往往以羸馬應。宜嚴敕陝西官司揭榜招諭，復金牌之制，嚴收良茶，頗增馬直，則得馬必蕃。」
HCH_012_092_000423	及楊一清督理苑馬，遂命並理鹽、茶。
HCH_012_092_000424	一清申舊制，禁私販，種官茶。
HCH_012_092_000425	四年間易馬九千餘匹，而茶尚積四十餘萬斤。
HCH_012_092_000426	靈州鹽池增課五萬九千，貯慶陽、固原庫，以買馬給邊。
HCH_012_092_000427	又懼後無專官，制終廢也，於正德初，請令巡茶御史兼理馬政，行太僕、苑馬寺官聽其提調，報可。
HCH_012_092_000428	御史翟唐歲收茶七十八萬餘斤，易馬九千有奇。
HCH_012_092_000429	後法復弛。
HCH_012_092_000430	嘉靖初，戶部請揭榜禁私茶，凡引俱南戶部印發，府州縣不得擅印。
HCH_012_092_000431	三十年，詔給番族勘合，然初制訖不能復矣。
HCH_012_092_000432	馬市者，始永樂間。
HCH_012_092_000433	遼東設市三，二在開原，一在廣寧，各去城四十里。
HCH_012_092_000434	成化中，巡撫陳鉞復奏行之。
HCH_012_092_000435	後至萬曆初不廢。
HCH_012_092_000436	嘉靖中，開馬市於大同，陝邊宣鎮相繼行。
HCH_012_092_000437	隆慶五年，俺答上表稱貢。
HCH_012_092_000438	總督王崇古市馬七千餘匹，為價九萬六千有奇。
HCH_012_092_000439	其價，遼東以米布絹，宣、大、山西以銀。
HCH_012_092_000440	市易外有貢馬者，以鈔幣加賜之。
HCH_012_092_000441	初，太祖起江左，所急惟馬，屢遣使市於四方。
HCH_012_092_000442	正元壽節，內外籓封將帥皆以馬為幣。
HCH_012_092_000443	外國、土司、番部以時入貢，朝廷每厚加賜予，所以招攜懷柔者備至。
HCH_012_092_000444	文帝勤遠略，遣使絕域；外國來朝者甚眾，然所急者不在馬。
HCH_012_092_000445	自後狃於承平，駕馭之權失，馬無外增，惟恃孳生歲課。
HCH_012_092_000446	重以官吏侵漁，牧政荒廢，軍民交困矣。
HCH_012_092_000447	蓋明自宣德以後，祖制漸廢，軍旅特甚，而馬政其一云。
