HCH_012_247_000001	劉綎李應祥陳璘鄧子龍馬孔英劉綎，字省吾，都督顯子。
HCH_012_247_000348	孔亮山賊憑高，弩矢雨下。
HCH_012_247_000349	諸軍用火器攻，大破之。
HCH_012_247_000350	俘馘千五百有奇，余招撫復業。
HCH_012_247_000351	時府江韋扶仲等亦據險亂，元鎮與參政陸長庚謀，募瑤為間，乘夜獲其妻子，誘出劫，伏兵擒之。
HCH_012_247_000352	余黨悉平。
HCH_012_247_000353	元鎮以功增秩賜金。
HCH_012_247_000354	會日本破朝鮮。
HCH_012_247_000355	廷議由浙、閩泛海搗其巢，牽制之，乃改元鎮浙江。
HCH_012_247_000356	既而事寢，移鎮貴州。
HCH_012_247_000357	二十八年，李化龍大征楊應龍，令元鎮督永順、鎮雄、泗城諸土軍，由烏江進。
HCH_012_247_000358	元鎮憚應龍，久駐銅仁不進，屢趣乃行。
HCH_012_247_000359	時劉綎、吳廣諸軍已進，群賊議分兵守，其黨孫時泰曰：「兵分則力薄。乘官軍未集，先破其弱者，余自退矣。」
HCH_012_247_000360	應龍善之。
HCH_012_247_000361	聞元鎮發烏江，應龍喜曰：「此易與耳。」
HCH_012_247_000362	謀縱之渡江，密以計取。
HCH_012_247_000363	監軍按察使楊寅秋言烏江去播不遠，宜俟諸道深入，與俱進，元鎮不從。
HCH_012_247_000364	於是永順兵先奪烏江，賊遣千餘人沿江叫罵以誘之。
HCH_012_247_000365	諸軍既濟，復奪老君關。
HCH_012_247_000366	前哨參將謝崇爵乘勢督泗城及水西兵再拔河渡關。
HCH_012_247_000367	三月望，賊以步騎數千先沖水西軍，軍中驅象出戰，賊多傷。
HCH_012_247_000368	俄駕象者斃，象反走，擲火器者又誤擊己營，陣亂。
HCH_012_247_000369	泗城兵先走，崇爵亦走，爭浮橋，橋斷，殺溺死者數千人。
HCH_012_247_000370	河渡既敗，烏江相去六十里，猶未知。
HCH_012_247_000371	明日，參將楊顯發永順兵三百出哨，道遇賊數萬，咸為水西裝。
HCH_012_247_000372	永順兵不之疑，賊掩殺三百人，亦襲其裝，直趨烏江。
HCH_012_247_000373	烏江軍信為水西、永順軍，不設備，遂為賊所破，爭先渡江。
HCH_012_247_000374	賊先斷浮橋，士卒多溺死，顯及二子與焉。
HCH_012_247_000375	元鎮所部三萬人，不存什一，將校止崇爵等三人，江水為不流。
HCH_012_247_000376	貴陽聞警，居民盡避入城，遠近震動。
HCH_012_247_000377	化龍用上方劍斬崇爵，益征兵，檄鎮雄土官隴澄邀賊歸路。
HCH_012_247_000378	隴澄者，即安堯臣，水西安疆臣弟也。
HCH_012_247_000379	軍不與元鎮合，獨全，當事頗疑其通賊。
HCH_012_247_000380	寅秋以鎮雄去播止二日，令搗巢立效，澄許之。
HCH_012_247_000381	河渡未敗時，澄已遣部將劉嶽、王嘉猷攻拔苦竹關及半壩嶺。
HCH_012_247_000382	暨敗，二將移新站。
HCH_012_247_000383	賊伏兵大水田，別以五千人來襲，敗還。
HCH_012_247_000384	嘉猷乃揚聲搗大水田，而潛以一軍拔大夫關，直抵馬坎，斷賊歸路，與疆臣合，賊遂遁。
HCH_012_247_000385	會都指揮徐成將兵至，合泗城土官岑紹勛兵，再克河渡關。
HCH_012_247_000386	賊將張守欽、袁五受據長箐、萬丈林，永順兵擊破之，生擒守欽。
HCH_012_247_000387	攻清潭洞，復擒五受。
HCH_012_247_000388	會朝議責元鎮敗狀，令李應祥並將其軍，遂合水西、鎮雄諸部，直抵海龍囤，竟滅賊。
HCH_012_247_000389	兵初興，元鎮坐逗遛，謫為事官。
HCH_012_247_000390	及是，逮至京，下吏，罪當死。
HCH_012_247_000391	法司援前岑溪功，謫戍煙瘴。
HCH_012_247_000392	遇赦，廣西巡撫戴耀為請，部議不許，竟卒於戍所。
HCH_012_247_000393	陳璘，字朝爵，廣東翁源人。
HCH_012_247_000394	嘉靖末，為指揮僉事。
HCH_012_247_000395	從討英德賊有功，進廣東守備。
HCH_012_247_000396	與平大盜賴元爵及嶺東殘寇。
HCH_012_247_000397	萬歷初，討平高要賊鄧勝龍，又平揭陽賊及山賊鐘月泉，屢進署都指揮僉事，僉書廣東都司。
HCH_012_247_000398	官軍攻諸良寶，副將李成立戰敗。
HCH_012_247_000399	總督殷正茂請假璘參將，自將一軍。
HCH_012_247_000400	賊平，授肇慶遊擊將軍，徙高州參將。
HCH_012_247_000401	總督淩雲翼將大征羅旁，先下令雕剿。
HCH_012_247_000402	璘所破凡九十巢。
HCH_012_247_000403	已，分十道大征。
HCH_012_247_000404	璘從信宜入，會諸軍，覆滅之，以其地置羅定州及東安、西寧二縣。
HCH_012_247_000405	即遷璘副總兵，署東安參將事。
HCH_012_247_000406	未幾，余孽殺吏民，責璘戴罪辦賊。
HCH_012_247_000407	璘會他將朱文達攻破石牛、青水諸巢，斬捕三百六十餘人，授俸如故。
HCH_012_247_000408	時東安初定，璘大興土木，營寺廟，役部卒，且勒其出貲。
HCH_012_247_000409	卒咸怒，因事倡亂，掠州縣，為巡按御史羅應鶴所劾，詔奪璘官。
HCH_012_247_000410	既而獲賊，乃除罪，改狼山副總兵。
HCH_012_247_000411	璘有謀略，善將兵，然所至貪黷，復被劾褫官。
HCH_012_247_000412	廢久之，朝士多惜其才，不敢薦。
HCH_012_247_000413	二十年，朝鮮用兵，以璘熟倭情，命添註神機七營參將，至則改神樞右副將。
HCH_012_247_000414	無何，擢署都督僉事，充副總兵官，協守薊鎮。
HCH_012_247_000415	明年正月詔以本官統薊、遼、保定、山東軍，禦倭防海。
HCH_012_247_000416	會有封貢之議，暫休兵，改璘協守漳、潮。
HCH_012_247_000417	坐賄石星，為所奏，復罷歸。
HCH_012_247_000418	二十五年，封事敗，起璘故官，統廣東兵五千援朝鮮。
HCH_012_247_000419	明年二月，擢禦倭總兵官，與麻貴、劉綎並將。
HCH_012_247_000420	部卒次山海關鼓噪，璘被責。
HCH_012_247_000421	尋令提督水軍，與貴、綎及董一元分道進，副將陳蠶、鄧子龍，遊擊馬文煥、季金、張良相等皆屬焉，兵萬三千餘人，戰艦數百，分布忠清、全羅、慶尚諸海口。
HCH_012_247_000422	初，賊泛海出沒，官軍乏舟，故得誌。
HCH_012_247_000423	及見璘舟師，懼不敢往來海中。
HCH_012_247_000424	會平秀吉死，賊將遁，璘急遣子龍偕朝鮮將李舜臣邀之。
HCH_012_247_000425	子龍戰沒，蠶、金等軍至，邀擊之，倭無鬥誌，官軍焚其舟。
HCH_012_247_000426	賊大敗，脫登岸者又為陸兵所殲，焚溺死者萬計。
HCH_012_247_000427	時綎方攻行長，驅入順天大城。
HCH_012_247_000428	璘以舟師夾擊，復焚其舟百餘。
HCH_012_247_000429	石曼子西援行長，璘邀之半洋，擊殺之，殲其徒三百餘。
HCH_012_247_000430	賊退保錦山，官軍挑之不出。
HCH_012_247_000431	已，渡匿乙山。
HCH_012_247_000432	崖深道險，將士不敢進。
HCH_012_247_000433	璘夜潛入，圍其巖洞。
HCH_012_247_000434	比明，炮發，倭大驚，奔後山，憑高以拒。
HCH_012_247_000435	將士殊死攻，賊遁走。
HCH_012_247_000436	璘分道追擊，賊無脫者。
HCH_012_247_000437	論功，璘為首，綎次之，貴又次之。
HCH_012_247_000438	進璘都督同知，世蔭指揮僉事。
HCH_012_247_000439	師甫旋，會有征播之役。
HCH_012_247_000440	命璘為湖廣總兵官，由偏橋進，副將陳良比由龍泉，受璘節制。
HCH_012_247_000441	二十八年二月，軍次白泥，楊應龍子朝棟率眾二萬渡烏江迎戰。
HCH_012_247_000442	璘前禦之，而分兩翼躡其後。
HCH_012_247_000443	賊少挫，追奔至龍溪山，賊合四牌賊共拒。
HCH_012_247_000444	四牌在江外，與江內七牌皆五司遺種、九股惡苗，素助賊。
HCH_012_247_000445	璘廣招撫，乃進軍龍溪。
HCH_012_247_000446	偵知賊有伏，令遊擊陳策用火器擊之，賊據險，矢石雨下。
HCH_012_247_000447	璘先登，斬小校退者以徇，把總吳應龍等陷陣，賊大潰，退四牌保兒囤。
HCH_012_247_000448	璘二裨將逼之，中伏。
HCH_012_247_000449	璘募死士從應龍等奮擊，賊復潰，奔據囤巔，夜由山後遁。
HCH_012_247_000450	黎明追及於袁家渡，復敗之。
HCH_012_247_000451	四牌之賊遂盡。
HCH_012_247_000452	三月望，諸軍為浮橋渡江。
HCH_012_247_000453	知賊將張佑、謝朝俸、石勝俸等營七牌野豬山，璘即夜發抵苦練坪。
HCH_012_247_000454	前鋒與戰，後軍至，夾擊之，賊敗逃深箐，官軍遂入苦菜關。
HCH_012_247_000455	會童元鎮烏江師敗，璘懼，請退師，總督李化龍不可。
HCH_012_247_000456	璘乃進營楠木橋，次湄潭。
HCH_012_247_000457	賊悉聚青蛇、長坎、瑪瑙、保子四囤，地皆絕險，而青蛇尤甚。
HCH_012_247_000458	璘議，同日攻則兵力弱，止攻一囤，則三囤必相助，乃先攻三囤，次及青蛇。
HCH_012_247_000459	良比師亦來會，令伏囤後，別以一軍守板角關，防賊逸。
HCH_012_247_000460	璘督諸將力攻三日，賊死傷無算，三囤遂下。
HCH_012_247_000461	青蛇四面陡絕，璘圍其三面，購死士從瑪瑙後附葛至山背舉炮，賊惶駭，諸軍進攻，焚其茅屋。
HCH_012_247_000462	賊退入囤內，木石交下。
HCH_012_247_000463	將士冒死上，毀大柵二重，前後擊之，賊大敗，斬首一千九百有奇，七牌之賊亦盡。
HCH_012_247_000464	乃分兵六道，攻克大小三渡關，乘勝抵海龍囤下。
HCH_012_247_000465	諸將俱攻囤前，獨水西安疆臣攻其後，相持四十餘日。
HCH_012_247_000466	其下受賊重賄，多與通，且潛以火藥遺賊，故賊不備。
HCH_012_247_000467	其後璘知之，與監軍者謀，令疆臣退一舍，璘移其處，置鐵牌百餘，距囤丈許，賊強弩無所施，又為箛板於柵前，賊每夜出劫，為釘傷，不敢復出。
HCH_012_247_000468	應龍勢窮，相聚哭。
HCH_012_247_000469	化龍初有令，諸將分日攻。
HCH_012_247_000470	六月六日，璘與吳廣當進兵。
HCH_012_247_000471	璘夜四更銜枚上，賊鼾睡，斬其守關者，樹白幟，鳴炮，賊大驚潰散，應龍自焚。
HCH_012_247_000472	廣軍亦至，賊盡平。
HCH_012_247_000473	遂移師討皮林。
HCH_012_247_000474	皮林在湖、貴交，與九股苗相接。
HCH_012_247_000475	有吳國佐者，洪州司特峒寨苗也，桀黠無賴，其從父大榮以叛誅，國佐收其妾。
HCH_012_247_000476	黎平府持之急，遂反，自稱「天皇上將」，其黨石纂太稱「太保」，合攻上黃堡，誘敗參將黃沖霄，追至永從縣，殺守備張世忠，炙而啖之，掠屯堡七十餘，焚五開南城，陷永從，圍中潮所。
HCH_012_247_000477	時方征播州，未暇討。
HCH_012_247_000478	既平播，偏沅巡撫江鐸命璘與良比合兵討之，良比失利。
HCH_012_247_000479	明年，鐸移駐靖州，命璘率副將李遇文等七道進，璘擒苗酋銀貢等。
HCH_012_247_000480	遊擊宋大斌攻破特峒，焚之。
HCH_012_247_000481	國佐逃天浦四十八寨，復入古州毛洞，追獲之。
HCH_012_247_000482	石纂太逃廣西上巖山，指揮徐時達誘縛之。
HCH_012_247_000483	賊黨楊永祿率眾萬餘屯白沖。
HCH_012_247_000484	遊擊沈弘猷等夾攻，生擒永祿。
HCH_012_247_000485	諸苗悉平。
HCH_012_247_000486	征播時，璘投賄李化龍家。
HCH_012_247_000487	會劉綎使為化龍父所麾，璘使走。
HCH_012_247_000488	化龍疏於朝，綎獲罪，璘獨免。
HCH_012_247_000489	後兵部尚書田樂推璘鎮貴州，給事中洪瞻祖遂劾璘營求。
HCH_012_247_000490	帝以璘東西積戰功，卒如樂議。
HCH_012_247_000491	貴東西二路苗：曰仲家苗，盤踞貴龍、平新間，為諸苗巨魁；在水硍山介銅仁、思石者曰山苗，紅苗之羽翼也。
HCH_012_247_000492	自平播後，貴州物力大屈，苗益生心，剽掠無虛日。
HCH_012_247_000493	三十三年冬，巡撫郭子章請於朝。
HCH_012_247_000494	明年四月，令璘軍萬人攻水硍，遊擊劉嶽督宣慰安疆臣兵萬人攻西路，並克之。
HCH_012_247_000495	乃令璘移新添，獨攻東路，復克之。
HCH_012_247_000496	生獲酋十二人，斬首三千餘級，招降者萬三千餘人，部內遂靖。
HCH_012_247_000497	改鎮廣東，卒官。
HCH_012_247_000498	先敘平播功，加左都督，世蔭指揮使。
HCH_012_247_000499	既卒，以平苗功，贈太子太保，再蔭百戶。
HCH_012_247_000500	吳廣，廣東人。
HCH_012_247_000501	以武生從軍，累著戰功，歷福建南路參將，坐事罷歸。
HCH_012_247_000502	會岑溪瑤反，總督陳大科檄廣從總兵童元鎮討之。
HCH_012_247_000503	將士少卻，廣手斬一卒以徇，遂大破之。
HCH_012_247_000504	論功，復故官。
HCH_012_247_000505	萬歷二十五年，以副總兵從劉綎禦倭朝鮮，領水軍與陳璘相犄角，俘斬甚眾。
HCH_012_247_000506	甫班師，大征播州，擢廣總兵官，以一軍出合江。
HCH_012_247_000507	副將曹希彬以一軍出永寧，受廣節制。
HCH_012_247_000508	廣屯二郎壩，大行招徠。
HCH_012_247_000509	賊驍將郭通緒迎戰，將士襲走之。
HCH_012_247_000510	陶洪、安村、羅村三砦土官各出降，他部來歸者數萬，廣擇其壯者從軍。
HCH_012_247_000511	通緒扼穿崖囤，廣督土漢軍擊破之。
HCH_012_247_000512	劉綎、馬孔英已入播，廣猶頓二郎，總督李化龍趣之。
HCH_012_247_000513	乃議分四哨進攻崖門，別遣永寧女土官奢世續等督夷兵二千，扼桑木埡諸要害，以防餉道。
HCH_012_247_000514	諸將連破數囤，進營母豬塘。
HCH_012_247_000515	楊應龍懼，令通緒盡發關外兵拒敵。
HCH_012_247_000516	廣伏炮手五百於磨搶埡外南岡下，而遣裨將趙應科挑戰。
HCH_012_247_000517	埡夾兩山中，甚隘，通緒橫槊沖應科，應科佯北。
HCH_012_247_000518	通緒追出埡，遇伏，急旋馬，中炮墜，方躍上他馬，伏兵攢刺之殪，余賊大奔。
HCH_012_247_000519	官軍逐北，賊盡降，遂薄崖門。
HCH_012_247_000520	徑小止容一騎，賊眾萬餘出關拒戰。
HCH_012_247_000521	希彬懸賞千金，士攀崖競進，追至第四關，關上男婦盡哭。
HCH_012_247_000522	賊黨自殺其魁羅進恩，率萬餘人出降。
HCH_012_247_000523	其第一關猶拒不下，廣乘夜疾進，奪其關，關內民爭獻牛酒。
HCH_012_247_000524	劉綎、馬孔英已入關，李應祥、陳璘猶在關外。
HCH_012_247_000525	廣合希彬軍連戰紅碗、水土崖、分水關皆捷，遂進營水牛塘，應龍大懼。
HCH_012_247_000526	知廣軍孤深入，謀欲襲之，乃遣人詐降。
HCH_012_247_000527	廣測其詐，堅壁以待，應龍擁眾三萬直沖大營，諸將殊死戰。
HCH_012_247_000528	會他將來援，賊乃退。
HCH_012_247_000529	廣遂與諸道軍逼海龍囤。
HCH_012_247_000530	賊詐令婦人乞降，哭囤上，又詐報應龍仰藥死，廣信之。
HCH_012_247_000531	已，知其詐，急燒第二關，奪三山，絕賊樵汲，賊益窘。
HCH_012_247_000532	旋與陳璘從囤後登，應龍急自焚死。
HCH_012_247_000533	獲其子朝棟，出應龍屍烈焰中。
HCH_012_247_000534	廣中毒矢，失聲，絕而復蘇，遂以本官鎮四川。
HCH_012_247_000535	逾年卒。
HCH_012_247_000536	初，廣之頓二郎也，有言其受賄養寇者，詔謫充為事官。
HCH_012_247_000537	後論功贈都督同知，世蔭千戶。
HCH_012_247_000538	鄧子龍，豐城人。
HCH_012_247_000539	貌魁梧，驍捷絕倫。
HCH_012_247_000540	嘉靖中，江西賊起，掠樟樹鎮。
HCH_012_247_000541	子龍應有司募，破平之。
HCH_012_247_000542	累功授廣東把總。
HCH_012_247_000543	萬歷初，從大帥張元勛討平巨盜賴元爵。
HCH_012_247_000544	已，從平陳金鶯、羅紹清。
HCH_012_247_000545	賊魁黃高暉逸，子龍入山生獲之。
HCH_012_247_000546	遷銅鼓石守備。
HCH_012_247_000547	尋擢署都指揮僉事，掌浙江都司。
HCH_012_247_000548	被論當奪職，帝以子龍犯輕，會麻陽苗金道侶等作亂，擢參將討之。
HCH_012_247_000549	大破賊，解散其黨。
HCH_012_247_000550	五開衛卒胡若盧等火監司行署，撻逐守備及黎平守。
HCH_012_247_000551	靖州、銅鼓、龍裏諸苗咸響應為亂。
HCH_012_247_000552	子龍火其東門以致賊，而潛兵入北門，賊遂滅。
HCH_012_247_000553	十一年閏二月，緬甸犯雲南。
HCH_012_247_000554	詔移子龍永昌。
HCH_012_247_000555	木邦部耿馬奸人罕虔與嶽鳳同為逆，說緬酋莽應裏內侵，虔從掠千崖、南甸。
HCH_012_247_000556	已，引渡查理江，直犯姚關，灣甸土知州景宗真及弟宗材助之。
HCH_012_247_000557	子龍急戰攀枝樹下，陣斬宗真、虔，生獲宗材。
HCH_012_247_000558	虔子招罕、招色奔三尖山，令叔罕老率蒲人藥弩手五百阻要害，子龍餌蒲人以金，盡知賊間道。
HCH_012_247_000559	乃命裨將鄧勇等提北勝、蒗渠諸番兵，直搗賊巢，而預伏兵山後夾擊。
HCH_012_247_000560	夜半上，生擒招罕、招色、罕老及其黨百三十餘人，斬首五百餘級，尖山巢空，乃撫流移數千人。
HCH_012_247_000561	會劉綎亦俘嶽鳳以獻。
HCH_012_247_000562	帝悅，進子龍副總兵，予世蔭。
HCH_012_247_000563	無何，緬人復寇猛密，把總高國春大破之。
HCH_012_247_000564	子龍以犄角功，亦優敘。
HCH_012_247_000565	自是，蠻人先附緬者，多來附。
HCH_012_247_000566	永昌、騰沖夙號樂土，自嶽、罕猖亂，始議募兵，所募多亡命，乃立騰沖、姚安兩營。
HCH_012_247_000567	劉綎將騰軍，子龍將姚軍，不相能，兩軍鬥。
HCH_012_247_000568	帝以兩將皆有功，置不問。
HCH_012_247_000569	既而綎罷，劉天俸代；天俸逮，遂以子龍兼統之。
HCH_012_247_000570	子龍抑騰兵，每工作，輒虐用之，而右姚兵。
HCH_012_247_000571	及用師隴川，子龍故為低昂，椎牛饗士，姚兵倍騰兵，騰兵大不堪，欲散去。
HCH_012_247_000572	副使姜忻令他將轄之，乃定。
HCH_012_247_000573	而姚兵久驕，因索餉作亂，由永昌、大理抵會城，所過剽掠。
HCH_012_247_000574	諸兵夾擊之，斬八十四級，俘四百餘人，亂始靖。
HCH_012_247_000575	子龍坐褫官下吏。
HCH_012_247_000576	十八年，孟養賊思箇叛。
HCH_012_247_000577	子龍方對簿，巡撫吳定請令立功自贖，帝許之。
HCH_012_247_000578	命未至，定已與黔國公沐昌祚遣將卻之。
HCH_012_247_000579	無何，丁改十寨賊普應春、霸生等作亂，勢張甚。
HCH_012_247_000580	定大征漢土軍，令子龍軍其右，遊擊楊威軍其左，大破之，斬首一千二百級，招降六千六百人。
HCH_012_247_000581	帝為告謝郊廟，宣捷受賀，復子龍副總兵，署金山參將事。
HCH_012_247_000582	先是，猛廣土官思仁烝其嫂甘線姑，欲妻之，弗克。
HCH_012_247_000583	偕其黨丙測叛歸緬，數導入寇。
HCH_012_247_000584	二十年攻孟養，犯蠻莫，土同知思紀奔等練山。
HCH_012_247_000585	子龍擊敗之，乃去。
HCH_012_247_000586	子龍尋被劾罷歸。
HCH_012_247_000587	二十六年，朝鮮用師。
HCH_012_247_000588	詔以故官領水軍，從陳璘東征。
HCH_012_247_000589	倭將渡海遁，璘遣子龍偕朝鮮統制使李舜臣督水軍千人，駕三巨艦為前鋒，邀之釜山南海。
HCH_012_247_000590	子龍素慷慨，年逾七十，意氣彌厲，欲得首功，急攜壯士二百人躍上朝鮮舟，直前奮擊，賊死傷無算。
HCH_012_247_000591	他舟誤擲火器入子龍舟，舟中火，賊乘之，子龍戰死。
HCH_012_247_000592	舜臣赴救，亦死。
HCH_012_247_000593	事聞，贈都督僉事，世蔭一子，廟祀朝鮮。
HCH_012_247_000594	馬孔英者，宣府塞外降丁也，積戰功為寧夏參將。
HCH_012_247_000595	萬歷二十年，哱拜反，引套寇入掠，孔英屢擊敗之。
HCH_012_247_000596	卜失兔入下馬關，從麻貴邀擊，大獲。
HCH_012_247_000597	進本鎮副總兵。
HCH_012_247_000598	二十四年九月，著力兔、宰僧犯平虜、橫城。
HCH_012_247_000599	孔英偕參將鄧鳳力戰，斬首二百七十有奇，賜金幣。
HCH_012_247_000600	令推大將缺，乃擢署都督僉事，以總兵官蒞舊任，尋進秩為真。
HCH_012_247_000601	二十七年，著力兔、宰僧復犯平虜、興武，孔英與杜桐等分道襲敗之。
HCH_012_247_000602	再入，又敗之。
HCH_012_247_000603	會大征播州楊應龍。
HCH_012_247_000604	詔發陜西四鎮兵，令孔英將以往。
HCH_012_247_000605	兵分八道，孔英道南川，獨險遠，去應龍海龍囤六七百里。
HCH_012_247_000606	未至，重慶推官高折枝監紀軍事，請獨當一面。
HCH_012_247_000607	乃與參將周國柱先以石砫宣撫馬千乘兵破賊金築，復督酉陽宣撫冉禦龍敗賊於官壩。
HCH_012_247_000608	孔英至軍，平茶、邑梅兵亦集，軍容甚壯。
HCH_012_247_000609	先師期一日入真州，用土官鄭葵、路麟為鄉道，別遣邊兵千扼明月關。
HCH_012_247_000610	諸軍鼓行前，連破四寨，次赤崖，抵清水坪、封寧關，破賊營十數，逼桑木關，關內民降者日千計。
HCH_012_247_000611	折枝結三大砦處之，禁殺掠，降者日眾，賊益孤。
HCH_012_247_000612	關為賊要害，山險箐深，賊憑高拒。
HCH_012_247_000613	乃令千乘、禦龍出關左右，國柱搗其中。
HCH_012_247_000614	賊用標槍藥矢，銳甚。
HCH_012_247_000615	官軍殊死戰，奪其關，逐北至風坎關，賊復大敗。
HCH_012_247_000616	連破九杵、黑水諸關，苦竹、羊崖、銅鼓諸寨。
HCH_012_247_000617	國柱攻金子壩，無一人，疑有伏，焚空砦十九，嚴兵以待，賊果突出，擊敗之。
HCH_012_247_000618	孔英乃留王之翰兵守白玉臺，衛餉道，平茶、邑梅兵守桑木關，而親帥大軍進營金子壩。
HCH_012_247_000619	應龍聞桑木關破，大懼，遣弟世龍及楊珠以銳卒劫之翰營。
HCH_012_247_000620	之翰走，殺餉卒無算。
HCH_012_247_000621	平茶兵來援，賊始退，孔英還擊世龍，復卻。
HCH_012_247_000622	裨將劉勝奮擊，賊乃奔。
HCH_012_247_000623	官軍進朗山口，由郎山進蒙子橋，深箐蓊翳，賊處處設伏，悉剿平之。
HCH_012_247_000624	應龍益懼，遣其黨詐降，謀為內應，折枝盡斬之，伏以待。
HCH_012_247_000625	珠果夜劫營，伏發，賊驚潰，追奔至高坪。
HCH_012_247_000626	已，奪賊養馬城，直抵海龍第二關下，賊守兵益多。
HCH_012_247_000627	孔英軍已深入，而諸道未有至者。
HCH_012_247_000628	酉陽、延綏兵皆退，賊躡殺官軍六十人。
HCH_012_247_000629	居數日，劉綎兵至，乃合兵連克海崖、海門諸關。
HCH_012_247_000630	賊走保囤上，竟覆滅。
HCH_012_247_000631	初，總督李化龍克師期，諸將莫利先入。
HCH_012_247_000632	孔英所將邊卒及諸土兵，皆獷悍，監紀折枝勇而有謀，故師獨先。
HCH_012_247_000633	八道圍海龍，諸將以囤後易攻，爭走其後，孔英獨壁關前。
HCH_012_247_000634	錄功，進都督同知，世蔭千戶。
HCH_012_247_000635	久之，以總兵官鎮貴州。
HCH_012_247_000636	平金築、定番叛苗，生擒首惡阿包、阿牙等。
HCH_012_247_000637	已而欲襲黃柏山苗。
HCH_012_247_000638	苗知之，先發，敗官兵，匿不報。
HCH_012_247_000639	又誘執苗酋石阿四，稱陣擒冒功。
HCH_012_247_000640	為巡撫胡桂芳所劾，罷歸卒。
HCH_012_247_000641	贊曰：播州之役，諸將用命，合八道師，歷時五月，僅乃克之，可謂勞矣。
HCH_012_247_000642	劉綎勇略冠諸將，勞最多，其後死事亦最烈。
HCH_012_247_000643	鄧子龍始事姚安，名與綎幹，垂老致命，廟祀海隅。
HCH_012_247_000644	昔人謂「武官不惜死」，兩人者蓋無愧於斯言也夫。
