HCH_012_157_000001	金純，字德修，泗州人。
HCH_012_157_000446	弘治中，巡按御史陳銓言：「拱辰退休十餘年，生平清操如一日，乞加禮異以勵臣節。」
HCH_012_157_000447	詔有司月給廩二石，歲隸四人。
HCH_012_157_000448	正德元年，年九十。
HCH_012_157_000449	遣行人齎敕存問，賚羊酒，加賜廩、隸。
HCH_012_157_000450	三年正月卒。
HCH_012_157_000451	贈太子少傅，諡莊懿。
HCH_012_157_000452	陳俊，字時英，莆田人。
HCH_012_157_000453	舉鄉試第一。
HCH_012_157_000454	正統十三年進士。
HCH_012_157_000455	除戶部主事。
HCH_012_157_000456	督天津諸衛軍采草，奏減新增額三十五萬束。
HCH_012_157_000457	豪猾侵蘇、松改折銀七十餘萬兩，俊往督，不數月畢輸。
HCH_012_157_000458	尚書金濂以為能，俾典諸曹章奏。
HCH_012_157_000459	曆郎中。
HCH_012_157_000460	天順五年，兩廣用兵，俊督餉。
HCH_012_157_000461	時州縣殘破，帑藏殫虛，弛鹽商越境令，引加米二斗，軍興賴以無乏。
HCH_012_157_000462	母喪，不聽歸，蠻平始還。
HCH_012_157_000463	初，俊為主事，奔父喪，賻者皆卻之。
HCH_012_157_000464	至是文武將吏醵金賻，亦不納。
HCH_012_157_000465	成化初，擢南京太常少卿。
HCH_012_157_000466	四年召拜戶部右侍郎。
HCH_012_157_000467	俊練習錢穀。
HCH_012_157_000468	四方災傷，邊鎮急芻餉。
HCH_012_157_000469	奏請遝至，裁決咸當，尚書楊鼎深倚之。
HCH_012_157_000470	京師大饑，先後發太倉粟八十萬石平糴。
HCH_012_157_000471	石值六錢，豪猾乘時射利。
HCH_012_157_000472	俊請糴以升鬥為率，過一石勿與。
HCH_012_157_000473	饑民獲濟。
HCH_012_157_000474	尋議用兵河套，敕俊赴河南、山、陝，會巡撫諸臣畫芻餉，發帑金二十萬助之。
HCH_012_157_000475	俊以邊庾空竭，歲又不登，而榆林道險遠，轉輸難，乃發金于內地市易。
HCH_012_157_000476	修西安、韓城、同官徑道，以利飛輓。
HCH_012_157_000477	還朝，進俸一級，曆吏部左、右侍郎。
HCH_012_157_000478	九載滿，拜南京戶部尚書。
HCH_012_157_000479	尋改兵部，參贊機務。
HCH_012_157_000480	先是，參贊之任，不專屬兵部，自薛遠後，繼以俊，遂為定制。
HCH_012_157_000481	久之，就改吏部。
HCH_012_157_000482	二十一年，星變，率九卿陳時弊二十事，皆極痛切。
HCH_012_157_000483	帝多採納。
HCH_012_157_000484	而權幸所不便者，終格不行。
HCH_012_157_000485	明年乞致仕。
HCH_012_157_000486	詔加太子少保，賜敕馳傳還。
HCH_012_157_000487	卒，諡康懿。
HCH_012_157_000488	林鶚，字一鶚，浙江太平人。
HCH_012_157_000489	景泰二年進士。
HCH_012_157_000490	授御史，監京畿鄉試。
HCH_012_157_000491	陳循等訐考官，鶚邑子林挺預薦，疑鶚有私，逮挺考訊。
HCH_012_157_000492	挺實無他，得白。
HCH_012_157_000493	英宗復辟，仿先朝故事，出廷臣為知府。
HCH_012_157_000494	鶚得鎮江。
HCH_012_157_000495	召見，賜膳及道里費，諭所以擢用意。
HCH_012_157_000496	鶚感激，革弊舉廢，治甚有聲。
HCH_012_157_000497	漕故經孟瀆，險甚。
HCH_012_157_000498	巡撫崔恭議鑿河，自七里港引金山上流通丹陽避之。
HCH_012_157_000499	鶚言：「道里遠，多石，且壞民廬墓。請按京口閘、甘露壩故跡，浚之令通舟。春夏啟閘，秋冬度壩，功力省便。」
HCH_012_157_000500	恭從其議，遂為永利。
HCH_012_157_000501	居五年，以才任治劇，調蘇州。
HCH_012_157_000502	成化初，超遷江西按察使。
HCH_012_157_000503	有犯大辟賄達官求生者，鶚執愈堅。
HCH_012_157_000504	廣東寇剽贛州急。
HCH_012_157_000505	調兵禦之，遁去。
HCH_012_157_000506	廣信妖賊妄稱天神惑眾，捕戮其魁，立解散。
HCH_012_157_000507	曆左、右布政使。
HCH_012_157_000508	歲饑，奏減民租十五萬石。
HCH_012_157_000509	成化六年，擢南京刑部右侍郎。
HCH_012_157_000510	母憂服除，召為刑部右侍郎。
HCH_012_157_000511	執法不撓。
HCH_012_157_000512	十二年得疾卒。
HCH_012_157_000513	鶚事母孝謹，對妻子無惰容。
HCH_012_157_000514	不妄交與，公餘輒危坐讀書。
HCH_012_157_000515	歿不能具棺斂，友人為經紀其喪。
HCH_012_157_000516	鶚在蘇州，先聖像剝落。
HCH_012_157_000517	鶚曰：「塑像，非古也，昔太祖于國學用木主。」
HCH_012_157_000518	命改從之。
HCH_012_157_000519	嘉靖中，御史趙大佑上其節行，贈刑部尚書，諡恭肅。
HCH_012_157_000520	潘榮，字尊用，龍溪人。
HCH_012_157_000521	正統十三年進士。
HCH_012_157_000522	犒師廣東，還，除吏科給事中。
HCH_012_157_000523	景泰初，疏論停起復、抑奔競數事。
HCH_012_157_000524	帝納之。
HCH_012_157_000525	尋進右給事中。
HCH_012_157_000526	四年九月上言：「致治之要，莫切於納諫。比以言者忤聖意，諭禮部，凡遇建言，務加審察。或假以報復，具奏罪之。此令一下，廷臣喪氣，以言為諱。國家有利害，生民有得失，大臣有奸慝，何由而知？況今巨寇陸梁，塞上多事，奈何反塞言者路。望明詔台諫，知無不言，緘默者罪。並敕閣部大臣，勿搜求參駁，虧傷治體。」
HCH_012_157_000527	疏入，報聞。
HCH_012_157_000528	天順六年使琉球，還，遷都給事中。
HCH_012_157_000529	成化六年三月偕同官上言：「近雨雪愆期，災異迭見。陛下降詔自責，躬行祈禱，詔大臣盡言，宜上天感格。而今乃風霾晝晦，沴氣赤而復黑，豈非應天之道有未盡歟？夫人君敬天，不在齋戒祈禱而已。政令乖宜，下民失所；崇尚珍玩，費用不經；後宮無序，恩澤不均；爵濫施於賤工，賞妄及於非分，皆非敬天之道。願陛下日禦便殿，召大臣極陳缺失而厘革之，庶災變可弭。」
HCH_012_157_000530	時萬妃專寵，群小夤緣進寶玩，官賞冗濫，故榮等懇言之。
HCH_012_157_000531	帝不能用。
HCH_012_157_000532	是年遷南京太常少卿。
HCH_012_157_000533	又七年，就擢戶部右侍郎。
HCH_012_157_000534	尋改右副都御史、總督南京糧儲。
HCH_012_157_000535	積奇羨數萬石以備荒。
HCH_012_157_000536	十七年召為戶部左侍郎，尋署部事。
HCH_012_157_000537	英國公張懋等四十三人自陳先世以大功錫爵，子孫承繼，所司輒減歲祿，非祖宗報功意。
HCH_012_157_000538	榮等言：「懋等於無事時妄請增祿，若有功何以勸賞？況頻年水旱，國用未充，所請不可許。」
HCH_012_157_000539	事乃寢。
HCH_012_157_000540	中官趙陽等乞兩淮鹽十萬引，帝已許之。
HCH_012_157_000541	榮等言：「近禁勢家中鹽，詔旨甫頒，而陽等輒違犯，宜正其罪。」
HCH_012_157_000542	帝為切責陽等。
HCH_012_157_000543	南京戶部尚書黃鎬罷，以榮代之。
HCH_012_157_000544	孝宗嗣位，謝政歸。
HCH_012_157_000545	賜月廩、歲夫如制。
HCH_012_157_000546	九年卒，年七十有八。
HCH_012_157_000547	贈太子太保。
HCH_012_157_000548	夏時正，字季爵，仁和人。
HCH_012_157_000549	正統十年進士。
HCH_012_157_000550	除刑部主事。
HCH_012_157_000551	景泰六年以郎中錄囚福建，出死罪六十餘人。
HCH_012_157_000552	中有減死、詔充所在濱海衛軍者，時正慮其入海島為變，轉發之山東，然後以聞。
HCH_012_157_000553	因言：「凡福建減死囚，俱宜戍之北方。」
HCH_012_157_000554	法司是其言，而請治違詔罪。
HCH_012_157_000555	帝特宥之。
HCH_012_157_000556	時正又言：「通番及劫盜諸獄，以待會讞。淹引時月，囚多瘐死。請令所司斷決。」
HCH_012_157_000557	詔從之，且推行之天下。
HCH_012_157_000558	天順初，擢大理寺丞。
HCH_012_157_000559	久之，以便養，遷南京大理少卿。
HCH_012_157_000560	成化五年遷本寺卿。
HCH_012_157_000561	明年春命巡視江西災傷。
HCH_012_157_000562	除無名稅十餘萬石，汰諸司冗役數萬，奏罷不職吏二百餘人，增築南昌濱江堤及豐城諸縣陂岸，民賴其利。
HCH_012_157_000563	嘗上奏，不具齎奏人姓名，吏科論其簡恣。
HCH_012_157_000564	帝宥其罪，錄彈章示之。
HCH_012_157_000565	遂乞休歸。
HCH_012_157_000566	僦居民舍，布政使張瓚為築西湖書院居之。
HCH_012_157_000567	家食三十年，年近九十而卒。
HCH_012_157_000568	時正雅好學。
HCH_012_157_000569	閒居久，多所著述，于稽古禮文事尤詳。
HCH_012_157_000570	贊曰：金純等黽勉奉公，當官稱職。
HCH_012_157_000571	加之禔躬清白，操行無虧，固列卿之良也。
HCH_012_157_000572	鄭辰之廉事，周瑄之治獄，皆有仁人之用心，君子哉。
