HCH_012_178_000001	項忠，字藎臣，嘉興人。
HCH_012_178_000371	明年冬，兩廣總督吳琛卒，廷議以英前在廣東有威信，遂以代琛。
HCH_012_178_000372	自韓雍大征以來，將帥喜邀功，利俘掠，名為「雕剿」。
HCH_012_178_000373	英至，鎮以寧靜，約飭將士。
HCH_012_178_000374	毋得張賊聲勢，妄請用師。
HCH_012_178_000375	招撫瑤、僮效順者，定為編戶，給復三年。
HCH_012_178_000376	於是馬平、陽朔、蒼梧諸縣蠻悉望風附。
HCH_012_178_000377	而荔波賊李公主有眾數萬，久負固，亦遣子納款。
HCH_012_178_000378	為置永安州處之，俾其子孫世吏目。
HCH_012_178_000379	自是歸附日眾，凡為戶四萬三千有奇，口十五萬有奇。
HCH_012_178_000380	帝甚嘉之。
HCH_012_178_000381	鎮守中官與督撫、總兵官坐次，中官居中，總督居總兵官左。
HCH_012_178_000382	時總兵官陳政以伯爵欲抑英居右，英不可，奏乞裁定。
HCH_012_178_000383	命解英總督，止為巡撫，居政下。
HCH_012_178_000384	尚書余子俊言英招徠功多，當增秩褒賞，乃反削其事權，恐無以鎮諸蠻。
HCH_012_178_000385	乃擢英右都御史仍總督，位次如故。
HCH_012_178_000386	田州酋黃明烝其知府岑溥祖母，欲殺溥。
HCH_012_178_000387	溥出走思恩，明因肆屠戮。
HCH_012_178_000388	英將進討，檄溥族人恩城知州岑欽殺明雪恥。
HCH_012_178_000389	欽遂誅明並其族屬，傳首軍門。
HCH_012_178_000390	英淳厚，然持法無所假借。
HCH_012_178_000391	與市舶中官韋眷忤，眷摭奏英專權玩賊。
HCH_012_178_000392	潯州知府史芳以事見責，亦訐英奸貪欺罔。
HCH_012_178_000393	按皆無驗，乃鐫芳二官，諭眷協和共事。
HCH_012_178_000394	十六年，交阯攻老撾，議者恐其內寇，詔問英處置之宜。
HCH_012_178_000395	英對言：「彼不過爭甌脫耳，諭之當自悔懼。」
HCH_012_178_000396	帝從其言，果上表謝。
HCH_012_178_000397	潯、梧、高、廉賊起，偕政等分道擊之。
HCH_012_178_000398	再戰，俘斬甚眾。
HCH_012_178_000399	十九年，桂林平樂蠻攻城殺將，英、政復分兵十二道擊破之。
HCH_012_178_000400	明年入掌都察院事，尋加太子少保。
HCH_012_178_000401	又明年正月，星變，疏陳八事：請禁邊將節旦獻馬；鎮守中官、武將不得私立莊田，侵奪官地；燒丹符咒左道之人，當置重典；四方分守監槍內官勿進貢品物；罷撤倉場、馬房、上林苑增設內侍；召還建言得罪諸臣；清內府收白糧積弊；治奸民投獻莊田及貴戚受獻者罪。
HCH_012_178_000402	權幸皆不便，執政多持之不行。
HCH_012_178_000403	英造內閣力爭，竟不能盡從也。
HCH_012_178_000404	時流民集京師者多，英請人給米月三斗，幼者半之，報許。
HCH_012_178_000405	其年秋卒。
HCH_012_178_000406	贈太子太保。
HCH_012_178_000407	英為總督承韓雍、吳琛後。
HCH_012_178_000408	雍雖有大功，恢廓自奉，贈遺過侈，有司困供億，公私耗竭；而琛務謹廉；至英益持清節，僅攜一蒼頭之官。
HCH_012_178_000409	先後屢賜璽書、金幣，英藏璽書，貯金幣於庫。
HCH_012_178_000410	其威望不及雍，而惠澤過之。
HCH_012_178_000411	在甘肅積軍儲三十萬兩，廣四十餘萬，皆不以聞。
HCH_012_178_000412	或問之，答曰：「此邊臣常分，何足言。」
HCH_012_178_000413	人服其知大體。
HCH_012_178_000414	正德中，追謚恭簡。
HCH_012_178_000415	子守孚，進士，刑部郎中。
HCH_012_178_000416	秦纮，字世纓，單人。
HCH_012_178_000417	景泰二年進士。
HCH_012_178_000418	授南京御史。
HCH_012_178_000419	劾治內官傅鎖兒罪，諫止江南采翠毛、魚魫等使。
HCH_012_178_000420	權貴忌之，蜚語聞。
HCH_012_178_000421	會考察，坐謫湖廣驛丞。
HCH_012_178_000422	天順初，以御史練綱薦，遷雄縣知縣。
HCH_012_178_000423	奉禦杜堅捕天鵝暴橫，纮執杖其從者，坐下詔獄。
HCH_012_178_000424	民五千詣闕訟，乃調知府谷。
HCH_012_178_000425	憲宗即位，遷葭州知州，調秦州。
HCH_012_178_000426	母喪去官，州人乞借纮，服闋還故任。
HCH_012_178_000427	尋擢鞏昌知府，改西安，遷陜西右參政。
HCH_012_178_000428	岷州番亂，提兵三千破之，進俸一級。
HCH_012_178_000429	成化十三年擢右僉都御史，巡撫山西，奏鎮國將軍奇澗等罪。
HCH_012_178_000430	奇澗父慶成王鐘鎰為奏辯，且誣纮。
HCH_012_178_000431	帝重違王意，逮纮下法司治。
HCH_012_178_000432	事皆無驗，而內官尚亨籍纮家，以所得敝衣數事奏。
HCH_012_178_000433	帝嘆曰：「纮貧一至此耶？」
HCH_012_178_000434	賜鈔萬貫旌之。
HCH_012_178_000435	於是奪奇澗等三人爵，王亦削祿三之一，而改纮撫河南。
HCH_012_178_000436	尋復調宣府。
HCH_012_178_000437	小王子數萬騎寇大同，長驅入順聖川，掠宣府境。
HCH_012_178_000438	纮與總兵官周玉等邀擊，遁去。
HCH_012_178_000439	尋入掠興寧口，連戰卻之，追還所掠，璽書勞焉。
HCH_012_178_000440	進左僉都御史，巡撫如故。
HCH_012_178_000441	未幾，召還理院事，遷戶部右侍郎。
HCH_012_178_000442	萬安逐尹旻，誣纮旻黨，降廣西右參政。
HCH_012_178_000443	進福建左布政使。
HCH_012_178_000444	弘治元年以王恕薦，擢左副都御史，督漕運。
HCH_012_178_000445	明年三月進右都御史，總督兩廣軍務。
HCH_012_178_000446	奏言：「中官、武將總鎮兩廣者，率縱私人擾商賈，高居私家。擅理公事，賊殺不辜，交通土官為奸利。而天下鎮守官皆得擅執軍職，受民訟，非制，請嚴禁絕。總鎮府故有賞功所，歲儲金錢數萬，費出無經，宜從都御史勾稽。廣、潮、南、韶多盜，當設社學，編保甲，以絕盜源。」
HCH_012_178_000447	帝悉從其請。
HCH_012_178_000448	恩城知州岑欽攻逐田州知府岑溥，與泗城知州岑應分據其地。
HCH_012_178_000449	纮入田州逐走欽，還溥於府，留官軍戍之，亂遂定。
HCH_012_178_000450	復遣將討平黎賊陵水，瑤賊德慶。
HCH_012_178_000451	纮之初蒞鎮也，劾總兵官安遠侯柳景貪暴，逮下獄。
HCH_012_178_000452	景亦訐纮，勘無左證，法司當景死。
HCH_012_178_000453	景連姻周太后家，有奧援，訐纮不已。
HCH_012_178_000454	詔並逮纮，廷鞫卒無罪。
HCH_012_178_000455	詔宥景死，奪爵閑住，而纮亦罷歸。
HCH_012_178_000456	大臣王恕等請留纮，不納。
HCH_012_178_000457	廷臣復連章言纮可大用。
HCH_012_178_000458	居數月，起南京戶部尚書。
HCH_012_178_000459	十一年引疾去。
HCH_012_178_000460	十四年秋，寇大入花馬池，敗官軍孔壩溝，直抵平涼。
HCH_012_178_000461	言者謂纮有威名，雖老可用。
HCH_012_178_000462	詔起戶部尚書兼右副都御史，總制三邊軍務。
HCH_012_178_000463	纮馳至固原，按行敗所。
HCH_012_178_000464	躬祭陣亡將士，掩其骼。
HCH_012_178_000465	奏錄死事指揮朱鼎等五人，恤軍士戰歿者家。
HCH_012_178_000466	劾治敗將楊琳等四人罪，更易守將。
HCH_012_178_000467	練壯士，興屯田，申明號令，軍聲大振。
HCH_012_178_000468	初，寇未入河套，平涼、固原皆內地，無患。
HCH_012_178_000469	自孛來往牧後，固原當兵沖，為平、慶、臨、鞏門戶。
HCH_012_178_000470	而城隘民貧，兵力單弱，商販不至。
HCH_012_178_000471	纮乃拓治城郭，招徠商賈，建改為州，而身留節制之。
HCH_012_178_000472	奏言：「固原主、客兵止萬八千人，散守城堡二十四。勢分力弱，宜益兵。舊臨、鞏、秦州諸軍歲赴甘、涼備禦。及他方有警，又調兵甘、涼，或發京軍征討。夫京師天下本，邊將手握重兵，而一遇有事輒請京軍，非強幹弱枝之道。請自今京兵毋輕發，臨、鞏、甘、涼諸軍亦宜各還本鎮。但選知兵宿將一二人各守其地，人以戍為家，軍以將為命，自樂趨役，而有戰心，計之得者也。」
HCH_012_178_000473	纮見固原迤北延袤千里，閑田數十萬頃，曠野近邊，無城堡可依。
HCH_012_178_000474	議於花馬池迤西至小鹽池二百里，每二十里築一堡，堡周四十八丈，役軍五百人。
HCH_012_178_000475	固原迤北諸處亦各築屯堡，募人屯種，每頃歲賦米五石，可得五十萬石。
HCH_012_178_000476	規畫已定，而寧夏巡撫劉憲為梗。
HCH_012_178_000477	纮乃奏曰：「竊見三邊情形，延綏、甘、涼地雖廣，而士馬精強。寧夏怯弱矣，然河山險阻。惟花馬池至固原，軍既怯弱，又墩臺疏遠，敵騎得長驅深入，故當增築墩堡。韋州、豫望城諸處亦然。今固原迤南修築將畢，惟花馬池迤北二百里當築十堡。而憲危言阻眾，且廢垂成之功。乞令憲制三邊，而改臣撫寧夏，俾得終邊防，於事為便。」
HCH_012_178_000478	帝下詔責憲，憲引罪，卒行纮策。
HCH_012_178_000479	修築諸邊城堡一萬四千餘所，垣塹六千四百餘里，固原屹為重鎮。
HCH_012_178_000480	纮又以意作戰車，名「全勝車」，詔頒其式於諸邊。
HCH_012_178_000481	在事三年，四鎮晏然，前後經略西陲者莫及。
HCH_012_178_000482	十七年加太子少保，召還視部事。
HCH_012_178_000483	以年老連章力辭，乞致仕。
HCH_012_178_000484	詔賜敕乘傳歸，月廩歲隸如制。
HCH_012_178_000485	明年九月卒，年八十。
HCH_012_178_000486	贈少保，謚襄毅。
HCH_012_178_000487	纮廉介絕俗，妻孥菜羹麥飯常不飽。
HCH_012_178_000488	性剛果，勇於除害，不自顧慮，士大夫識與不識稱為偉人。
HCH_012_178_000489	在兩廣被逮時，方議討後山賊。
HCH_012_178_000490	治軍事畢，從容就道，儀衛騶從不貶損。
HCH_012_178_000491	既逾嶺，始囚服就系。
HCH_012_178_000492	謂官校曰：「兩廣蠻夷雜處，總制體尊，遽就拘執，損國威。今既逾嶺，真囚矣。」
HCH_012_178_000493	其嚴重得體如此。
HCH_012_178_000494	正德五年，劉瑾亂政。
HCH_012_178_000495	纮家奴憾纮婦弟楊瑾，以纮所遺火炮投緝事校尉，誣瑾畜違禁軍器。
HCH_012_178_000496	劉瑾怒，歸罪於纮。
HCH_012_178_000497	籍其家，無所得。
HCH_012_178_000498	言官張九敘、塗敬等復希瑾意劾纮，士類嗤之。
HCH_012_178_000499	贊曰：項忠、韓雍皆以文學通籍，而親提桴鼓，樹勛戎馬之場。
HCH_012_178_000500	其應機決勝，成畫遠謀，雖宿將殆無以過，豈不壯哉！
HCH_012_178_000501	賞不酬勞，謠諑繼起，文法吏從而繩其後，功名之士所為發憤而太息也。
HCH_012_178_000502	余子俊盡心邊計，數世賴之。
HCH_012_178_000503	朱英廉威名粵嶠，秦纮經略著西陲，文武兼資，偉哉一代之能臣矣！
