HCH_012_078_000001	賦役之法，唐租庸調猶為近古。
HCH_012_078_000277	孝感饑，其令請以預備倉振貸，帝命行人馳驛往，且諭戶部：自今凡歲饑，先發倉庾以貸，然後聞，著為令。
HCH_012_078_000278	在位三十餘年，賜予布鈔數百萬，米百餘萬，所蠲租稅無數。
HCH_012_078_000279	成祖聞河南饑，有司匿不以聞，逮沼之。
HCH_012_078_000280	因命都御史陳瑛榜諭天下，有司水旱災傷不以聞者，罪不宥。
HCH_012_078_000281	又敕朝廷歲遣巡視官，目擊民艱不言者，悉逮下獄。
HCH_012_078_000282	仁宗監國時，有以發振請者，遣人馳諭之，言：「軍民睏乏，待哺嗷嗷，尚從容啟請待報，不能效漢汲黯耶？」
HCH_012_078_000283	宣宗時，戶部請核饑民。
HCH_012_078_000284	帝曰：「民饑無食，濟之當如拯溺救焚，奚待勘。」
HCH_012_078_000285	蓋二祖、仁、宣時，仁政亟行。
HCH_012_078_000286	預備倉之外，又時時截起運，賜內帑。
HCH_012_078_000287	被災處無儲粟者，發旁縣米振之。
HCH_012_078_000288	蝗蝻始生，必遣人捕枌。
HCH_012_078_000289	鬻子女者，官為收贖。
HCH_012_078_000290	且令富人蠲佃戶租。
HCH_012_078_000291	大戶貸貧民粟，免其雜役為息，豐年償之。
HCH_012_078_000292	皇莊、湖泊皆馳禁，聽民採取。
HCH_012_078_000293	饑民還籍，給以口糧。
HCH_012_078_000294	京、通倉米，平價出糶。
HCH_012_078_000295	兼預給俸糧以殺米價，建官舍以處流民，給糧以收棄嬰，養濟院窮民各注籍，無籍者收養蠟燭、幡竿二寺。
HCH_012_078_000296	其恤民如此。
HCH_012_078_000297	世宗、神宗於民事略矣，而災荒疏至，必賜蠲振，不敢違祖制也。
HCH_012_078_000298	振米之法，明初，大口六斗，小口三斗，五歲以下不與。
HCH_012_078_000299	永樂以後，減其數。
HCH_012_078_000300	納米振濟贖罪者，景帝時，雜犯死罪六十石，流徒減三之一，餘遞減有差。
HCH_012_078_000301	捐納事例，自憲宗始。
HCH_012_078_000302	生員納米百石以上，人國子監；軍民納二百五十石，為正九品散官，加五十石，增二級，至正七品止。
HCH_012_078_000303	武宗時，富民納粟振濟，千石以上者表其門，九百石至二三百石者，授散官，得至從六品。
HCH_012_078_000304	世宗令義民出谷二十石者，給冠帶，多者授官正七品，至五百石者，有司為立坊。
HCH_012_078_000305	振粥之法，自世宗始。
HCH_012_078_000306	報災之法，洪武時不拘時限。
HCH_012_078_000307	弘治中，始限夏災不得過五月終，秋災不得過九月終。
HCH_012_078_000308	萬歷時，又分近地五月、七月，邊地七月、九月。
HCH_012_078_000309	洪武時，勘災既實，盡與蠲免。
HCH_012_078_000310	弘治中，始定全災免七分，自九分災以下遞減。
HCH_012_078_000311	又止免存留，不及起運，後遂為永制云。
