HCH_012_045_000001	福建《禹貢》揚州之域。
HCH_012_045_000446	順德府西南。
HCH_012_045_000447	景泰三年，以南海縣大良堡置，析新會縣地益之。
HCH_012_045_000448	西北有西江，南有馬寧、北有紫泥二巡檢司。
HCH_012_045_000449	西有江村巡檢司，後遷縣西北查浦。
HCH_012_045_000450	北有寧都巡檢司，後遷都粘堡。
HCH_012_045_000451	又東南有馬岡巡檢司，後廢。
HCH_012_045_000452	東莞府東南。
HCH_012_045_000453	南濱海，海中有三洲，有南頭、屯門、雞棲、佛堂門、十字門、冷水角、老萬山、零丁洋等澳。
HCH_012_045_000454	北有東江。
HCH_012_045_000455	西有中堂、西南有白沙、又有缺口鎮三巡檢司。
HCH_012_045_000456	東北有京山巡檢司，本治茶園，後遷京口村，更名。
HCH_012_045_000457	又西南有虎頭山關，洪武二十七年置。
HCH_012_045_000458	新安府東南。
HCH_012_045_000459	本東莞守禦千戶所，洪武十四年八月置。
HCH_012_045_000460	萬曆元年改爲縣。
HCH_012_045_000461	南濱海。
HCH_012_045_000462	有大鵬守禦千戶所，亦洪武十四年八月置。
HCH_012_045_000463	東南有官富、西北有福永二巡檢司。
HCH_012_045_000464	三水府北。
HCH_012_045_000465	嘉靖五年五月以南海縣之龍鳳岡置，析高安縣地益之。
HCH_012_045_000466	西江在南，北江在西。
HCH_012_045_000467	又西南有三江、北有胥江、東有西南鎮三巡檢司。
HCH_012_045_000468	又南有橫石巡檢司。
HCH_012_045_000469	增城府東。
HCH_012_045_000470	東有增江，南有東江。
HCH_012_045_000471	西南有烏石、西北有茅田二巡檢司。
HCH_012_045_000472	龍門府東。
HCH_012_045_000473	弘治六年以增城縣七星岡置，析博羅縣地益之。
HCH_012_045_000474	南有龍門水，亦曰九淋水，流入東江。
HCH_012_045_000475	東有上龍門巡檢司。
HCH_012_045_000476	香山府南。
HCH_012_045_000477	南濱海。
HCH_012_045_000478	東有零丁洋。
HCH_012_045_000479	北有黃圃巡檢司。
HCH_012_045_000480	西北有大攬巡檢司，本名香山，後更名。
HCH_012_045_000481	新會府西南。
HCH_012_045_000482	南濱海，中有崖山。
HCH_012_045_000483	東北有西江。
HCH_012_045_000484	西南有恩平江，一名峴岡水。
HCH_012_045_000485	東南有潮連、西有牛肚灣二巡檢司。
HCH_012_045_000486	又西北有樂逕巡檢司，後遷縣北之石螺岡。
HCH_012_045_000487	又東北有大瓦巡檢司，本治中樂都，後遷鸞臺村。
HCH_012_045_000488	又南有沙村巡檢司，本治大神岡，後遷仙洞村，又遷長沙村，後復故治。
HCH_012_045_000489	新寧府西南。
HCH_012_045_000490	弘治十一年以新會縣德行都之上坑蓢置，析文章等五都地益之。
HCH_012_045_000491	南濱海。
HCH_012_045_000492	北有恩平江，一名長沙河。
HCH_012_045_000493	又南有廣海衛，洪武二十七年九月置。
HCH_012_045_000494	西有望高巡檢司，西南有城岡巡檢司，後廢。
HCH_012_045_000495	從化府東北。
HCH_012_045_000496	弘治二年以番禺縣橫潭村置，析增城縣地益之。
HCH_012_045_000497	九年遷於流溪馬場曲。
HCH_012_045_000498	東北有流溪巡檢司，本治縣北石潭村，後遷神岡村。
HCH_012_045_000499	清遠府北。
HCH_012_045_000500	東有中宿峽。
HCH_012_045_000501	西有大羅山。
HCH_012_045_000502	又湞水在縣東北，東南有潖水來合焉，謂之潖江口，有潖江巡檢司。
HCH_012_045_000503	又西南有回岐、西北有濱江二巡檢司。
HCH_012_045_000504	東北有橫石磯巡檢司，後廢。
HCH_012_045_000505	連州元桂陽州，直隸廣東道。
HCH_012_045_000506	洪武二年三月省入連州。
HCH_012_045_000507	四月，連州廢，地屬連山。
HCH_012_045_000508	三年九月，連山廢，地屬陽山。
HCH_012_045_000509	十四年置連州於此，屬府。
HCH_012_045_000510	東北有桂水。
HCH_012_045_000511	西有湟水，亦曰洭水，自湖廣寧遠縣流入，東南合湞水。
HCH_012_045_000512	西北有硃岡巡檢司。
HCH_012_045_000513	又有西岸巡檢司，治仁內鄉，後徙陽山縣境。
HCH_012_045_000514	東南距府五百六十里。
HCH_012_045_000515	領縣二：陽山州東北。
HCH_012_045_000516	元屬桂陽州。
HCH_012_045_000517	洪武二年三月，桂陽州廢，屬連州。
HCH_012_045_000518	四月，連州廢，屬韶州府。
HCH_012_045_000519	十四年四月改爲連州，徙州於桂陽州舊治，復置縣，屬焉。
HCH_012_045_000520	南有陽溪，即洭水。
HCH_012_045_000521	西北有星子巡檢司。
HCH_012_045_000522	東有西岸巡檢司，自連州移此，治青蓮水口。
HCH_012_045_000523	又北有湟谿、陽山二關。
HCH_012_045_000524	連山州西。
HCH_012_045_000525	元連州治此，直隸廣東道。
HCH_012_045_000526	洪武二年四月，州廢，屬韶州府。
HCH_012_045_000527	三年九月省入陽山。
HCH_012_045_000528	十三年十一月復置。
HCH_012_045_000529	十四年四月屬州。
HCH_012_045_000530	舊治在縣西北鐘山。
HCH_012_045_000531	永樂元年徙縣西程山下。
HCH_012_045_000532	天順六年又徙小坪。
HCH_012_045_000533	南有黃連山。
HCH_012_045_000534	北有高良水，又名大獲水，東至州界入湟水。
HCH_012_045_000535	西有宜善巡檢司，即程山下舊縣治。
HCH_012_045_000536	肇慶府元肇慶路，屬廣江道。
HCH_012_045_000537	洪武元年爲府。
HCH_012_045_000538	領州一，縣十一。
HCH_012_045_000539	南距布政司二百三十里。
HCH_012_045_000540	高要倚。
HCH_012_045_000541	北有石室山。
HCH_012_045_000542	南有銅鼓山。
HCH_012_045_000543	東有高峽山、爛柯山。
HCH_012_045_000544	城南有西江，又南有新江，東南有蒼梧水，俱流入焉。
HCH_012_045_000545	東南有古耶巡檢司，治龍池都之馮村，後遷縣東之橫槎下都。
HCH_012_045_000546	東有祿步巡檢司，初在下村，後遷上村水口。
HCH_012_045_000547	東有橫槎巡檢司，初治上半都，後遷水口，尋廢。
HCH_012_045_000548	高明府東南。
HCH_012_045_000549	本高要縣高明鎮巡檢司，成化十一年十二月改爲縣，析清泰等都益之。
HCH_012_045_000550	南有倉步水，一名滄江，下流入於西江。
HCH_012_045_000551	東北有太平巡檢司，治太平都，後遷縣東都含海口。
HCH_012_045_000552	又遷縣西南山臺寺，又遷縣東清溪申石奇海濱。
HCH_012_045_000553	四會府北。
HCH_012_045_000554	南有北江。
HCH_012_045_000555	東有南津巡檢司，治黃岡村，尋遷縣東南南津水口。
HCH_012_045_000556	新興府南。
HCH_012_045_000557	元新州治，直隸廣東道。
HCH_012_045_000558	洪武二年四月州廢來屬。
HCH_012_045_000559	東有新江。
HCH_012_045_000560	西南有立將巡檢司。
HCH_012_045_000561	又南有祿緣巡檢司，後廢。
HCH_012_045_000562	開平府南。
HCH_012_045_000563	本恩平縣之開平屯。
HCH_012_045_000564	明末改爲縣，析新興、新會二縣地益之。
HCH_012_045_000565	南有恩平江，源出舊恩平縣西北平城山，東流合烏石水，下流入廣州新會縣界。
HCH_012_045_000566	東南有沙岡巡檢司，本治沙岡村，後遷平康都之長沙村。
HCH_012_045_000567	又南有松柏、北有四合二巡檢司。
HCH_012_045_000568	陽春府南。
HCH_012_045_000569	元屬南恩州。
HCH_012_045_000570	洪武元年屬新州。
HCH_012_045_000571	二年四月，新州廢，屬府。
HCH_012_045_000572	西有漠陽江。
HCH_012_045_000573	北有古良巡檢司，尋廢，後復置於縣西，又遷南鄉都小水口。
HCH_012_045_000574	又北有思良巡檢司，後廢。
HCH_012_045_000575	陽江府南。
HCH_012_045_000576	元南恩州治此，直隸廣東道。
HCH_012_045_000577	洪武元年，南恩州廢，改屬新州。
HCH_012_045_000578	二年四月，新州廢，屬府。
HCH_012_045_000579	南濱海。
HCH_012_045_000580	中有海陵山，山西北爲鶴州山，海陵巡檢司在焉。
HCH_012_045_000581	西有漠陽江，源出古銅陵縣北雲浮山下，南流過陽春縣，會諸水，經南恩舊城，直通北津港門，入於海。
HCH_012_045_000582	東南有海朗守禦千戶所，西南有雙魚守禦千戶所，俱洪武二十七年置。
HCH_012_045_000583	又東北有蓮塘堡，西有太平堡，俱嘉靖間築。
HCH_012_045_000584	恩平府南。
HCH_012_045_000585	本陽江縣之恩平巡檢司，初治縣東北之恩平故縣，後遷恩平堡。
HCH_012_045_000586	成化十四年六月改堡爲縣，析新興、新會二縣地益之，而遷巡檢司於縣東南之城村，仍故名，後又遷白蒙屯。
HCH_012_045_000587	縣南有恩平江。
HCH_012_045_000588	廣寧府西北。
HCH_012_045_000589	嘉靖三十八年十月以四會縣地置。
HCH_012_045_000590	初治縣東南潭圃山下，後遷大圃村福星山下，即今治也。
HCH_012_045_000591	北有綏江，又有龍口屯田千戶所，亦嘉靖三十八年置。
HCH_012_045_000592	西北有金溪巡檢司。
HCH_012_045_000593	南有扶溪巡檢司，初治東鄉水口，後遷扶溪口，又遷官埠。
HCH_012_045_000594	德慶州元德慶路，屬廣東道。
HCH_012_045_000595	洪武元年爲府。
HCH_012_045_000596	九年四月降爲州，以府治端溪縣省入，來屬。
HCH_012_045_000597	西有小湘峽，西江經其中，端溪自東北流入焉。
HCH_012_045_000598	東有悅城鄉巡檢司，治悅城故縣，後遷靈溪水口。
HCH_012_045_000599	東距府二百十里。
HCH_012_045_000600	領縣二：封川州西。
HCH_012_045_000601	元封州治此，直隸廣東道。
HCH_012_045_000602	洪武二年三月，州廢，改屬。
HCH_012_045_000603	南有西江，西有賀江，西北有東安江，俱流入焉。
HCH_012_045_000604	北有文德巡檢司，初治縣西北大洲口，後遷縣西賀江口，後又遷於此。
HCH_012_045_000605	開建州西北。
HCH_012_045_000606	元屬封州。
HCH_012_045_000607	洪武二年三月改屬。
HCH_012_045_000608	西有開江，一名封溪，即賀江之下流。
HCH_012_045_000609	北有古令巡檢司，治古令村，後遷縣東北之褥村。
HCH_012_045_000610	韶州府元韶州路，屬廣東道宣尉司。
HCH_012_045_000611	洪武元年爲府。
HCH_012_045_000612	領縣六。
HCH_012_045_000613	西距布政司八百里。
HCH_012_045_000614	曲江倚。
HCH_012_045_000615	永樂二十二年建淮王府，正統元年遷於江西饒州府。
HCH_012_045_000616	南有蓮花山。
HCH_012_045_000617	東北有韶石山。
HCH_012_045_000618	西有桂山。
HCH_012_045_000619	湞水在東，東南有曹溪水，西有武水，俱流入焉，抱城回曲，故謂之曲江，下流即始興江。
HCH_012_045_000620	東北有平圃、南有蒙浬二巡檢司。
HCH_012_045_000621	樂昌府西北。
HCH_012_045_000622	南有昌山。
HCH_012_045_000623	東北有靈君山。
HCH_012_045_000624	西有三瀧水，即武水。
HCH_012_045_000625	北有九峯、西北有黃圃、又有羅家灣三巡檢司。
HCH_012_045_000626	東有高勝巡檢司，後廢。
HCH_012_045_000627	英德府西南。
HCH_012_045_000628	元英德州，直隸廣東道。
HCH_012_045_000629	洪武二年三月降爲縣，來屬。
HCH_012_045_000630	南有皋石山，一名湞陽峽。
HCH_012_045_000631	又湞水在縣東，一名溱水，洭水在縣西，一名洸水，至縣西南合流，謂之洸口，有洸口巡檢司。
HCH_012_045_000632	又南有瀧頭水，與湞水合。
HCH_012_045_000633	又東有象岡、北有清溪、西有含洸三巡檢司。
HCH_012_045_000634	又南有南崖巡檢司，廢。
HCH_012_045_000635	仁化府東北。
HCH_012_045_000636	治水西村，後遷城口村。
HCH_012_045_000637	西北有吳竹嶺，吳溪水出焉，下流爲潼溪，入湞。
HCH_012_045_000638	東北有扶溪巡檢司。
HCH_012_045_000639	又北有恩村巡檢司。
HCH_012_045_000640	乳源府西。
HCH_012_045_000641	本治虞塘，洪武元年遷於洲頭津。
HCH_012_045_000642	西有臈嶺，五嶺之一。
HCH_012_045_000643	西北有武水，自湖廣宜章縣流入，有武陽巡檢司。
HCH_012_045_000644	翁源府東南。
HCH_012_045_000645	元屬英德州。
HCH_012_045_000646	洪武二年三月改屬。
HCH_012_045_000647	故城在西北，今治本長安鄉也，洪武初，遷於此。
HCH_012_045_000648	北有寶山。
HCH_012_045_000649	東有靈池山，滃溪出焉，即瀧頭水。
HCH_012_045_000650	東有桂丫山巡檢司，初治茶園鋪，後遷南浦。
HCH_012_045_000651	南雄府元南雄路，屬廣東道。
HCH_012_045_000652	洪武元年爲府。
HCH_012_045_000653	領縣二。
HCH_012_045_000654	西距布政司千九十里。
HCH_012_045_000655	保昌倚。
HCH_012_045_000656	大庾嶺在北，亦曰梅嶺，上有梅關，湞水所出。
HCH_012_045_000657	西北有凌江水，流合焉，南至番禺入海，謂之北江。
HCH_012_045_000658	又縣東有小庾嶺。
HCH_012_045_000659	西北有百順、東南有平田二巡檢司。
HCH_012_045_000660	又東北有紅梅巡檢司，舊治梅關下，後遷於此。
HCH_012_045_000661	始興府西。
HCH_012_045_000662	西有始興江，即湞水。
HCH_012_045_000663	南有清化徑巡檢司。
HCH_012_045_000664	又東北有黃塘巡檢司，本治瓔珞鋪，後遷黃塘江口，又遷黃田鋪。
HCH_012_045_000665	惠州府元惠州路，屬廣東道宣慰司。
HCH_012_045_000666	洪武元年爲府。
HCH_012_045_000667	領州一，縣十。
HCH_012_045_000668	西北距布政司三百六十里。
HCH_012_045_000669	歸善倚。
HCH_012_045_000670	南濱海。
HCH_012_045_000671	西江在西南。
HCH_012_045_000672	東有東江，自江西安遠縣流入府境，亦曰龍川江，西南至番禺縣，會西江入海。
HCH_012_045_000673	東南有平海守禦千戶所，洪武二十七年九月置。
HCH_012_045_000674	又有內外管理、又有碧甲二巡檢司。
HCH_012_045_000675	博羅府西北。
HCH_012_045_000676	西北有羅浮山。
HCH_012_045_000677	南有東江。
HCH_012_045_000678	西有石灣、又西北有善政裏二巡檢司。
HCH_012_045_000679	長寧府西。
HCH_012_045_000680	隆慶三年正月以歸善縣鴻雁洲置，析韶州府英德、翁源二縣地益之。
HCH_012_045_000681	萬曆元年徙治君子峯下。
HCH_012_045_000682	南有新豐江，下流入龍江。
HCH_012_045_000683	西有乍坪巡檢司。
HCH_012_045_000684	又北有黃峒巡檢司，後廢。
HCH_012_045_000685	永安府東北。
HCH_012_045_000686	隆慶三年正月以歸善縣安民鎮置，析長樂縣地益之。
HCH_012_045_000687	西有東江。
HCH_012_045_000688	西南有寬仁裏巡檢司，治苦竹派，後遷桃子園。
HCH_012_045_000689	又有馴雉裏巡檢司，治鳳凰岡，後遷縣東烏石屯。
HCH_012_045_000690	尋俱還故治。
HCH_012_045_000691	海豐府東。
HCH_012_045_000692	北有五坡嶺。
HCH_012_045_000693	南濱海，一名長沙海。
HCH_012_045_000694	又東南有碣石衛，東有甲子門守禦千戶所，俱洪武二十七年十月置。
HCH_012_045_000695	南有捷勝守禦千戶所，洪武二十八年二月置，初名捷徑，三月更名。
HCH_012_045_000696	有甲子門巡檢司。
HCH_012_045_000697	又西有鵝埠嶺巡檢司。
HCH_012_045_000698	又西南有長沙港巡檢司，後遷謝道。
HCH_012_045_000699	龍川府東北。
HCH_012_045_000700	元循州治此，直隸廣東道。
HCH_012_045_000701	洪武二年四月，州廢來屬。
HCH_012_045_000702	東有霍山。
HCH_012_045_000703	南有龍江，即東江上流，自江西安遠縣流入。
HCH_012_045_000704	東有通衢巡檢司，後遷老龍埠，尋還故治。
HCH_012_045_000705	東北有十一都巡檢司。
HCH_012_045_000706	長樂府東北。
HCH_012_045_000707	元屬循州。
HCH_012_045_000708	洪武四年四月來屬。
HCH_012_045_000709	舊治在紫金山北。
HCH_012_045_000710	洪武初，徙於今治。
HCH_012_045_000711	東南有興寧江。
HCH_012_045_000712	南有十二都巡檢司。
HCH_012_045_000713	又西有清溪巡檢司，後廢。
HCH_012_045_000714	興寧府東北。
HCH_012_045_000715	元屬循州。
HCH_012_045_000716	洪武二年四月來屬。
HCH_012_045_000717	南有興寧江，東入潮州府程鄉縣界。
HCH_012_045_000718	東南有水口巡檢司，治水口隘，後廢，復置於下岸，尋遷於上岸水東。
HCH_012_045_000719	又北有十三都巡檢司，後遷白水砦，尋復故。
HCH_012_045_000720	連平州本連平縣。
HCH_012_045_000721	崇禎六年以和平縣惠化都置，析長寧、河源二縣及韶州府翁源縣地益之。
HCH_012_045_000722	尋升爲州。
HCH_012_045_000723	西有銀梅水，源出楊梅坪，即湞水上源。
HCH_012_045_000724	南有長吉里、東南有忠信裏二巡檢司。
HCH_012_045_000725	東北距府百八十里。
HCH_012_045_000726	領縣二：河源州北。
HCH_012_045_000727	舊屬府，崇禎六年改屬州。
HCH_012_045_000728	故城在西南。
HCH_012_045_000729	洪武二年徙於壽春市。
HCH_012_045_000730	萬曆十年遷於今治。
HCH_012_045_000731	南有槎江，即龍川江，下流爲東江。
HCH_012_045_000732	又北有新豐江入焉。
HCH_012_045_000733	又東北有藍口巡檢司。
HCH_012_045_000734	和平州少北。
HCH_012_045_000735	正德十三年八月以龍川縣之和平司置，析河源縣地益之，屬府。
HCH_012_045_000736	崇禎六年改屬州。
HCH_012_045_000737	北有九連山。
HCH_012_045_000738	西北有浰頭山，三浰水出焉，亦名和平水，有浰頭巡檢司。
HCH_012_045_000739	潮州府元潮州路，屬廣東道宣慰司。
HCH_012_045_000740	洪武二年爲府。
HCH_012_045_000741	領縣十一。
HCH_012_045_000742	西距布政司千一百九十里。
HCH_012_045_000743	海陽倚。
HCH_012_045_000744	南濱海，有急水門。
HCH_012_045_000745	東有鱷溪，一名惡溪，亦名韓江，又名意溪，東入於海。
HCH_012_045_000746	西北有潘田巡檢司。
HCH_012_045_000747	又有楓洋巡檢司，尋遷縣南園頭村。
HCH_012_045_000748	潮陽府南。
HCH_012_045_000749	東南濱海。
HCH_012_045_000750	西南有練江。
HCH_012_045_000751	南有海門守禦千戶所，洪武二十七年置。
HCH_012_045_000752	東有招寧、西北有門闢、北有桑田三巡檢司。
HCH_012_045_000753	又有吉安巡檢司，治𣴛水都南山下，後遷貴嶼村。
HCH_012_045_000754	揭陽府西。
HCH_012_045_000755	西北有揭嶺。
HCH_012_045_000756	南有古溪。
HCH_012_045_000757	東南濱海。
HCH_012_045_000758	西有南寨巡檢司，本名湖口，治湖口村，後遷棉湖寨，更名。
HCH_012_045_000759	東有北寨巡檢司，本治縣西北岡頭山，後遷縣東北鳥石山南，尋還舊治，後又遷縣東桃山鋪前。
HCH_012_045_000760	程鄉府西北。
HCH_012_045_000761	元梅州治此，直隸廣東道。
HCH_012_045_000762	洪武二年四月，州廢來屬。
HCH_012_045_000763	南有梅溪，即興亭江之下流，一名惡溪，西北有程江合焉。
HCH_012_045_000764	西有太平鄉巡檢司，治梅塘堡，後遷縣西北石鎮村旁。
HCH_012_045_000765	東南有豐順鄉巡檢司，本在縣西北平遠縣界，後遷鬆口市。
HCH_012_045_000766	饒平府東北。
HCH_012_045_000767	成化十二年十月以海陽縣三饒地置，治下饒。
HCH_012_045_000768	東南濱海，海中有南澳山，有大成守禦千戶所，洪武二十七年置。
HCH_012_045_000769	南有黃岡、西有鳳凰山二巡檢司。
HCH_012_045_000770	又東南有柘林寨。
HCH_012_045_000771	惠來府西南。
HCH_012_045_000772	嘉靖三年十月以潮陽縣惠來都置，析惠州府海豐縣地益之。
HCH_012_045_000773	南濱海。
HCH_012_045_000774	西有三河，以大河、小河、清遠河三水交會而名，即韓江之上源。
HCH_012_045_000775	東南有靖海守禦千戶所，洪武二十七年置。
HCH_012_045_000776	南有神泉巡檢司，本名北山，治縣西北山村，後遷神泉村，更名。
HCH_012_045_000777	鎮平府北。
HCH_012_045_000778	本平遠縣石窟巡檢司，崇禎六年改爲縣，析程鄉縣地益之。
HCH_012_045_000779	西有石窟溪，下流入於程江。
HCH_012_045_000780	東有藍坊巡檢司，自石窟司遷治，更名。
HCH_012_045_000781	大埔府東。
HCH_012_045_000782	嘉靖五年以饒平縣大埔村置，析�洲，清遠二都地益之。
HCH_012_045_000783	南有神泉河，即福建汀州府之鄞江。
HCH_012_045_000784	又西有惡溪。
HCH_012_045_000785	東北有虎頭沙、西有三河鎮二巡檢司。
HCH_012_045_000786	又南有大產巡檢司，後遷黃沙。
HCH_012_045_000787	西南有烏槎巡檢司，後遷高陂。
HCH_012_045_000788	平遠府西北。
HCH_012_045_000789	嘉靖四十一年五月以程鄉縣豪居都之林子營置，析福建之武平、上杭，江西之安遠，惠州府之興寧四縣地益之，屬江西贛州府。
HCH_012_045_000790	四十二年正月還三縣割地，止以興寧程鄉地置縣，來屬。
HCH_012_045_000791	普寧府西南。
HCH_012_045_000792	嘉靖四十二年正月以潮陽縣𣴛水都置，析洋烏、黃坑二都地益之，寄治貴山都之貴嶼。
HCH_012_045_000793	萬曆十年移治黃坑，以洋烏、𣴛水二都還潮陽。
HCH_012_045_000794	西有冬瓜山，冬瓜水出焉，下流爲揭陽縣之古溪，與南、北二溪合，下流至澄海縣入於海。
HCH_012_045_000795	西南有云落徑巡檢司。
HCH_012_045_000796	澄海府東南。
HCH_012_045_000797	本海陽縣之闢望巡檢司。
HCH_012_045_000798	嘉靖四十二年正月改爲縣，析揭陽、饒平二縣地益之，而徙闢望巡檢司於縣北之南洋府，仍故名。
HCH_012_045_000799	南濱海，亦曰鳴洋海。
HCH_012_045_000800	西南有蓬州守禦千戶所，洪武二十六年四月置。
HCH_012_045_000801	又有駝浦巡檢司。
HCH_012_045_000802	高州府元高州路，屬海北海南道，治電白。
HCH_012_045_000803	洪武元年爲府。
HCH_012_045_000804	七年十一月降爲州。
HCH_012_045_000805	九年四月復爲府。
HCH_012_045_000806	後徙治茂名。
HCH_012_045_000807	領州一，縣五。
HCH_012_045_000808	東南距布政司一千里。
HCH_012_045_000809	茂名倚。
HCH_012_045_000810	洪武七年十一月省，十四年五月復置。
HCH_012_045_000811	南濱海。
HCH_012_045_000812	城西有竇江，源出信宜縣，東北流，鑑江入焉，西南流入化州界。
HCH_012_045_000813	南有赤水巡檢司。
HCH_012_045_000814	東南有平山巡檢司，治紅花堡，後遷縣東北之電白故縣。
HCH_012_045_000815	又西南有博茂巡檢司，後廢。
HCH_012_045_000816	電白府東。
HCH_012_045_000817	舊治在西北。
HCH_012_045_000818	今治本神電衛，洪武二十七年十月置。
HCH_012_045_000819	成化三年九月遷於此。
HCH_012_045_000820	東濱海。
HCH_012_045_000821	西北有立石巡檢司，後廢。
HCH_012_045_000822	信宜府北。
HCH_012_045_000823	南有竇江。
HCH_012_045_000824	東北有中道巡檢司，治在懷德鄉黃僚寨之左，廢，後復置於羅馬村，尋又遷於三橋。
HCH_012_045_000825	化州元化州路，屬海北海南道。
HCH_012_045_000826	洪武元年爲府。
HCH_012_045_000827	七年十一月降爲州，以州治石龍縣省入。
HCH_012_045_000828	九年四月又降爲縣，來屬。
HCH_012_045_000829	十四年五月復爲州。
HCH_012_045_000830	北有石城山，又有來安山。
HCH_012_045_000831	東北有茂名水，竇江之下流。
HCH_012_045_000832	又有陵水、羅水，俱自廣西北流縣流入，與茂名水合，至吳川縣爲吳川水，南入於海。
HCH_012_045_000833	北有樑家沙巡檢司。
HCH_012_045_000834	東南距府九十里。
HCH_012_045_000835	領縣二：吳川州南。
HCH_012_045_000836	元屬化州路。
HCH_012_045_000837	洪武九年四月屬高州府。
HCH_012_045_000838	十四年五月改屬州。
HCH_012_045_000839	南濱海，中有碙洲。
HCH_012_045_000840	有碙洲巡檢司，在洲南濱海，後遷洲上。
HCH_012_045_000841	東南有寧川守禦千戶所，洪武二十七年四月置。
HCH_012_045_000842	又北有寧村巡檢司，治川𣽸，後遷縣西北之地聚村，又遷於芷𦫼口。
HCH_012_045_000843	石城州西。
HCH_012_045_000844	元屬化州路。
HCH_012_045_000845	洪武九年四月屬高州府。
HCH_012_045_000846	十四年五月改屬州。
HCH_012_045_000847	南濱海。
HCH_012_045_000848	西有零緣巡檢司。
HCH_012_045_000849	雷州府元雷州路，屬海北海南道宣慰司。
HCH_012_045_000850	洪武元年爲府。
HCH_012_045_000851	領縣三。
HCH_012_045_000852	東距布政司千四百五十里。
HCH_012_045_000853	海康倚。
HCH_012_045_000854	東濱海。
HCH_012_045_000855	南有擎雷水，自擎雷山南流，東入於海。
HCH_012_045_000856	西有海康守禦千戶所，洪武二十七年十月置。
HCH_012_045_000857	西南有清道、東南有黑石二巡檢司。
HCH_012_045_000858	遂溪府北。
HCH_012_045_000859	東西濱海。
HCH_012_045_000860	西南有樂民守禦千戶所，洪武二十七年十月置。
HCH_012_045_000861	西北有湛川巡檢司，治故湛川縣，後遷縣東南故鐵杷縣。
HCH_012_045_000862	又西南有潿洲巡檢司，治海島中博裏村，後遷蠶村。
HCH_012_045_000863	徐聞府南。
HCH_012_045_000864	東西南三面濱海。
HCH_012_045_000865	西有海安守禦千戶所，東有錦囊守禦千戶所，俱洪武二十七年十月置。
HCH_012_045_000866	西南有東場、東有寧海二巡檢司。
HCH_012_045_000867	又西北有遇賢巡檢司，廢。
HCH_012_045_000868	廉州府元廉州路，屬海北海南道宣慰司。
HCH_012_045_000869	洪武元年爲府。
HCH_012_045_000870	七年十一月降爲州。
HCH_012_045_000871	九年四月屬雷州府。
HCH_012_045_000872	十四年五月復爲府。
HCH_012_045_000873	領州一，縣二。
HCH_012_045_000874	東距布政司千二百十里。
HCH_012_045_000875	合浦倚。
HCH_012_045_000876	洪武七年十一月省，十四年五月復置。
HCH_012_045_000877	東有大廉山，州以此名。
HCH_012_045_000878	東南濱海，亦曰珠母海，以海中有珠池也。
HCH_012_045_000879	又城北有廉江，亦曰合浦江，自廣西容縣流入，逕州，江口分爲五，西南注於海。
HCH_012_045_000880	又北有石康縣，成化八年省。
HCH_012_045_000881	東有永安守禦千戶所，洪武二十七年置。
HCH_012_045_000882	東南有珠場、東北有永平二巡檢司。
HCH_012_045_000883	又北有高仰巡檢司，治馬欄墟，後遷於縣西南。
HCH_012_045_000884	欽州元欽州路，屬海北海南道。
HCH_012_045_000885	洪武二年爲府。
HCH_012_045_000886	七年十一月降爲州，以州治安遠縣省入。
HCH_012_045_000887	九年四月降爲縣，來屬。
HCH_012_045_000888	十四年五月復爲州。
HCH_012_045_000889	西南濱海，中有烏雷山，入安南之要道也。
HCH_012_045_000890	又有分茅嶺，亦與安南分界。
HCH_012_045_000891	龍門江在城東，又東有欽江，俱入於海。
HCH_012_045_000892	南有淞海、西南有長墩、西北有管界三巡檢司。
HCH_012_045_000893	又西有如昔、又有佛淘二巡檢司，與交址接界，宣德二年入於安南，嘉靖二十一年復。
HCH_012_045_000894	又西南有千金鎮。
HCH_012_045_000895	東距府百四十里。
HCH_012_045_000896	領縣一：靈山州北。
HCH_012_045_000897	元屬欽州。
HCH_012_045_000898	洪武九年四月屬廉州。
HCH_012_045_000899	十四年五月仍屬欽州。
HCH_012_045_000900	北有洪崖山，洪崖江出焉，經縣東，與羅陽山水合，爲南岸江，南流爲欽江。
HCH_012_045_000901	又南有林墟、西有西鄉二巡檢司。
HCH_012_045_000902	瓊州府元乾寧軍民安撫司。
HCH_012_045_000903	元統二年十月改爲乾寧安撫司，屬海北海南道宣慰司。
HCH_012_045_000904	洪武元年十月改爲瓊州府。
HCH_012_045_000905	二年降爲州。
HCH_012_045_000906	三年仍升爲府。
HCH_012_045_000907	領州三，縣十。
HCH_012_045_000908	東北距布政司千七百五十里。
HCH_012_045_000909	瓊山倚。
HCH_012_045_000910	南有瓊山。
HCH_012_045_000911	北濱海，有神應港，亦曰海口渡，有海口守禦千戶所，洪武二十年十月置。
HCH_012_045_000912	又西南有水蕉村，萬曆二十八年置水會守禦千戶所於此。
HCH_012_045_000913	南有石山。
HCH_012_045_000914	又有清瀾巡檢司，廢。
HCH_012_045_000915	澄邁府西。
HCH_012_045_000916	北濱海。
HCH_012_045_000917	南有黎母江。
HCH_012_045_000918	東有澄江。
HCH_012_045_000919	西北有澄邁巡檢司，治石𱵄都。
HCH_012_045_000920	南有兔穎巡檢司，治曾家東都，後遷南黎都，廢。
HCH_012_045_000921	西南有銅鼓巡檢司，治新安都，後遷西黎都，廢。
