HCH_012_289_000001	從古忠臣義士，為國捐生，節炳一時，名垂百世，歷代以來，備極表章，尚已。
HCH_012_289_000382	百戶張欽不從逆，走至雷福堡，亦被殺。
HCH_012_289_000383	皆贈官予蔭，表忠、睿曰忠烈之門，欽曰忠節之門。
HCH_012_289_000384	吳景，南陵人。
HCH_012_289_000385	弘治九年進士。
HCH_012_289_000386	正德中，歷官四川僉事，守江津。
HCH_012_289_000387	重慶人曹弼亡命播州，糾眾寇川南，謀與大盜藍廷瑞合。
HCH_012_289_000388	六年正月逼江津。
HCH_012_289_000389	御史俞緇遁去，屬景及都指揮龐鳳禦之。
HCH_012_289_000390	鳳邀景俱走，景不可，率典史張俊迎擊，手殺三賊，矢被面。
HCH_012_289_000391	急收兵入保，城已陷，大呼曰：「寧殺我，毋殺士民！」
HCH_012_289_000392	賊強之跪，不屈，遂被殺，俊亦死。
HCH_012_289_000393	巡撫林俊上其事，詔贈景副使，賜祭葬，立祠江津，予世蔭。
HCH_012_289_000394	是月，僉事王源行部川北，會藍廷瑞、鄢本恕等掠通、巴至營山，源率典史鄧俊禦之，皆被殺。
HCH_012_289_000395	贈源副使，蔭其子。
HCH_012_289_000396	源，五臺人，弘治十二年進士。
HCH_012_289_000397	明年正月，賊麻六兒將逼川東。
HCH_012_289_000398	副使馮傑追擊於蒼溪，俘斬頗眾。
HCH_012_289_000399	日晡，移營鐵山關，賊乘夜沖突，傑死之。
HCH_012_289_000400	贈按察使，賜祭葬，謚恪湣，世蔭百戶。
HCH_012_289_000401	是時，略陽知縣孫璽、劍州判官羅明、梁山主簿時植亦皆死於賊。
HCH_012_289_000402	璽，字廷信，代州人。
HCH_012_289_000403	舉於鄉，知扶風縣。
HCH_012_289_000404	都御史藍章以略陽漢中要地，舊無城，檄璽往城之。
HCH_012_289_000405	工未畢，賊至，縣令嚴順欲去，璽拔刀斫坐幾曰：「欲去者視此！」
HCH_012_289_000406	乃率僚屬堅守，數日城陷，璽被執，大罵不屈，賊臠殺之。
HCH_012_289_000407	順逃去，誣璽俱逃，滋於江，以他人屍斂。
HCH_012_289_000408	璽子啟視，非是，訟於朝。
HCH_012_289_000409	勘得死節狀，贈光祿少卿，賜祭予蔭，抵順罪。
HCH_012_289_000410	明，以吏起家。
HCH_012_289_000411	鄢本恕逼其城，與子介拒守。
HCH_012_289_000412	城陷，父子皆罵賊死。
HCH_012_289_000413	植，字良材，通許人。
HCH_012_289_000414	由國子生授官，時攝縣事。
HCH_012_289_000415	賊方四等略地，植拒卻之，斬獲數十級。
HCH_012_289_000416	逾月復至，相拒數日，城陷，說之降，不屈。
HCH_012_289_000417	脅取其印，不予，大罵被殺。
HCH_012_289_000418	妻賈聞變即自縊，女九歲，赴火死。
HCH_012_289_000419	明、植皆贈恤如制，而表植妻女為貞烈。
HCH_012_289_000420	其時，士民冒死殺賊者，有趙趣、徐敬之、雷應通、袁璋之屬。
HCH_012_289_000421	趣，梁山諸生。
HCH_012_289_000422	賊攻城，同友人黃甲、李鳳、何璟、蕭銳、徐宣、楊茂寬、趙采誓死拒守。
HCH_012_289_000423	城陷，皆死。
HCH_012_289_000424	都物史林俊嘉其義，立祠祀之。
HCH_012_289_000425	敬之，亦梁山人。
HCH_012_289_000426	眾推為部長，以拒賊陷陣死。
HCH_012_289_000427	應通，嘉州人。
HCH_012_289_000428	賊沖百丈關，父子七人倡義死戰。
HCH_012_289_000429	被執，俱慷慨就殺。
HCH_012_289_000430	璋，江南人。
HCH_012_289_000431	素以勇俠聞。
HCH_012_289_000432	巡撫林俊委剿賊所在有功。
HCH_012_289_000433	後為所執，其子襲挺身救之，連殺七賊，亦被執，俱死。
HCH_012_289_000434	襲死三日，兩目猶瞠視其父。
HCH_012_289_000435	林俊表其門曰父子忠節。
HCH_012_289_000436	總制彭澤為勒石城隍廟，祀於忠孝祠。
HCH_012_289_000437	霍恩，字天錫，易州人。
HCH_012_289_000438	弘治十五年進士。
HCH_012_289_000439	正德中，歷知上蔡縣。
HCH_012_289_000440	六年，賊四起，中原郡邑多殘破。
HCH_012_289_000441	畿內則棗強知縣段豸、大城知縣張汝舟，河南則恩及典史梁逵，西平知縣王佐、主簿李銓，葉縣知縣唐天恩，永城知縣王鼎，裕州同知郁采、都指揮詹濟、鄉官任賢，固始丞曾基，夏邑丞安宣，息縣主簿刑祥，睢寧主簿金聲、丘紳，西華教諭孔環，山東則萊蕪知縣熊驂，萊州衛指揮僉事蔡顯，南畿則靈譬主簿蔣賢，皆抗節死，而恩、佐、采、環死尤烈。
HCH_012_289_000442	恩與梁逵共守，當賊至時，語妻劉曰：「脫有急，汝若何？」
HCH_012_289_000443	劉願同死，乃築臺廨後，約曰：「見我下城，即賊入矣。」
HCH_012_289_000444	及城陷，恩拔刀下城，劉臺上見之，即縊，未絕，以簪刺心死。
HCH_012_289_000445	恩被執，賊脅之跪。
HCH_012_289_000446	罵曰：「吾此膝肯為賊屈乎！」
HCH_012_289_000447	賊日殺人以懾之，罵益厲。
HCH_012_289_000448	賊以刀抉其口，支解之。
HCH_012_289_000449	逵自經死。
HCH_012_289_000450	豸，字世高，澤洲人。
HCH_012_289_000451	起家進士。
HCH_012_289_000452	正德中，授兵科都給事中，謫棗強令。
HCH_012_289_000453	賊至，連戰卻之。
HCH_012_289_000454	及城陷，中四矢一槍，瞋目大呼，殺賊而死，賊屠其城。
HCH_012_289_000455	汝舟官大城時，與主簿李銓迎戰，皆被殺。
HCH_012_289_000456	佐，字汝弼。
HCH_012_289_000457	潞州舉人，授西平令。
HCH_012_289_000458	手殺賊數十人，矢斃其渠帥。
HCH_012_289_000459	賊忿，急攻三日，佐力屈被執，罵不絕口。
HCH_012_289_000460	賊懸諸竿，殺而支解之。
HCH_012_289_000461	天恩知葉縣，賊至，與父政等七人俱死。
HCH_012_289_000462	鼎知永城，城陷，系印於肘，端坐待賊，不屈死。
HCH_012_289_000463	采，字亮之，浙江山陰人，進士。
HCH_012_289_000464	由主事謫教諭，遷裕州同知。
HCH_012_289_000465	與濟、賢共堅守，斬獲多，城陷被執。
HCH_012_289_000466	采罵不輟，賊碎其輔頰而死。
HCH_012_289_000467	濟亦不屈死。
HCH_012_289_000468	賢嘗為御史，方里居，招邑子三千人拒守，罵賊死，一家死者十三人。
HCH_012_289_000469	基為固始丞，被執，使馭馬不從，被害。
HCH_012_289_000470	宣，初授夏邑丞。
HCH_012_289_000471	賊楊虎逼其境，或勸毋往，宣兼程進。
HCH_012_289_000472	抵任七日，賊大至，拒守有功。
HCH_012_289_000473	城陷，死之。
HCH_012_289_000474	祥已致仕，城陷，罵賊死。
HCH_012_289_000475	聲、紳與義士朱用之迎戰死。
HCH_012_289_000476	環，南宮人。
HCH_012_289_000477	由歲貢生授來安知縣，為劉瑾黨所陷，左遷西華教諭。
HCH_012_289_000478	被執，賊曰：「呼我王，即釋汝。」
HCH_012_289_000479	厲聲曰：「我恨不得碎汝萬段，肯媚汝求活耶！」
HCH_012_289_000480	遂被殺。
HCH_012_289_000481	驂為賊所執，與主簿韓塘俱不屈死。
HCH_012_289_000482	顯與三子湛、英、順俱禦盜力戰死。
HCH_012_289_000483	諸人死節事聞，皆贈官賜祭予蔭立祠如制。
HCH_012_289_000484	恩妻劉贈宜人，建忠節坊旌之。
HCH_012_289_000485	天恩、鼎、基、宣、祥諸人，裏貫無考。
HCH_012_289_000486	時有鄭寶，為郁林州同知，署北流縣事。
HCH_012_289_000487	妖賊李通寶犯北流，寶與子宗珪出戰，皆死。
HCH_012_289_000488	王振者，為福建黃崎鎮巡檢。
HCH_012_289_000489	海寇大至，率三子臣、朝、實迎戰競日。
HCH_012_289_000490	伏兵起，振被殺，屍僵立。
HCH_012_289_000491	三子救之，臣重傷，朝、實皆死。
HCH_012_289_000492	亦予恤有差。
HCH_012_289_000493	孫燧，字德成，余姚人。
HCH_012_289_000494	弘治六年進士。
HCH_012_289_000495	歷刑部主事，再遷郎中。
HCH_012_289_000496	正德中，歷河南右布政使。
HCH_012_289_000497	寧王宸濠有逆謀，結中官幸臣，日夜诇中朝事，幸有變。
HCH_012_289_000498	又劫持群吏，厚餌之，使為己用。
HCH_012_289_000499	惡巡撫王哲不附己，毒之，得疾，逾年死。
HCH_012_289_000500	董傑代哲，僅八月亦死。
HCH_012_289_000501	自是，官其地者惴惴，以得去為幸。
HCH_012_289_000502	代傑者任漢、俞諫，皆歲餘罷歸。
HCH_012_289_000503	燧以才節著治聲，廷臣推之代。
HCH_012_289_000504	十年十月擢右副都御史，巡撫江西。
HCH_012_289_000505	燧聞命嘆曰：「是當死生以之矣。」
HCH_012_289_000506	遣妻子還鄉，獨攜二僮以行。
HCH_012_289_000507	時宸濠逆狀已大露，南昌人洶洶，謂宸濠旦暮得天子。
HCH_012_289_000508	燧左右悉宸濠耳目，燧防察密，左右不得窺，獨時時為宸濠陳說大義，卒不悛。
HCH_012_289_000509	陰察副使許逵忠勇，可屬大事，與之謀。
HCH_012_289_000510	先是，副使胡世寧暴宸濠逆謀，中官幸臣為之地，世寧得罪去。
HCH_012_289_000511	燧念訟言於朝無益，乃托禦他寇預為備。
HCH_012_289_000512	先城進賢，次城南康、瑞州。
HCH_012_289_000513	患建昌縣多盜，割其地，別置安義縣，以漸弭之。
HCH_012_289_000514	而請復饒、撫二州兵備，不得復，則請敕湖東分巡兼理之。
HCH_012_289_000515	九江當湖沖，最要害，請重兵備道權，兼攝南康、寧州、武寧、瑞昌及湖廣興國、通城，以便控制。
HCH_012_289_000516	廣信橫峰、青山諸窯，地險人悍，則請設通判駐弋陽，兼督旁五縣兵。
HCH_012_289_000517	又恐宸濠劫兵器，假討賊，盡出之他所。
HCH_012_289_000518	宸濠間燧圖己，使人賂朝中幸臣去燧，而遣燧棗梨姜芥以示意，燧笑卻之。
HCH_012_289_000519	逵勸燧先發後聞，燧曰：「奈何予賊以名，且需之。」
HCH_012_289_000520	十三年，江西大水，宸濠素所蓄賊淩十一、吳十三、閔念四等出沒鄱陽湖，燧與逵謀捕之。
HCH_012_289_000521	三賊遁沙井，燧自江外掩捕，夜大風雨，不克濟。
HCH_012_289_000522	三賊走匿宸濠祖墓間，於是密疏白其狀，且言宸濠必反。
HCH_012_289_000523	章七上，輒為宸濠遮獄，不得達。
HCH_012_289_000524	宸濠恚甚，因宴毒燧，不死。
HCH_012_289_000525	燧乞致仕，又不許，憂懼甚。
HCH_012_289_000526	明年，宸濠脅鎮巡官奏其孝行，燧與巡按御史林潮冀藉是少緩其謀，乃共奏於朝。
HCH_012_289_000527	朝議方降旨責燧等，會御史蕭淮盡發宸濠不軌狀，詔重臣宣諭，宸濠聞，遂決計反。
HCH_012_289_000528	六月乙亥，宸濠生日，宴鎮巡三司。
HCH_012_289_000529	明日，燧及諸大吏入謝，宸濠伏兵左右，大言曰：「孝宗為李廣所誤，抱民間子，我祖宗不血食者十四年。今太后有詔，令我起兵討賊，亦知之乎？」
HCH_012_289_000530	眾相顧愕眙，燧直前曰：「安得此言！請出詔示我。」
HCH_012_289_000531	宸濠曰：「毋多言，我往南京，汝當扈駕。」
HCH_012_289_000532	燧大怒曰：「汝速死耳。天無二日，吾豈從汝為逆哉！」
HCH_012_289_000533	宸濠怒叱燧，燧益怒，急起，不得出。
HCH_012_289_000534	宸濠入內殿，易戎服出，麾兵縛燧。
HCH_012_289_000535	逵奮曰：「汝曹安得辱天子大臣！」
HCH_012_289_000536	因以身翼蔽燧，賊並縛逵。
HCH_012_289_000537	二人且縛且罵，不絕口，賊擊燧，折左臂，與逵同曳出。
HCH_012_289_000538	逵謂燧曰：「我勸公先發者，知有今日故也。」
HCH_012_289_000539	燧、逵同遇害惠民門外。
HCH_012_289_000540	巡按御史王金、布政使梁宸以下，鹹稽首呼萬歲。
HCH_012_289_000541	宸濠遂發兵，偽署三賊為將軍，首遣婁伯徇進賢，為知縣劉源清所斬。
HCH_012_289_000542	招窯賊，賊畏守吏，不敢發。
HCH_012_289_000543	大索兵器於城中，不得，賊多持白梃。
HCH_012_289_000544	伍文定起義兵，設兩人木主於文天祥祠，率吏民哭之。
HCH_012_289_000545	南贛巡撫王守仁與共平賊。
HCH_012_289_000546	諸逋賊走安義，皆見獲，無脫者。
HCH_012_289_000547	人於是益思燧功。
HCH_012_289_000548	燧生有異質，兩目爍爍，夜有光。
HCH_012_289_000549	死之日，天忽陰慘，烈風驟起凡數日，城中民大恐。
HCH_012_289_000550	走收兩人屍，屍未變，黑雲蔽之，蠅蚋無近者。
HCH_012_289_000551	明年，守臣上其事於朝，未報。
HCH_012_289_000552	世宗即位，贈禮部尚書，謚忠烈，與逵並祀南昌，賜祠名旌忠，各蔭一子。
HCH_012_289_000553	燧子堪聞父訃，率兩弟墀、升赴之，會宸濠已擒，扶柩歸。
HCH_012_289_000554	兄弟廬墓蔬食三年，有芝一莖九葩者數本產墓上。
HCH_012_289_000555	服除，以父死難，更墨衰三年，世稱三孝子。
HCH_012_289_000556	堪，字誌健。
HCH_012_289_000557	為諸生，能文，善騎射。
HCH_012_289_000558	既蔭錦衣，中武會試第一，擢署指揮同知。
HCH_012_289_000559	善用強弩，教弩卒數千人以備邊。
HCH_012_289_000560	歷都督僉事。
HCH_012_289_000561	事母楊至孝，母年九十餘，歿京師。
HCH_012_289_000562	堪年亦七十，護喪歸，在道，以毀卒。
HCH_012_289_000563	巡按御史趙炳然上堪孝行，得旌。
HCH_012_289_000564	堪子鈺，亦舉武會試，官都督同知。
HCH_012_289_000565	鈺子如津，都督僉事。
HCH_012_289_000566	墀，字仲泉，以選貢生歷官尚寶卿。
HCH_012_289_000567	升，官尚書。
HCH_012_289_000568	墀孫如遊，大學士。
HCH_012_289_000569	如遊孫嘉績，僉事。
HCH_012_289_000570	升子，鑨、鑛皆尚書，鋌侍郎，錝太僕卿。
HCH_012_289_000571	鑨子，如法主事，如洵參政。
HCH_012_289_000572	並以文章行誼世其家。
HCH_012_289_000573	升、鑨、鑛、如遊、如法、嘉績，事皆別見。
HCH_012_289_000574	許逵，字汝登，固始人。
HCH_012_289_000575	正德三年進士。
HCH_012_289_000576	長身巨口，猿臂燕頷，沈靜有謀略。
HCH_012_289_000577	授樂陵知縣。
HCH_012_289_000578	六年春，流賊劉七等屠城邑，殺長吏。
HCH_012_289_000579	諸州縣率閉城守，或棄城遁，或遺之芻，粟弓馬乞賊毋攻。
HCH_012_289_000580	逵之官，慨然為戰守計。
HCH_012_289_000581	縣初無城，督民版築，不逾月，城成。
HCH_012_289_000582	令民屋外築墻，墻高過檐，啟圭竇，才容人。
HCH_012_289_000583	家選一壯者執刃伺竇內，餘皆入隊伍，日視旗為號，違者軍法從事。
HCH_012_289_000584	又募死士伏巷中，洞開城門。
HCH_012_289_000585	賊果至，旗舉伏發，竇中人皆出，賊大驚竄，斬獲無遺。
HCH_012_289_000586	後數犯，數卻之，遂相戒不敢近。
HCH_012_289_000587	事聞，進秩二等。
HCH_012_289_000588	時知縣能抗賊者，益都則牛鸞，郯城則唐龍，汶上則左經，浚則陳滯，亦所當賊少。
HCH_012_289_000589	而逵屢禦大賊有功，遂與鸞俱超擢兵備僉事。
HCH_012_289_000590	逵駐武定州，州城圮濠平，不能限牛馬。
HCH_012_289_000591	逵築城鑿池，設樓櫓，置巡卒。
HCH_012_289_000592	明年五月，賊楊寡婦以千騎犯濰縣，指揮喬剛禦之，賊少卻。
HCH_012_289_000593	逵追敗之高苑，令指揮張勛邀之滄州，先後俘斬二百七十餘餘人。
HCH_012_289_000594	未幾，賊別部掠德平，逵盡殲之，鹹名大著。
HCH_012_289_000595	十二年遷江西副使。
HCH_012_289_000596	時宸濠黨暴橫，逵以法痛繩之。
HCH_012_289_000597	嘗言於孫燧曰：「寧王敢為暴者，恃權臣也。權臣左右之者，貪重賄也。重賄由於盜藪，今惟翦盜則賄息，賄息則黨孤。」
HCH_012_289_000598	燧深然之，每事輒與密議。
HCH_012_289_000599	及宸濠縛燧，逵爭之。
HCH_012_289_000600	宸濠素忌逵，問許副使何言，逵曰：「副使惟赤心耳。」
HCH_012_289_000601	宸濠怒曰：「我不能殺汝邪？」
HCH_012_289_000602	逵罵曰：「汝能殺我，天子能殺汝。汝反賊，萬段磔汝，汝悔何及！」
HCH_012_289_000603	宸濠大怒，並縛之，曳出斫其頸，屹不動。
HCH_012_289_000604	賊眾共推抑令跪，卒不能，遂死，年三十六。
HCH_012_289_000605	初，逵以文天祥集貽其友給事中張漢卿而無書。
HCH_012_289_000606	漢卿語人曰：「寧邸必反，汝登其為文山乎？」
HCH_012_289_000607	逵父家居，聞江西有變，殺都御史及副使，即為位，易服哭。
HCH_012_289_000608	人怪問故。
HCH_012_289_000609	父曰：「副使，必吾兒也。」
HCH_012_289_000610	世宗即位，贈左副都御史，謚忠節，蔭一子。
HCH_012_289_000611	又錄山東平賊功，復蔭一子。
HCH_012_289_000612	嘉靖元年詔逵死事尤烈，改贈逵禮部尚書，進蔭指揮僉事。
HCH_012_289_000613	長子玚，好學有器識。
HCH_012_289_000614	既葬父，日夜號泣，六年而後就蔭。
HCH_012_289_000615	人或趣之，玚曰：「吾父死，玚乃因得官。」
HCH_012_289_000616	痛哭不能仰視。
HCH_012_289_000617	玚子䢿，事親孝。
HCH_012_289_000618	隆慶中舉於鄉，數試禮部不第。
HCH_012_289_000619	有試官與玚婚姻，慕䢿才，欲收羅之。
HCH_012_289_000620	䢿曰：「若此，何以見先忠節地下？」
HCH_012_289_000621	許氏子孫不如孫氏貴顯，亦能傳其家。
HCH_012_289_000622	黃宏，字德裕，鄞人。
HCH_012_289_000623	弘治十五年進士。
HCH_012_289_000624	知萬安縣。
HCH_012_289_000625	民好訟，訟輒禱於神，宏毀其祠曰：「令在，何禱也。」
HCH_012_289_000626	訟者至，輒片言折之。
HCH_012_289_000627	累遷江西左參議，按湖西、嶺北二道。
HCH_012_289_000628	王守仁討橫水、桶岡賊，宏主餉有功。
HCH_012_289_000629	賊閔念四既降，復恃宸濠勢，剽九江上下。
HCH_012_289_000630	宏發兵捕之，走匿宸濠祖墓中，盡得其輜重以歸。
HCH_012_289_000631	宸濠逆節益露，士大夫以為憂，宏正色曰：「國家不幸有此，我輩守士，死而已。」
HCH_012_289_000632	有持大義不從宸濠黨者，宏每陰左右之。
HCH_012_289_000633	宸濠反，宏被執，憤怒，以手梏向柱擊項，是夕卒，賊義而棺斂之。
HCH_012_289_000634	子紹文奔赴，求得其棺，以偽命治斂，非父誌，亟易之，扶歸。
HCH_012_289_000635	時主事馬思聰亦抗節死。
HCH_012_289_000636	思聰，字懋聞，莆田人。
HCH_012_289_000637	弘治末舉進士，為象山知縣，復二十六渠，溉田萬頃。
HCH_012_289_000638	累遷南京戶部主事，督糧江西，駐安仁。
HCH_012_289_000639	值宸濠反，被執繫獄，不屈，絕食六日死。
HCH_012_289_000640	世宗立，贈宏太常少卿，思聰光祿少卿，並配享旌忠祠。
HCH_012_289_000641	時有謂宏、思聰死節非真者。
HCH_012_289_000642	給事中毛玉勘江西逆黨，復請表章宏、思聰及承奉周儀，而宏子紹武訴於朝。
HCH_012_289_000643	巡按御史穆相列上二人死節狀甚悉，遂無異議。
HCH_012_289_000644	宋以方，字義卿，靖州人。
HCH_012_289_000645	弘治十八年進士。
HCH_012_289_000646	歷戶部郎中。
HCH_012_289_000647	正德十年遷瑞州知府。
HCH_012_289_000648	時華林大盜甫平，瘡痍未復，以方悉心撫字，吏民愛之。
HCH_012_289_000649	宸濠逆謀萌，而瑞故無城郭，以方築城繕守具，募兵三千，日夕訓練。
HCH_012_289_000650	宸濠深忌之，有征索又不應，遂迫鎮守劾系南昌獄。
HCH_012_289_000651	明日，宸濠反，出以方，脅之降，不可，械舟中。
HCH_012_289_000652	至安慶，兵敗，問地何名，舟子雲「黃石磯」，江西人音，則「王失機」也。
HCH_012_289_000653	宸濠以為不祥，斬以方祭江。
HCH_012_289_000654	後賊平，其子崇學求遺骸不得，斂衣冠歸葬。
HCH_012_289_000655	嘉靖六年，巡撫陳洪謨上其事，詔贈光祿卿，蔭一子，立祠瑞州。
HCH_012_289_000656	方宸濠之謀為變也，江西士民受害者不可勝紀。
HCH_012_289_000657	初遣閹校四出，籍民田廬，收縛豪強不附者。
HCH_012_289_000658	有萬木、鄭山，俱新建人，集鄉人結砦自固。
HCH_012_289_000659	賊黨謝重一馳入村，二人執之，積葦張睢陽廟前，縛人馬，生焚之，濠黨不敢犯。
HCH_012_289_000660	二人飲江上，為盜淩十一所逼，趣見宸濠，烙而椎之，皆罵賊死。
HCH_012_289_000661	趙楠，南昌諸生。
HCH_012_289_000662	兄模，嘗捐粟佐振。
HCH_012_289_000663	宸濠捕模索金，楠代往，脅之，不屈，被掠死。
HCH_012_289_000664	同邑辜增見迫，抗節不從，一家百口皆死。
HCH_012_289_000665	諸生劉世倫、儒士陳經官、義士李廣源，皆被掠，不屈死。
HCH_012_289_000666	葉景恩者，以俠聞，族居吳城。
HCH_012_289_000667	宸濠將作難，捕景恩，脅降之，不從，死獄中。
HCH_012_289_000668	宸濠兵過吳城，景恩弟景允以三百人邀擊賊。
HCH_012_289_000669	賊分兵焚劫景允家，其族景集、景修等四十九人皆死。
HCH_012_289_000670	又有閻順者，為寧府典寶副。
HCH_012_289_000671	宸濠將反，順與典膳正陳宣、內使劉良微言不可，為典寶正塗欽所譖，三人懼誅，潛詣京師上變。
HCH_012_289_000672	群小庇宸濠，下之獄，搒掠備至。
HCH_012_289_000673	宸濠聞三人赴都，慮事泄，誣奏其罪，且嗾群小必殺之，會已遣戍孝陵，乃免。
HCH_012_289_000674	世宗立，復官。
