HCH_009_001_000001	金之先，出靺鞨氏。
HCH_009_001_000358	對曰：「與後人偕來。」
HCH_009_001_000359	海里不信。
HCH_009_001_000360	是時，遼追海里兵數千人，攻之不能克。
HCH_009_001_000361	穆宗謂遼將曰：「退爾軍，我當獨取海里。」
HCH_009_001_000362	遼將許之。
HCH_009_001_000363	太祖策馬突戰。
HCH_009_001_000364	流矢中海里首，海里墮馬下，執而殺之，大破其軍。
HCH_009_001_000365	使阿离合懣獻馘于遼。
HCH_009_001_000366	金人自此知遼兵之易與也。
HCH_009_001_000367	是役也，康宗最先登，於是以先登并有功者為前行，次以諸軍護俘獲歸所部。
HCH_009_001_000368	穆宗朝遼主于漁所，大被嘉賞，授以使相，錫予加等。
HCH_009_001_000369	十年癸未，二月，穆宗還。
HCH_009_001_000370	遼使使授從破海里者官賞。
HCH_009_001_000371	高麗始來通好。
HCH_009_001_000372	十月二十九日，穆宗卒，年五十有一。
HCH_009_001_000373	初，諸部各有信牌，穆宗用太祖議，擅置牌號者置于法，自是號令乃一，民聽不疑矣。
HCH_009_001_000374	自景祖以來，兩世四主，志業相因，卒定離析，一切治以本部法令，東南至于乙离骨、曷懶、耶懶、土骨論，東北至于五國、主隈、禿答，金蓋盛于此。
HCH_009_001_000375	天會十五年，追諡孝平皇帝，廟號穆宗。
HCH_009_001_000376	皇統四年，號其藏曰獻陵。
HCH_009_001_000377	五年，增諡章順孝平皇帝。
HCH_009_001_000378	兄子康宗，諱烏雅束，字毛路完，世祖長子也。
HCH_009_001_000379	遼清寧七年辛丑歲生。
HCH_009_001_000380	乾統三年癸未，襲節度使，年四十三。
HCH_009_001_000381	穆宗末年，阿疏使達紀誘扇邊民，曷懶甸人執送之。
HCH_009_001_000382	穆宗使石適歡撫納曷懶甸，未行，穆宗卒，至是遣焉。
HCH_009_001_000383	先是，高麗通好，既而頗有隙，高麗使來請議事，使者至高麗，拒而不納。
HCH_009_001_000384	五水之民附于高麗，執團練使十四人，語在高麗傳中。
HCH_009_001_000385	二年甲申，高麗再來伐，石適歡再破之。
HCH_009_001_000386	高麗復請和，前所執團練十四人皆遣歸，石適歡撫定邊民而還。
HCH_009_001_000387	蘇濱水民不聽命，使斡帶等至活羅海川，召諸官僚告諭之。
HCH_009_001_000388	含國部蘇濱水居斡豁勃菫不至。
HCH_009_001_000389	斡准部、職德部既至，復亡去。
HCH_009_001_000390	塢塔遇二部於馬紀嶺，執之而來，遂伐斡豁，克之。
HCH_009_001_000391	斡帶進至北琴海，攻拔泓忒城，乃還。
HCH_009_001_000392	四年丙戌，高麗遣黑歡方石來賀襲位，遣盃魯報之。
HCH_009_001_000393	高麗約還諸亡在彼者，乃使阿聒、勝昆往受之。
HCH_009_001_000394	高麗背約，殺二使，築九城於曷懶甸，以兵數萬來攻。
HCH_009_001_000395	斡賽敗之。
HCH_009_001_000396	斡魯亦築九城，與高麗九城相對。
HCH_009_001_000397	高麗復來攻，斡賽復敗之。
HCH_009_001_000398	高麗約以還逋逃之人，退九城之軍，復所侵故地。
HCH_009_001_000399	九月，乃罷兵。
HCH_009_001_000400	七年己丑，歲不登，減盜賊徵償，振貧乏者。
HCH_009_001_000401	十一年癸巳，康宗卒，年五十三。
HCH_009_001_000402	天會十五年，追諡恭簡皇帝。
HCH_009_001_000403	皇統四年，號其藏曰喬陵。
HCH_009_001_000404	五年，增諡康宗獻敏恭簡皇帝。
HCH_009_001_000405	曰：金之厥初，兄弟三人，亦微矣。
HCH_009_001_000406	熙宗追帝祖宗，定著始祖、景祖、世祖廟，世世不祧。
HCH_009_001_000407	始祖娶六十之婦而生二男一女，豈非天耶。
HCH_009_001_000408	景祖不受遼籍遼印，取雅達「國相」以與其子。
HCH_009_001_000409	世祖既破桓𧹞、散達，遼政日衰，而以太祖屬之穆宗。
HCH_009_001_000410	其思慮豈不深遠矣夫。
