HCH_012_063_000000	洪武三年定朝賀樂章。
HCH_012_063_000362	龍鱗雉尾高，祝聖壽，慶清朝。
HCH_012_063_000363	奏黃童白叟鼓腹謳歌承應曲，《御鑾歌》：雅奏樂昇平，瞻絳闕，集瑤京。
HCH_012_063_000364	黃童白叟喜氣盈，謳歌鼓舞四海寧。
HCH_012_063_000365	金枝結秀，玉樹含英。
HCH_012_063_000366	聽康衢擊壤聲，帝力難名。
HCH_012_063_000367	三奏《感昊德之曲》：帝德運光明，一陽動，萬物生。
HCH_012_063_000368	升中大報蒼璧陳，禮崇樂暢歆太清。
HCH_012_063_000369	星懸紫極，日麗璇庭，乾坤瑞氣盈，海宇安寧。
HCH_012_063_000370	奏《撫安四夷舞曲》，其一，《賀聖朝》：華夷一統，萬國來同。
HCH_012_063_000371	獻方物，修庭貢，遠慕皇風，自南自北，自西自東。
HCH_012_063_000372	望天宮，佳氣鬱重重，四靈畢至，麟鳳龜龍。
HCH_012_063_000373	其二，《殿前歡》：瑞雲晴靄浮宮殿，一脈陽和轉。
HCH_012_063_000374	禮成交泰開周宴，鳳笙調，龍幄展，天心感格人歡忭，四海謳歌遍。
HCH_012_063_000375	其三，《慶豐年》：賴皇天，錫豐年，勤禹稼，力舜田，喜慰三農願。
HCH_012_063_000376	嘉禾秀，瑞麥鮮，賦九州，貢八埏。
HCH_012_063_000377	神倉御廩咸充滿，養民以養賢。
HCH_012_063_000378	其四，《新水令》：聖德精禋格昊穹，大一統。
HCH_012_063_000379	四夷來貢，玉帛捧。
HCH_012_063_000380	文軌同，世際昌隆，共聽輿人頌。
HCH_012_063_000381	其五，《太平令》：誕明禋，天鑑元后，光四表，惠澤周流。
HCH_012_063_000382	來四裔，趨前擁後，獻萬寶，充庭滿囿。
HCH_012_063_000383	稽首頓首，天高地厚，祝聖人，多男福壽。
HCH_012_063_000384	四奏《民樂生之曲》：大報禮初成，象乾德，運皇誠。
HCH_012_063_000385	神州赤縣永清寧，靈雨和風樂太平。
HCH_012_063_000386	陰陽交暢，品物咸亨，元化自流行，允殖羣生。
HCH_012_063_000387	迎膳曲，《水龍吟》：五色祥雲捧玉皇，開閶闔，坐明光。
HCH_012_063_000388	鈞天樂奏，冬日御筵張。
HCH_012_063_000389	文恬武熙，太平氣象，人在唐虞上。
HCH_012_063_000390	進膳曲，《水龍吟》：玉律陽回景運新，燕鎬京，藹皇仁。
HCH_012_063_000391	光昭雲漢，一氣沸韶韺。
HCH_012_063_000392	錦瑟和聲，瑤琴清韻，瞻仰天顏近。
HCH_012_063_000393	進湯曲，《太清歌》：萬方民，樂時雍，鼓舞荷天工，雷行風動。
HCH_012_063_000394	喜今逢，南蠻北貊，東夷西戎，來朝貢。
HCH_012_063_000395	大明宮，星羅斗拱。
HCH_012_063_000396	九重天上六飛龍，五色雲間雙綵鳳，普天率土效華封，允協河清頌。
HCH_012_063_000397	奏《車書會同舞曲》，其一，《新水令》：五雲深護九重城，感洪恩。
HCH_012_063_000398	一人有慶，陽初長，禮方行。
HCH_012_063_000399	帝德文明，表率邦家正。
HCH_012_063_000400	其二，《水仙子》：萬方安堵樂康寧，九域同仁荷聖明。
HCH_012_063_000401	千年撫運承天命，露垂甘，河獻清，見雙岐秀麥連莖，喜靈雪隨冬應，睹祥雲拂曙生，神與化並運同行。
HCH_012_063_000402	五奏《感皇恩之曲》：雙闕五星光，霓旌樹，紫蓋張。
HCH_012_063_000403	璇臺玉曆轉新陽，鈞天廣樂諧宮商。
HCH_012_063_000404	恩深露湛，喜溢霞觴，日月煥龍章，地久天長。
HCH_012_063_000405	奏《表正萬邦舞曲》，其一，《慶太平》：維天眷我聖明，禮圜丘，至德精誠。
HCH_012_063_000406	乾元永清，洪膺景命，休徵應，泰階平。
HCH_012_063_000407	其二，《千秋歲》：聖主乘龍御萬邦，慶雲翔化日重光。
HCH_012_063_000408	羣臣拜舞稱壽觴，載歌《天保》章。
HCH_012_063_000409	其三，《滾繡球》：五雲車，度九重，利見飛龍。
HCH_012_063_000410	耀袞章，火藻華蟲。
HCH_012_063_000411	擊虎敔，考鳧鍾，鼉鼓逢逢。
HCH_012_063_000412	八珍列，九鼎豐隆。
HCH_012_063_000413	堯眉揚彩舜重瞳，萬國咸熙四海雍，齊歌頌聖德神功。
HCH_012_063_000414	其四，《殿前歡》：萬年禮樂中興日，大化睹重熙。
HCH_012_063_000415	河清海宴臻祥瑞，五行順，七政齊，超三邁五貞元會，既醉頌鳧鷖。
HCH_012_063_000416	其五，《天下樂》：萬靈朝拱接清都，享南郊，欽天法祖。
HCH_012_063_000417	願聖人，承乾納祜，中和位育，龜獻範，馬陳圖。
HCH_012_063_000418	其六，《醉太平》：禮樂萬年規，謳歌四海熙。
HCH_012_063_000419	衣冠蹈舞九龍墀，麗正仰南離。
HCH_012_063_000420	紫雲高捧唐虞帝，垂衣天下文明治。
HCH_012_063_000421	鎬鳥岐鳳呈嘉瑞，真個是人在成周世。
HCH_012_063_000422	六奏《慶豐年之曲》：聖人懋承乾，綏萬邦，屢豐年。
HCH_012_063_000423	神倉御廩登天田，明粢鬱鬯祀孔虔。
HCH_012_063_000424	輿情咸豫，協氣用宣，萬古帝圖傳，璧合珠聯。
HCH_012_063_000425	七奏《集禎應之曲》：天保泰階平，寶露降，渾河清，喜禾秀麥集休禎，遐陬絕域喜氣盈。
HCH_012_063_000426	一人有慶，百度惟貞，萬國頌咸寧，麗正重明。
HCH_012_063_000427	八奏《永皇圖之曲》：鎬燕集天京，頌《魚藻》，歌《鹿鳴》。
HCH_012_063_000428	邊陲安堵萬國寧，重譯來庭四海清。
HCH_012_063_000429	咸池日曙，昧谷雲徵，帝座仰前星，豫大豐亨。
HCH_012_063_000430	九奏《樂太平之曲》：皇極永登祥，乾符啓，泰運昌。
HCH_012_063_000431	玉管回春動一陽，金鑾錫燕歌九章，虞庭獸舞，岐山鳳翊，日麗袞龍裳，主聖臣良。
HCH_012_063_000432	迎膳曲，《水龍吟》：香霧氤氳紫閣重，仰天德，瞻帝容。
HCH_012_063_000433	星輝海潤，甘雨間和風。
HCH_012_063_000434	樂比鳶魚，瑞呈麟鳳，永獻《卷阿》頌。
HCH_012_063_000435	進膳曲，其一，《水龍吟》：萬戶千門啓建章，臺階峻，帝座張。
HCH_012_063_000436	三垣九道，北斗玉衡光。
HCH_012_063_000437	元氣調和，雅韻鏗鏘，昭代慶明良。
HCH_012_063_000438	其二，《太清歌》：萬方國，盡來庭。
HCH_012_063_000439	稽首歌帝仁，仰荷生成。
HCH_012_063_000440	振乾綱，陰陽順序，民物樂生。
HCH_012_063_000441	逢明聖，萬年春，永膺休命。
HCH_012_063_000442	華夷蠻僚咸歸正，蒼生至老不知兵，鼓腹含哺囿太平，九有享清寧。
HCH_012_063_000443	奏《天命有德舞曲》，其一，《萬歲樂》：太平天子興隆日，履初長，陽回元吉。
HCH_012_063_000444	醴泉芝草休徵集，曾聞道五星聚室。
HCH_012_063_000445	其二，《賀聖朝》：一人元良，百度維新。
HCH_012_063_000446	握赤符，凝玄應，享太清。
HCH_012_063_000447	大禮方行，祀事孔明感天心，億載恆承慶。
HCH_012_063_000448	明王慎德，四裔咸賓。
HCH_012_063_000449	奏《纓鞭得勝蠻夷隊舞承應曲》，其一，《醉太平》：星華紫殿高，雲氣彤樓繞。
HCH_012_063_000450	九夷重譯梯航到，皇圖光八表。
HCH_012_063_000451	玉宇無塵明月皎，銀河自轉扶桑曉，平平蕩蕩歸王道。
HCH_012_063_000452	百獸舞，鳳鳴簫韶。
HCH_012_063_000453	其二，《看花會》：普天下，都賴吾皇至聖。
HCH_012_063_000454	看玉關頻款，天山已定。
HCH_012_063_000455	四夷效順歸王命。
HCH_012_063_000456	《天保》歌，羣黎百姓。
HCH_012_063_000457	其三，《天下樂》：九重樂奏萬花開，望龍樓，雲蒸霧靄。
HCH_012_063_000458	仰天工，雍熙帝載，臣民歡戴。
HCH_012_063_000459	溥仁恩，遍九垓。
HCH_012_063_000460	其四，《清江引》：黃鐘既奏陽和長，德盛天心貺。
HCH_012_063_000461	人文日月明，國勢山河壯，衢室民謠頻擊壤。
HCH_012_063_000462	奏致語曲，其一，《清江引》：鈞天畢奏日方中，既醉歡聲動。
HCH_012_063_000463	雲章傍袞龍，飆勢翔威鳳，萬方安樂興嘉頌。
HCH_012_063_000464	其二，《千秋歲》：上下交歡燕禮成，一陽奮，萬匯咸亨。
HCH_012_063_000465	風雲會合開明運，紫極轉璇衡。
HCH_012_063_000466	宴畢，百官行禮曲，《朝天子》：文班武班，歡動承明殿，禮成樂備頌聲喧。
HCH_012_063_000467	真咫尺，仰天顏，日照龍筵。
HCH_012_063_000468	風回雉扇翠蕤旋，奉仙鑾，雲間鬥間，五色金章燦。
HCH_012_063_000469	還宮曲，《萬歲樂》：天回北極雲成瑞，望層霄，重華日麗。
HCH_012_063_000470	九垓八極樂雍熙，祝聖壽，萬萬歲。
HCH_012_063_000471	永樂間小宴樂章。
HCH_012_063_000472	一奏《本太初之曲》，《朝天子》：混兮沌兮，水土成元氣，不分南北與東西，未辨天和地。
HCH_012_063_000473	萬象包涵，其中祕密，難窮造化機，是陰陽本體。
HCH_012_063_000474	乃爲之太極，兩儀因而立。
HCH_012_063_000475	二奏《仰大明之曲》，《歸朝歡》：太極分，混然方始見儀形，清浮濁偃乾坤定。
HCH_012_063_000476	日月齊興，照青霄，萬象明。
HCH_012_063_000477	陽須動，陰須靜，陰與陽，皆相應。
HCH_012_063_000478	流行二氣，萬物俱生。
HCH_012_063_000479	三奏《民初生之曲》，其一，《沽美酒》：乾坤清，宇宙寧，六合淨，四維正，萬象原來一氣生。
HCH_012_063_000480	定三才五行，民與物，共成羣。
HCH_012_063_000481	其二，《太平令》：爲一類不分人品，竟生食豈曉庖烹，避寒暑巢居穴遁，披樹葉相尋趁，如何是愛親。
HCH_012_063_000482	世情治生。
HCH_012_063_000483	雖混然各安其性。
HCH_012_063_000484	四奏《品物亨之曲》，《醉太平》：黎民生世間，萬物長塵寰，陰陽交運轉循環，久遠時庶繁。
HCH_012_063_000485	相傳氣候應無間，品物交錯憑誰鑑。
HCH_012_063_000486	望聖人出世整江山，主萬民得安。
HCH_012_063_000487	五奏《御六龍之曲》，其一，《清江引》：人心久仰生聖君，天使人生聖。
HCH_012_063_000488	聖人受天機，體天居中正，御六龍，驛明登九重。
HCH_012_063_000489	其二，《碧玉簫》：君坐神京，海嶽共從新。
HCH_012_063_000490	民仰君恩，聖治有人倫。
HCH_012_063_000491	人品分，萬物增，聖承乾，百福臻。
HCH_012_063_000492	垂法明，尊天命，興後朝，皆從正。
HCH_012_063_000493	六奏《泰階平之曲》，《十二月》：聖乃有言天，天是無言聖。
HCH_012_063_000494	聖人臨正，萬物亨通，恩威盛，社稷安，仁德感，江山定。
HCH_012_063_000495	選用英賢興王政，分善惡賞罰均平。
HCH_012_063_000496	三公九卿，左右股肱，庶事康寧。
HCH_012_063_000497	七奏《君德成之曲》，其一，《十二月》：皇基以興，聖帝修身，奉天體道，聖德愈明。
HCH_012_063_000498	敬天地，勤勞萬民；立法度，上下咸寧。
HCH_012_063_000499	其二《堯民歌》：風俗禮樂厚彝倫，爰興學校進儒經，賢臣良將保朝廷，四野人民頌歡聲。
HCH_012_063_000500	用的是賢英，賢英定太平，寰海皆歸正。
HCH_012_063_000501	八奏《聖道行之曲》，其一，《金殿萬年歡》：三綱既定，九疇復興。
HCH_012_063_000502	聖道如天，嘉禾齊秀，寒暑和平。
HCH_012_063_000503	聖威無邊皇基穩，勝磐石，慶雲生。
HCH_012_063_000504	景星長現，三光輝耀，百穀收成，萬姓安寧。
HCH_012_063_000505	其二，《得勝令》：聖德感皇乾，甘露降山川。
HCH_012_063_000506	萬邦來朝貢，奇珍擺佈全，玉階下鳴鞭。
HCH_012_063_000507	仰聖主，升金殿，丹墀列英賢，贊吾皇，豐稔年。
HCH_012_063_000508	九奏《樂清寧之曲》，其一，《普天樂》：萬邦寧，皇圖正。
HCH_012_063_000509	父君母后，天下咸欽。
HCH_012_063_000510	君治外，永聖明；後治內，長安靜。
HCH_012_063_000511	後聖承乾皆從正，德相傳，聖子神孫。
HCH_012_063_000512	天威浩蕩，江山永固，洪福無窮。
HCH_012_063_000513	其二，《沽美酒》：和氣生，滿玉京；祥煙起，映皇宮。
HCH_012_063_000514	明聖開基整萬民，風雲會帝庭。
HCH_012_063_000515	奏簫韶，九韻成。
HCH_012_063_000516	其三，《太平令》：紫霧隱金鸞綵鳳，祥光罩良將賢臣。
HCH_012_063_000517	玉案列珍羞美醞，寶鼎爇龍涎香噴。
HCH_012_063_000518	至尊永寧，儲嗣守成，賀萬萬歲一人有慶。
HCH_012_063_000519	右二奏至八奏，俱奏百戲承應；第九奏，《魚躍於淵》承應。
HCH_012_063_000520	奉天門宴百官，止用《本太初》、《仰大明》、《民初生》三奏曲，其進酒、進膳樂同。
HCH_012_063_000521	惟百官叩頭禮，用《朝天子》曲。
HCH_012_063_000522	宴畢，導駕還宮，用《御鑾歌》。
HCH_012_063_000523	嘉靖間仁壽宮落成宴饗樂章。
HCH_012_063_000524	一奏《本太初之曲》，《朝天子》：帝誠帝明，寶位基昌命。
HCH_012_063_000525	仙苑開筵歌《鹿鳴》，亭殿天章映。
HCH_012_063_000526	我有嘉賓，鼓瑟吹笙。
HCH_012_063_000527	示周行，昭德音。
HCH_012_063_000528	日升月恆，萬載皇圖正。
HCH_012_063_000529	二奏《仰大明之曲》，《殿前歡》：天保定聖人，多壽多男慶。
HCH_012_063_000530	修和禮樂協中興，麗正重明，如山阜，如岡陵，如川方至莫不增。
HCH_012_063_000531	協氣生，禎祥應，百神受命，萬國來庭。
HCH_012_063_000532	三奏《民初生之曲》，其一，《沽美酒》：黃河清，寶露凝，瑞麥呈，靈鵲鳴，諸福來同仰聖明。
HCH_012_063_000533	喜萬寶告成，佔景緯，泰階平。
HCH_012_063_000534	其二，《太平令》：念農桑，衣食之本；仰君德，獨厚民生。
HCH_012_063_000535	事耕鑿，羣黎百姓。
HCH_012_063_000536	歌《鹿鳴》，神人胥慶。
HCH_012_063_000537	明主宴嘉賓，承筐鼓瑟吹笙，繼自今福增天定。
HCH_012_063_000538	四奏《品物亨之曲》，《醉太平》：瑤宮怡聖顏，閬苑隔人寰。
HCH_012_063_000539	吹笙鼓瑟賓，旨酒天開宴，《鹿鳴》歌舞黃金殿，賴吾皇錫福萬民安，醉歌《天保》歡。
HCH_012_063_000540	五奏《御六龍之曲》，其一，《清江引》：聖主有道樂昇平，宴會延休慶。
HCH_012_063_000541	務本軫民生，弘化凝天命。
HCH_012_063_000542	欣落成，萬載開鴻運。
HCH_012_063_000543	其二，《碧玉簫》：帝重農桑，法駕起明光。
HCH_012_063_000544	麟遊鳳翔，宴陳《天保》章。
HCH_012_063_000545	開玳筵，薦瑤觴，既醉頌洋洋。
HCH_012_063_000546	聖德巍，皇恩蕩，世際唐虞上。
HCH_012_063_000547	進膳曲，其一，《水龍吟》：寶瑟瑤笙鼓吹喧，聖天子，御華筵。
HCH_012_063_000548	南山萬壽，瑞日正中天。
HCH_012_063_000549	百穀豐年，八方珍膳，人樂昇平宴。
HCH_012_063_000550	其二，《太清歌》：祥麥嘉瓜臻瑞，仰荷堯舜主，愛育羣黎，感天意五風十雨。
HCH_012_063_000551	秋報春祈遍爾德，勸農桑，日用衣食。
HCH_012_063_000552	嘉賓和樂開筵地，紅雲捧雕盤珍味。
HCH_012_063_000553	山呼萬歲福無疆，日升川至。
HCH_012_063_000554	其三，《上清歌》：仰賴吾皇，參天兩地凝和氣。
HCH_012_063_000555	四三王，六五帝，四三王，六五帝，國家興，賢才爲上瑞。
HCH_012_063_000556	養萬民，九域熙，百祿咸宜。
HCH_012_063_000557	其四，《開天門》：寶殿輝，龍虎風雲會。
HCH_012_063_000558	瞻丹陛，覲紫微，周詩歌《既醉》，《螽斯》《麟趾》開祥瑞，仰飛龍，在天位。
HCH_012_063_000559	豳風亭宴講官樂章。
HCH_012_063_000560	一奏《本太初之曲》，《朝天子》：九重詔傳，殿閣開秋宴。
HCH_012_063_000561	授衣時節肅霜天，禾稼登場遍。
HCH_012_063_000562	鼓瑟吹笙，昇平重見，工歌《七月》篇。
HCH_012_063_000563	春酒當筵獻，願吾皇萬年，歲歲臨西苑。
HCH_012_063_000564	二奏《仰大明之曲》，《殿前歡》：鳳苑御筵開，黃花映玉階。
HCH_012_063_000565	《鹿鳴》《天保》歌三代，古調新裁，奉君王壽杯。
HCH_012_063_000566	日月明，乾坤大，看年年秋報賽。
HCH_012_063_000567	太平有象，元首明哉。
HCH_012_063_000568	三奏《民初生之曲》，其一，《沽美酒》：熙春陽，化日長。
HCH_012_063_000569	執懿筐，採柔桑。
HCH_012_063_000570	拾繭繰絲有萬箱。
HCH_012_063_000571	染紅黃孔陽，爲公子製衣裳。
HCH_012_063_000572	其二，《太平令》：勤樹藝，歲年豐穰，九十月禾黍登場。
HCH_012_063_000573	爲春酒甕浮新釀，村田樂齊歌齊唱。
HCH_012_063_000574	饗公堂，殺羊舉觴，繼進著兕觥，祝聖壽，萬靈扶相。
HCH_012_063_000575	四奏《品物亨之曲》，《醉太平》：納嘉禾滿場，釀御酒盈缸，公桑蠶績制玄黃，服龍衣袞裳。
HCH_012_063_000576	螽斯蟋蟀諧清唱，水光山色明仙仗，幽風亭殿進霞觴，祝聖壽無疆。
HCH_012_063_000577	五奏《御六龍之曲》，其一，《清江引》：九月風光何處有？
HCH_012_063_000578	鳳苑在龍池右。
HCH_012_063_000579	農夫稼已登，公子衣方授，萬歲君王頻進酒。
HCH_012_063_000580	其二，《碧玉簫》：凡我生民，農桑最苦辛，終歲經營。
HCH_012_063_000581	氣候變冬春，田畯欣，婦子勤。
HCH_012_063_000582	詠豳詩，仰化鈞，場圃新，風雨順。
HCH_012_063_000583	宴御墀，龍顏近。
HCH_012_063_000584	進膳曲，其一，《水龍吟》：養老休農敞御筵，瀉春酒，介耆年，刲羊剪韭，社鼓正闐闐。
HCH_012_063_000585	香粳米顆，升堂拜獻，此樂真堪羨。
HCH_012_063_000586	其二，《太清歌》：九月天，開西苑，宸居無逸殿，講幄張筵。
HCH_012_063_000587	集儒流，雲蒸星炫，璧緯珠躔。
HCH_012_063_000588	睹御製，煥天章，昭回雲漢。
HCH_012_063_000589	堯天舜日民安宴，御廩神倉百穀登，金輝玉燦休徵見，大有豐年。
HCH_012_063_000590	其三，《上清歌》：鳳苑宸居，公桑帝耤今方舉。
HCH_012_063_000591	躬耕蠶，勸士女，躬耕蠶，勸士女。
HCH_012_063_000592	獻羊羔，升堂奏樂舞，葵菽棗壺上珍廚，萬壽山呼。
HCH_012_063_000593	其四，《開天門》：豳風亭，共仰吾皇聖。
HCH_012_063_000594	百穀登，萬國咸寧。
HCH_012_063_000595	民康物阜禎祥應，仰乾運，俯坤靈。
HCH_012_063_000596	隆慶三年大閱禮成迴鑾樂章。
HCH_012_063_000597	《武成之曲》：吾皇閱武成，簡戎旅，壯帝京。
HCH_012_063_000598	龍旗照耀虎豹營，六師雲擁甲冑明。
HCH_012_063_000599	威靈廣播，蠻夷震驚，稽首頌昇平，四海澄清。
HCH_012_063_000600	嘉靖間皇后親蠶宴內外命婦樂章。
HCH_012_063_000601	升座，奏《天香鳳韶之曲》：春雲繚繞芳郊曙，喜乾坤萬象感舒，蘭皋蕙圃迎仙馭。
HCH_012_063_000602	採桑條，攀茂樹。
HCH_012_063_000603	蠶宮繭館親臨御。
HCH_012_063_000604	璧月珠星照太虛，開筵還駐翠旓旟，萬載垂貞譽。
HCH_012_063_000605	進膳曲，《沽美酒》：蠶禮成，鳳輦停，薦霞觴，列雲屏。
HCH_012_063_000606	宮妃世婦仰坤寧。
HCH_012_063_000607	祥雲映紫冥，同祝頌，耀前星。
HCH_012_063_000608	回宮，《御鑾歌》：惟天啓聖皇，君耕耤，後躬桑，身先田織率萬邦。
HCH_012_063_000609	天清地寧民阜康，百穀用成，四夷來王。
HCH_012_063_000610	治化登虞唐，世發禎祥。
HCH_012_063_000611	永樂間定東宮宴饗樂章。
HCH_012_063_000612	一奏《喜千春之曲》，《賀聖朝》：開國承天，聖感極多，總一統，封疆闊。
HCH_012_063_000613	百姓快活，萬物榮光，共沐恩波。
HCH_012_063_000614	仙音韻，合贊昇平詠歌。
HCH_012_063_000615	齊朝拜，千千歲東宮，滿國春和。
HCH_012_063_000616	二奏《永南山之曲》，《水仙子》：洪基永固海波清，盛世明時禮樂興，華夷一統江山靜。
HCH_012_063_000617	民通和，樂太平。
HCH_012_063_000618	贊東宮仁孝賢明，秉鈞衡端正，順乾坤泰亨，坐中華萬世昌寧。
HCH_012_063_000619	三奏《桂枝香之曲》，《蟾宮曲》：曉光融，宴饗春宮，日朗風和，喜氣蔥蔥。
HCH_012_063_000620	鎮領檯樞，規宏綱憲，禮節至公。
HCH_012_063_000621	事聖上柔聲婉容，問安寧勤孝虔恭。
HCH_012_063_000622	果斷寬洪，剛健文明，聖德合同。
HCH_012_063_000623	四奏《初春曉之曲》，《小梁州》：端拱嚴宸事紫微，秉運璇璣，四時百物總相宜。
HCH_012_063_000624	仰賴明君德，大業勝磐石。
HCH_012_063_000625	皇儲仁孝明忠義，美遐方順化朝儀。
HCH_012_063_000626	孝能歡慈愛心，敬篤上尊卑意，禮上和下睦民，鼓舞樂雍熙。
HCH_012_063_000627	五奏《乾坤泰之曲》，《滿庭芳》：春和玳筵，安邦興國，欽聖尊賢，文英武烈於民便。
HCH_012_063_000628	禮樂成全，享大業中庸不偏，順天常節儉爲先，達文獻嚴儀訓典，孝敬億千年。
HCH_012_063_000629	六奏《昌運頌之曲》，《喜秋風》：文武安，軍民樂。
HCH_012_063_000630	宴文華，會班僚，五雲齊動鈞天樂。
HCH_012_063_000631	賀春宮，贊皇朝。
HCH_012_063_000632	右二奏至六奏，俱奏百戲承應。
HCH_012_063_000633	七奏《泰道開之曲》，《沽美酒》：布春風，滿畫樓，對嘉景，鳳凰洲。
HCH_012_063_000634	高捧金波碧玉甌，設威儀左右，分品從，列公侯。
HCH_012_063_000635	其二，《太平令》：效聖上誠心勤厚，主宗器嚴備《春秋》，諧律呂仙音齊奏，欽王政皇天保佑。
HCH_012_063_000636	拜舞頓首，贊祝進酒，千千歲康寧福壽。
HCH_012_063_000637	迎膳樂曲，《水龍吟》：方響笙闉鼓樂喧，排寶器，開玳筵。
HCH_012_063_000638	鸞儀旌工，錦繡景相連。
HCH_012_063_000639	簪纓趨進，皆來朝見，春滿文華殿。
HCH_012_063_000640	升座、還宮、百官行禮，奏《千秋歲曲》：堯年舜日勝禹周，慶雲生繚繞鳳樓。
HCH_012_063_000641	風調雨順五穀收，萬民暢歌謳。
HCH_012_063_000642	朔望朝參同。
