HCH_013_051_000000	世宗嘉靖九年二月，給事中夏言請更郊祀。
HCH_013_051_000199	十一月，詔天下臣民得祀始祖，夏言據程頤議為請也。
HCH_013_051_000200	十二月，九廟成，詔天下。
HCH_013_051_000201	帝乃定五年一禘，祀皇初祖於太廟，以太祖配。
HCH_013_051_000202	每立春特享祖宗於羣廟，三時合享於太廟。
HCH_013_051_000203	季冬大祫於太廟。
HCH_013_051_000204	皇考獻皇帝止舉時祀。
HCH_013_051_000205	十七年秋九月，奉太宗文皇帝為成祖，皇考獻皇帝為睿宗，配上帝。
HCH_013_051_000206	十一月，薦大號於天，改昊天上帝稱皇天上帝。
HCH_013_051_000207	二十年夏四月辛酉，九廟災。
HCH_013_051_000208	二十四年夏六月，撤元世祖廟祀及其侑饗木黎華等五人，從給事中陳裴議也。
HCH_013_051_000209	秋七月，太廟成，復同堂異室之制。
HCH_013_051_000210	穆宗隆慶元年，禮官言：「先農之祭，即祈穀遺意。今二祀並行於仲春，不無煩數。宜罷祈穀，於先農壇行事。大享禮亦宜罷。」
HCH_013_051_000211	詔可，惟四郊如舊。
