HCH_009_106_000001	張暐，字明仲，莒州日照縣人。
HCH_009_106_000278	禦史台言：「兵逾潼關、崤、澠，深入重地，近抵西郊。彼知京師屯宿重兵，不復叩城索戰，但以遊騎遮絕道路，而別兵攻擊州縣，是亦困京師之漸也。若專以城守為事，中都之危又將見於今日，況公私蓄積視中都百不及一，此臣等所為寒心也。不攻京城而縱其別攻州縣，是猶火在腹心，撥置於手足之上，均一身也，願陛下察之。請以陝西兵扼拒潼關，與右副元帥蒲察阿裏不孫為掎角之勢，選在京勇敢之將十數人，各付精兵數千，隨宜伺察，且戰且守，複諭河北，亦以此待之。」
HCH_009_106_000279	詔付尚書省，高琪奏曰：「台官素不習兵，備禦方略，非所知也。」
HCH_009_106_000280	遂寢。
HCH_009_106_000281	高琪止欲以重兵屯駐南京以自固，州郡殘破不復恤也。
HCH_009_106_000282	宣宗惑之，計行言聽，終以自斃。
HCH_009_106_000283	未幾，進拜尚書右丞相，奏曰：「凡監察有失糾彈者從本法。若人使入國，私通言語，說知本國事情，宿衛、近侍官、承應人出入親王、公主、宰執之家，災傷闕食，體究不實，致傷人命，轉運軍儲，而有私載，及考試舉人關防不嚴者，並的杖。在京犯至兩次者，台官減監察一等論贖，餘止坐專差者。任滿日議定升降。若任內有漏察之事應的決者，依格雖為稱職，止從平常，平常者從降罰。」
HCH_009_106_000284	制可。
HCH_009_106_000285	高琪請修南京裏城，宣宗曰：「此役一興，民滋病矣。城雖完固，能獨安乎？」
HCH_009_106_000286	初，陳言人王世安獻攻取盱眙、楚州策，樞密院奏乞以世安為招撫使，選謀勇二三人同往淮南，招紅襖賊及淮南宋官。
HCH_009_106_000287	宣宗可其奏，詔泗州元帥府遣人同往。
HCH_009_106_000288	興定元年正月癸未，宋賀正旦使朝辭，宣宗曰：「聞息州透漏宋人，此乃彼界饑民沿淮為亂，宋人何敢犯我？」
HCH_009_106_000289	高琪請伐之以廣疆土。
HCH_009_106_000290	上曰：「朕但能守祖宗所付足矣，安事外討。」
HCH_009_106_000291	高琪謝曰：「今雨雪應期，皆聖德所致。而能包容小國，天下幸甚，臣言過矣。」
HCH_009_106_000292	四月，遣元帥左都監烏古論慶壽、簽樞密院事完顏賽不經略南邊，尋複下詔罷兵，然自是與宋絕矣。
HCH_009_106_000293	興定元年十月，右司諫許古勸宣宗與宋議和，宣宗命古草牒，以示宰臣，高琪曰：「辭有哀祈之意，自示微弱不足取。遂寢。集賢院諮議官呂鑒言：「南邊屯兵數十萬，自唐、鄧至壽、泗沿邊居民逃亡殆盡，兵士亦多亡者，亦以人煙絕少故也。臣嘗比監息州榷場，每場所獲布帛數千匹、銀數百兩，大計布帛數萬匹，銀數千兩，兵興以來俱失之矣。夫軍民有逃亡之病，而國家失日獲之利，非計也。今隆冬冱寒，吾騎得騁，當重兵屯境上，馳書諭之，誠為大便。若俟春和，則利在於彼，難與議矣。昔燕人獲趙王，趙遣辯士說之，不許，一牧豎請行，趙王乃還。孔子失馬，馭卒得之。人無貴賤，苟中事機，皆可以成功。臣雖不肖，願效牧豎馭卒之智，伏望宸斷。」詔問尚書省。高琪曰：「鑒狂妄無稽，但其氣岸可尚，宜付陝西行省備任使。」制可。十二月，胥鼎諫伐宋，語在鼎傳。高琪曰：「大軍已進，無複可議。」遂寢。二年，胥鼎上書諫曰：「錢谷之冗，非九重所能兼，天子總大綱，責成功而已。」高琪曰：「陛下法上天行健之義，憂勤庶務，夙夜不遑，乃太平之階也。鼎言非是。」宣宗以南北用兵，深以為憂，右司諫呂造上章：「乞詔內外百官各上封事，直言無諱。或時召見，親為訪問。陛下博采兼聽，以盡群下之情，
HCH_009_106_000294	天下幸甚。
HCH_009_106_000295	宣宗嘉納，詔集百官議河北、陝西守禦之策。
HCH_009_106_000296	高琪心忌之，不用一言。
HCH_009_106_000297	是時，築汴京城裏城，宣宗問高琪曰：「人言此役恐不能就，如何？」
HCH_009_106_000298	高琪曰：「終當告成，但其濠未及浚耳。」
HCH_009_106_000299	宣宗曰：「無濠可乎？」
HCH_009_106_000300	高琪曰：「苟防城有法，正使兵來，臣等愈得效力。」
HCH_009_106_000301	宣宗曰：「與其臨城，曷若不令至此為善。」
HCH_009_106_000302	高琪無以對。
HCH_009_106_000303	高琪自為宰相，專固權寵，擅作威福，與高汝礪相唱和。
HCH_009_106_000304	高琪主機務，高汝礪掌利權，附己者用，不附己者斥。
HCH_009_106_000305	凡言事忤意，及負材力或與己頡頑者，對宣宗陽稱其才，使幹當于河北，陰置之死地。
HCH_009_106_000306	自不兼樞密元帥之後，常欲得兵權，遂力勸宣宗伐宋。
HCH_009_106_000307	置河北不復為意，凡精兵皆置河南，苟且歲月，不肯輒出一卒，以應方面之急。
HCH_009_106_000308	平章政事英王守純欲發其罪，密召右司員外郎王阿裏、知案蒲鮮石魯剌、令史蒲察胡魯謀之。
HCH_009_106_000309	石魯剌、胡魯以告尚書省都事僕散奴失不，僕散奴失不以告高琪。
HCH_009_106_000310	英王懼高琪黨與，遂不敢發。
HCH_009_106_000311	頃之，高琪使奴賽不殺其妻，乃歸罪於賽不，送開封府殺之以滅口。
HCH_009_106_000312	開封府畏高琪，不敢發其實，賽不論死。
HCH_009_106_000313	事覺，宣宗久聞高琪奸惡，遂因此事誅之，時興定三年十二月也。
HCH_009_106_000314	尚書省都事僕散奴失不以英王謀告高琪，論死。
HCH_009_106_000315	蒲鮮石魯剌、蒲察胡魯各杖七十，勒停。
HCH_009_106_000316	初，宣宗將遷南，欲置颭軍于平州，高琪難之。
HCH_009_106_000317	及遷汴，戒彖多厚撫此軍，彖多輒殺颭軍數人，以至於敗。
HCH_009_106_000318	宣宗末年嘗曰：「壞天下者，高琪、彖多也。」
HCH_009_106_000319	終身以為恨雲。
HCH_009_106_000320	移剌塔不也，東北路猛安人。
HCH_009_106_000321	明昌元年，累官西上閣門使。
HCH_009_106_000322	二年，襲父謀克。
HCH_009_106_000323	泰和伐宋，有功，遙授同知慶州事，權迪列颭詳穩。
HCH_009_106_000324	丁父憂，起複西北路招討判官，改尚輦局使、曹王傅。
HCH_009_106_000325	貞祐二年，遷武甯軍節度使，招徠中都颭軍，無功，平章高琪芘之，召為武衛軍都指揮使。
HCH_009_106_000326	應奉翰林文字完顏素蘭嘗面奏高琪黨比，語在《高琪傳》。
HCH_009_106_000327	尋知河南府事，兼副統軍，徙彰化軍節度使。
HCH_009_106_000328	上言：「盡籍山東、河間、大名猛安人為兵，老弱城守，壯者捍禦。」
HCH_009_106_000329	又言：「河東地險人勇，步兵為天下冠，可盡調以戍諸隘。」
HCH_009_106_000330	從之。
HCH_009_106_000331	自是河東郡縣屯兵少，不可守矣。
HCH_009_106_000332	改知臨洮府事，兼陝西副統軍。
HCH_009_106_000333	貞祐三年十一月，破夏兵於熟羊寨。
HCH_009_106_000334	平章高琪率宰臣入賀曰：「塔不也以少敗眾，蓋陛下威德所致。」
HCH_009_106_000335	宣宗曰：「自古興國皆賴忠賢，今茲立功，皆將率諸賢之力也。」
HCH_009_106_000336	乃以塔不也為勸農使，兼知平涼府事，進階銀青榮祿大夫。
HCH_009_106_000337	四年，伐西夏，攻威、靈、安、會等州。
HCH_009_106_000338	興定元年，知慶陽府事。
HCH_009_106_000339	三年，遷元帥左都監，卒。
HCH_009_106_000340	論曰：高琪擅殺執中，宣宗不能正其罪，又曲為之說，以詔臣下。
HCH_009_106_000341	就其事論之，人君欲誅大臣，而與近侍密謀于宮中，已非其道。
HCH_009_106_000342	謀之不密，又為外臣所知，以告敗軍之將，因殺之以為說，此可欺後世邪？
HCH_009_106_000343	金至南渡，譬之尪羸病人，元氣無幾。
HCH_009_106_000344	琪喜吏而惡儒，好兵而厭靜，沮遷颭之議，破和宋之謀，正猶繆醫，投以烏喙、附子，只速其亡耳。
HCH_009_106_000345	使宣宗於擅殺之日，即能伸大義而誅之，何至誤國如是邪。
