HCH_012_185_000001	李敏賈俊黃紱張悅似鐘曾鑒梁璟徐恪李介黃珂王鴻儒叢蘭吳世忠李敏，字公勉，襄城人。
HCH_012_185_000398	尋言：「吏部遵詔書，請擢用建言詿誤諸臣，而明旨不盡從，非所以示信。失儀被糾，請免送詔獄。畿內征徭繁重，富民規免，他戶代之，宜厘正。」
HCH_012_185_000399	章下所司。
HCH_012_185_000400	進兵科右給事中。
HCH_012_185_000401	都督僉事吳安以傳奉得官，蘭請罷之。
HCH_012_185_000402	時命撥團營軍八千人修九門城濠，蘭言：「臣頃簡營軍，詔許專事訓練，無復差撥，命下未幾，旋復役之，如前詔何。」
HCH_012_185_000403	遂罷遣。
HCH_012_185_000404	遷通政參議。
HCH_012_185_000405	小王子犯大同，命經略紫荊、倒馬諸關塞蹊隧可通敵騎者百十所。
HCH_012_185_000406	正德三年進左通政。
HCH_012_185_000407	明年冬出理延綏屯田。
HCH_012_185_000408	安化王寘鐇反，蘭奏陳十事，中言：「文武官罰米者，鬻產不能償。朝臣謫戍，刑官妄引新例鍛煉成獄，沒其家貲。校尉遍行邊塞，勢焰薰灼，人不自保。」
HCH_012_185_000409	劉瑾大惡之，矯旨嚴責。
HCH_012_185_000410	給事中張瓚、御史汪賜等遂希旨劾蘭。
HCH_012_185_000411	瑾方憂邊事，置不問。
HCH_012_185_000412	數月，瑾誅，進通政使。
HCH_012_185_000413	俄擢戶部右侍郎，督理三邊軍餉。
HCH_012_185_000414	六年，陜西巡撫都御史藍章以四月寇亂移駐漢中。
HCH_012_185_000415	會河套有警，乃命蘭兼管固、靖等處軍務。
HCH_012_185_000416	蘭上言：「陜西起運糧草，數為大戶侵牟，請委官押送。每鎮請發內帑銀數萬，預賣糧草。御史張彧清出田畝，請蠲免子粒，如弘治十八年以前科則。靈州鹽課，請照例開中，召商糴糧。軍士折色，主者多克減，乞選委鄰近有司散給。」
HCH_012_185_000417	從之。
HCH_012_185_000418	是年冬，南畿及河南歲侵，命蘭往振。
HCH_012_185_000419	未赴而河北賊自宿遷渡河，將逼鳳陽。
HCH_012_185_000420	乃命蘭以本官巡視廬、鳳、滁、和，兼理振濟。
HCH_012_185_000421	河南白蓮賊趙景隆自稱宋王，掠歸德，蘭遣指揮石堅、知州張思齊等擊斬之。
HCH_012_185_000422	九月，賊平。
HCH_012_185_000423	論功賚金幣，增俸一級，召還理部事。
HCH_012_185_000424	部無侍郎缺，乃命添註。
HCH_012_185_000425	明年，大同有警，命巡視居庸、龍泉諸關。
HCH_012_185_000426	尋兼督宣、大軍餉，進右都御史，總制宣、大、山東軍務。
HCH_012_185_000427	令內地皆築堡，寇至收保如塞下。
HCH_012_185_000428	寇五萬騎自萬全右衛趨蔚州大掠，又三萬騎入平虜南城，以失事停半歲俸。
HCH_012_185_000429	十年夏，改督漕運，尋兼巡撫江北。
HCH_012_185_000430	中官劉允取佛烏思藏，道蘭境，入謁，辭不見。
HCH_012_185_000431	允需舟五百餘艘、役夫萬餘人，蘭馳疏極陳其害。
HCH_012_185_000432	不報。
HCH_012_185_000433	居四年，以事忤兵部尚書王瓊，解漕務，專任巡撫。
HCH_012_185_000434	寧王宸濠反，蘭移鎮瓜州。
HCH_012_185_000435	十五年，遷南京工部尚書。
HCH_012_185_000436	世宗即位，御史陳克宅劾蘭附江彬。
HCH_012_185_000437	帝以蘭素清謹，釋勿問。
HCH_012_185_000438	蘭遂乞休去。
HCH_012_185_000439	卒，贈太子少保。
HCH_012_185_000440	吳世忠，字懋貞，金溪人。
HCH_012_185_000441	弘治三年進士。
HCH_012_185_000442	授兵科給事中。
HCH_012_185_000443	兩畿及山東、河南、浙江民饑，有詔振恤，所司俟勘覆。
HCH_012_185_000444	世忠極言其弊，因條上興水利、復常平二事，多施行。
HCH_012_185_000445	已，請恤建文朝殉難諸臣，乞賜爵謚，崇廟食，且錄其子孫，復其族屬，為忠義勸。
HCH_012_185_000446	章下禮官，寢不行。
HCH_012_185_000447	尚書王恕被訐求去，上疏請留之。
HCH_012_185_000448	壽寧侯張鶴齡求勘河間賜地，其母金夫人復求不已。
HCH_012_185_000449	帝命遣使，世忠言：「侯家仰托肺腑，豈宜與小民爭尺寸？命部勘未已，內臣繼之。內臣未已，大臣又繼之。剝民斂怨，非國家福，龍非外戚之福。」
HCH_012_185_000450	不聽。
HCH_012_185_000451	大同總兵官神英、副總兵趙昶等，因馬市令家人以違禁彩繒易馬，番人因闌入私易鐵器。
HCH_012_185_000452	既出塞，復潛兵掠蔚州，陷馬營，轉剽中東二路。
HCH_012_185_000453	英等擁兵不救，巡撫劉瓛、鎮守中官孫振又不以實聞。
HCH_012_185_000454	十一年，事發，世忠往勘。
HCH_012_185_000455	上疏備陳大同邊備廢馳、士卒困苦之狀。
HCH_012_185_000456	因極言英、瓛等貪利畏敵，蕩無法度。
HCH_012_185_000457	英落職，瓛、振召還，昶及遊擊劉淮、參將李嶼等俱逮問。
HCH_012_185_000458	已而瓛改大理少卿，昶以大理丞吳一貫覆訁獻僅鐫級。
HCH_012_185_000459	世忠復極論瓛罪，且詆一貫，帝皆不問。
HCH_012_185_000460	闕里文廟災，陳八事，不能盡用。
HCH_012_185_000461	寇犯延綏、大同，世忠言：「國初設七十二衛，軍士不下百萬。近軍政日壞，精卒不能得一二萬人。此兵足憂也。太倉之儲，本以備軍。近支費日廣，移用日多。倘興師十萬，犒賜無所取給。此食足憂也。正統己巳之變尚有石亨、楊洪，邇所用李杲、阮興、趙昶、劉淮之屬，先後皆敗。今王璽、馬昇又以失事告。此將帥足憂也。國家多事，大臣有以鎮之。邇者忠正多斥，貪庸獲存。既鮮匡濟之才，又昧去就之節，安能懾強敵壯國勢乎？此任人足憂也。政多舛乖，民日咨怨。京軍敝力役，京民苦催科，畿甸覬恩尤切。顧使不樂其生至此，臨難誰與死守？此民心足憂也。天變屢征，火患頻發。雲南地震壓萬餘家，大同馬災踣二千匹。此天意足憂也。願順好惡以收人心，肅念慮以回天意，遣文武重臣經略宣、大，以飭邊防。策免諸臣不肖者，而起素有才望，如何喬新、劉大夏、倪嶽、戴珊、張敷華、林俊諸人，以任國事。則賊將望風遠循，而邊境可無憂矣。」
HCH_012_185_000462	帝以言多詆毀，切責之。
HCH_012_185_000463	尋乞大同增置臺堡，以閑田給軍耕墾，不征其稅。
HCH_012_185_000464	江西歲饑盜起，請簡巡撫，黜有司貪殘者。
HCH_012_185_000465	又請築京師外城。
HCH_012_185_000466	所司多從其議。
HCH_012_185_000467	再遷吏科左給事中，擢湖廣參議，坐事降山東僉事。
HCH_012_185_000468	正德四年閏九月召為光祿少卿，旋改尚寶司卿。
HCH_012_185_000469	其年冬，與通政叢蘭等出理邊屯，世忠往薊州。
HCH_012_185_000470	明年奏言：「占種盜賣，積弊已久。若一一究問，恐人情不安，請量為處分。」
HCH_012_185_000471	從之。
HCH_012_185_000472	劉瑾敗，言官劾其嘗請清核屯田，助瑾為虐。
HCH_012_185_000473	世忠故方鯁，朝議寬之，得免。
HCH_012_185_000474	再遷大理少卿。
HCH_012_185_000475	八年擢右僉都御史巡撫延綏。
HCH_012_185_000476	寇在河套，逐之失利，乃引疾歸。
HCH_012_185_000477	贊曰：明至英宗以後，幸門日開。
HCH_012_185_000478	傳奉請乞，官冗役繁，用度奓汰，盛極孽衰，國計坐絀。
HCH_012_185_000479	李敏諸人斤斤為國惜財，抵抗近幸，以求紓民。
HCH_012_185_000480	然涓滴之助，無補漏卮。
HCH_012_185_000481	國家當承平殷阜之世，侈心易萌。
HCH_012_185_000482	近習乘之，糜費日廣。
HCH_012_185_000483	《易》曰：「節以制度，不傷財，不害民」，又曰「不節若，則嗟若」，此恭儉之主所為凜凜也。
