HCH_012_318_000001	太平，漢屬交阯，號麗江。
HCH_012_318_000319	十七年，都指揮使耿良奏：「田州知府岑堅、泗州知州岑善忠率其土兵，討捕瑤寇，多樹功績。臣欲令選取壯丁各五千人，立二衛，以善忠之子振，堅之子永通為千戶，統眾守禦，且耕且戰，此古人以蠻攻蠻之術也。」
HCH_012_318_000320	詔行其言。
HCH_012_318_000321	二十年，堅遣子思恩知州永昌朝貢，如例給賜。
HCH_012_318_000322	永樂元年，堅死，子永通襲。
HCH_012_318_000323	永通，上隆州知州也，州以瓊代，而己襲父職。
HCH_012_318_000324	正統八年，賜知府岑紹誥命，並封贈其父母妻。
HCH_012_318_000325	天順元年，田州頭目呂趙偽稱敵國大將軍，張旗幟，鳴鉦鼓，率眾劫掠南丹州，又據向武州。
HCH_012_318_000326	武進伯朱瑛以聞，兵部請命瑛及土官岑瑛剿捕。
HCH_012_318_000327	三年，巡撫葉盛奏：「田州叛目呂趙勢愈獗，殺知府岑鑒，占據地方，偽稱太平王，圖謀岑氏宗族，冒襲知府職事。」
HCH_012_318_000328	帝命總兵速討。
HCH_012_318_000329	四年，巡按御史吳禎奏：「奉敕剿捕反賊呂趙，選調官軍土兵，攻破功饒、婪鳳二關，直搗府城。呂趙攜妻子，挾知州岑鐸等宵遁。官軍追至雲南富州，奪回鐸等及其子若婿。斬首四十九級，賊眾悉降。趙以數騎走鎮安府，追及之，斬趙及其子四人，從賊十八人，獲其妻孥及偽太平王木印、無敵將軍銅印，並鳳旗盔甲等物。復委知府岑鏞仍掌府事，撫安人民。」
HCH_012_318_000330	田州平，帝遣使賫敕獎諭禎等，並敕鏞謹守法度，保全宗族。
HCH_012_318_000331	成化元年，遣兵科給事中王秉彜賫敕諭鏞，並賜銀幣，以兵部言其所部土官狼兵，屢調剿有勞，且有事於大藤峽也。
HCH_012_318_000332	二年，總兵官趙輔奏鏞從征有功，請給誥命，旌其父母並妻，從之。
HCH_012_318_000333	五年，復以輔言，予鏞官誥。
HCH_012_318_000334	十六年，田州頭目黃明聚眾為亂，知府岑溥走避思恩。
HCH_012_318_000335	總督朱英調參將馬義率軍捕明，明敗走，為恩城知州岑欽所執，並族屬誅之。
HCH_012_318_000336	已，溥復與欽交惡。
HCH_012_318_000337	欽攻奪田州，逐溥，殺五十餘家。
HCH_012_318_000338	時泗城州岑應方恃兵強，復黨欽，殺擄人民二萬六千餘，與欽分割田州而據其地。
HCH_012_318_000339	弘治三年，總制遣官護溥之子猇入田，為欽所遏，居潯州。
HCH_012_318_000340	按察使陶魯率官軍次南寧，欽拒敵，敗走。
HCH_012_318_000341	而應復援之入城，陳兵以備。
HCH_012_318_000342	巡撫秦纮請合貴州、湖廣及兩廣兵剿之，欽勢蹙，乞兵於應，遂匿應所，總鎮官因檄應捕欽。
HCH_012_318_000343	欽從應飲，殺應父子於坐，收其兵以拒官軍。
HCH_012_318_000344	已而應弟岑接佯以兵送欽至田州界，亦殺其父子以報。
HCH_012_318_000345	事聞，廷議仍命溥還田州。
HCH_012_318_000346	九年，總督鄧廷瓚言溥前以罪革職，比隨征有功，乞復其冠帶，領土兵赴梧州聽調，從之。
HCH_012_318_000347	十二年，溥為子猇所弒，猇亦自殺。
HCH_012_318_000348	次子猛方四歲，溥母岑氏及頭目黃驥護之，赴制府告襲。
HCH_012_318_000349	歸至南寧，頭目李蠻來迎。
HCH_012_318_000350	驥慮蠻奪己權，殺其使。
HCH_012_318_000351	蠻率兵至舊田州，驥懼，誣蠻將為變，乞以兵納，乃調思恩岑浚率兵衛猛。
HCH_012_318_000352	浚受驥賂，納其女，挾猛，約分其六甲地。
HCH_012_318_000353	比至田州，蠻拒不納，驥復以猛奔思恩，幽之。
HCH_012_318_000354	事覺，廷瓚檄副總兵歐磐等攝浚，久乃出猛，置於會城。
HCH_012_318_000355	得奏，命猛襲知府。
HCH_012_318_000356	驥、浚怒其事之不由己出也，要泗城岑接、東蘭韋祖鋐各起兵攻蠻。
HCH_012_318_000357	接兵二萬先入田州，殺掠男女八百餘人，驅之溺水死者無算，括府庫，放兵大掠，城郭為墟。
HCH_012_318_000358	浚兵二萬攻舊田州，據之，殺掠男女五千三百餘人，蠻逃去。
HCH_012_318_000359	副總兵歐磐、參政武清等詣田州府勘治，遣兵送猛還府。
HCH_012_318_000360	驥懼罪，匿浚家，有司請治浚罪。
HCH_012_318_000361	初，蠻之迎猛也，無他念，及猛在外，蠻守土以待其歸。
HCH_012_318_000362	驥爭權首亂，浚、接、祖鋐黨惡，以致茲變。
HCH_012_318_000363	清受浚賂，曲右之，且誣蠻占據府治，阻兵弄權，事竟不直。
HCH_012_318_000364	於是廷瓚言思恩岑浚罪惡，正在逐捕，而田州岑猛亦宜乘此區畫，降府為州，毋基異日尾大之患，從之。
HCH_012_318_000365	十八年，廷議以思、田既平，宜設流官；岑猛世濟兇惡，致陷府治，宜降授千戶，而遴選才望者假以方面職銜，守田州，仍賜敕以重其權。
HCH_012_318_000366	帝然之，於是以平樂知府謝湖為右參政，掌府事。
HCH_012_318_000367	時岑猛已降福建平海衛千戶，遷延不行。
HCH_012_318_000368	及湖至，復陳兵自衛，令祖母岑氏奏乞於廣西極邊率部下立功，以便祭養，詔總鎮官詳議以聞。
HCH_012_318_000369	總督陳金奏：「猛據舊巢，要求府佐，不赴平海衛。參政謝湖不即赴任，為猛所拒，納饋遺而徇其要求，宜逮間。」
HCH_012_318_000370	時猛遣人重賂劉瑾，得旨，留猛而褫湖，並及前撫潘蕃、劉大夏，猛竟得以同知攝府事。
HCH_012_318_000371	猛撫輯遺民，兵復振，稍復侵旁郡自廣。
HCH_012_318_000372	嘗言督撫有調發，願立功，冀復舊職。
HCH_012_318_000373	會江西盜起，都御史陳金檄猛從征，猛所至剽掠。
HCH_012_318_000374	然以賊平故論功，遷指揮同知。
HCH_012_318_000375	非猛初意，頗犯望。
HCH_012_318_000376	正德十五年，猛奏：「田州土兵每征調，輒許戶留一二丁耕種，以供常稅。其久勞於外者，乞量振給，免其輸稅。」
HCH_012_318_000377	從之。
HCH_012_318_000378	嘉靖二年，猛率兵攻泗城，拔六寨，遂克州治。
HCH_012_318_000379	岑接告急於軍門，言猛無故興兵攻寨。
HCH_012_318_000380	猛言接非岑氏後，據其祖業，欲得所侵地。
HCH_012_318_000381	時方有上思州之役，征兵皆不至，總督張嵿以狀聞。
HCH_012_318_000382	四年，提督盛應期、巡按謝汝儀議大征猛，條征調事宜，詔報可。
HCH_012_318_000383	而應期以他事去，詔以都御史姚鏌代，命懸金購猛。
HCH_012_318_000384	然鏌知猛無反心，猛方奏辯，鏌亦欲緩師。
HCH_012_318_000385	而巡按謝汝儀與鏌隙，乃誣鏌之子淶納猛萬金，廉得淶書獻之。
HCH_012_318_000386	鏌惶恐，乃再疏請征。
HCH_012_318_000387	於是部趣鏌克期進，鏌偕總兵官朱麒發兵八萬，以都指揮沈希儀、張經等統之，分道並入。
HCH_012_318_000388	猛聞大兵至，令其下毋交兵，裂帛書冤狀，陳軍門乞憐察。
HCH_012_318_000389	鏌不聽，督兵益急，沈希儀斬猛長子邦彥於工堯隘。
HCH_012_318_000390	猛懼，謀出奔，而歸順州知州岑璋，猛婦翁也，其女失愛，璋欲藉此報猛，乃甘言誘猛走歸順，鴆殺之，斬首以獻。
HCH_012_318_000391	六年，鏌以田州平，告捷京師，乃請改田州為流官，並陳善後七事，詔俱從之。
HCH_012_318_000392	鏌留參議汪必東、僉事申惠、參將張經以兵萬人鎮其地，知府王熊兆署府事。
HCH_012_318_000393	會必東、惠皆移疾他駐，惟經、熊兆在府，兵勢分，防守稍懈。
HCH_012_318_000394	於是逆黨盧蘇、王受等乃為偽印，誑言猛在，且借交阯兵二十萬，以圖興復。
HCH_012_318_000395	蠻民信之，聚眾薄府城。
HCH_012_318_000396	經出擊，兵少不敵，欲引還，而城中陰為內應，呼噪四出，官軍腹背受攻，力戰不支，突圍渡江走，賊逼其後，爭舟溺死者甚眾。
HCH_012_318_000397	賊沿江置闌索，伏藥弩，夾岸並起。
HCH_012_318_000398	官軍且戰且行，抵向武，失士卒三四百人。
HCH_012_318_000399	賊遂入據府城，燒倉粟以萬計。
HCH_012_318_000400	御史石金上其事，頗委罪前撫盛應期生事召釁，而給事中鄭自璧因請仍檄湖廣永順、保靖兵並力剿賊。
HCH_012_318_000401	帝以四方兵數萬方歸休，豈可復調，命再計機宜以聞。
HCH_012_318_000402	時盧蘇等雖據府叛，佯聽撫，遣人迎署府事王熊兆。
HCH_012_318_000403	而其黨王受等糾眾萬餘，攻據思恩城，執知府吳期英、守備指揮門祖蔭等。
HCH_012_318_000404	已而釋期英等，亦投牒上官，願聽招撫。
HCH_012_318_000405	都御史姚鏌以兵未集，姑受之以緩其謀。
HCH_012_318_000406	遣諜者檄東蘭、歸順、鎮安、泗城、向武諸土官，各勒兵自效，且責失事守巡參將等官立功自贖。
HCH_012_318_000407	復疏調湖廣永、保土兵，江西汀、贛畬兵，俱會於南寧，並力進剿。
HCH_012_318_000408	帝以蠻亂日久，鎮巡官受命大征，未及殄絕，輒奏捷散兵，使余孽復滋，罪不容逭。
HCH_012_318_000409	姑赦前過，益圖新功。
HCH_012_318_000410	乃起原任兵部尚書新建伯王守仁總督軍務，同鏌討之。
HCH_012_318_000411	時受既入思恩，封府庫，以賊兵守之，而自攻武緣。
HCH_012_318_000412	守巡官鄒輗等率兵至思恩，思恩千夫長韋貴、徐伍等遣壯士由間道入城為內應，夜引官兵奪門，殺賊二十餘人，收府印及庫物，護送期英於賓州，因招撫城中未下者。
HCH_012_318_000413	時受攻武緣甚急，參將張經堅壁拒守。
HCH_012_318_000414	鎮守頭目許用與戰，斬其渠帥一人。
HCH_012_318_000415	賊見援兵大集，乃遁去。
HCH_012_318_000416	鏌以聞。
HCH_012_318_000417	帝以田州、思恩賊鋒雖挫，首惡未擒，仍令守仁亟督兵剿撫。
HCH_012_318_000418	守仁威名素重，及督軍務，調兵數萬人至，諸蠻心懾。
HCH_012_318_000419	守仁至南寧，道中見受等勢盛，度亦未可卒滅，上疏極陳用兵利害。
HCH_012_318_000420	兵部議以守仁所見未確，復陳五事，令守仁詳計其宜，於是守仁又疏云：臣奉命於去年十二月至廣西平南縣，與巡按御史石金及藩臬諸將領等會議。
HCH_012_318_000421	思、田禍結兩省，已逾二年。
HCH_012_318_000422	今日必欲窮兵盡剿，則有十患。
HCH_012_318_000423	若罷兵行撫，則有十善。
HCH_012_318_000424	臣與諸臣，攄心極論，今日之局，撫之為是。
HCH_012_318_000425	臣抵南寧，遂下令盡撤調集防守之兵。
HCH_012_318_000426	數日內解歸者數萬，惟湖兵數千，道阻遠，不易即歸，仍使分留南寧，解甲休養，待間而動。
HCH_012_318_000427	而盧蘇、王受先遣其頭目黃富等訴告，願得歸境投生，乞宥一死。
HCH_012_318_000428	臣等諭以朝廷威德，令賫飛牌，歸巢曉諭，期以速降無死。
HCH_012_318_000429	蘇、受等得牌，皆羅拜踴躍，歡聲雷動。
HCH_012_318_000430	尋率眾至南寧城下，分屯四營。
HCH_012_318_000431	蘇、受等囚首自縛，與頭目數百人赴軍門請命。
HCH_012_318_000432	臣等復諭之曰：「朝廷既赦爾罪，爾等擁眾負固，騷動一方。若不示罰，何以雪憤？」
HCH_012_318_000433	於是下蘇、受於軍門，各杖一百，乃解其縛。
HCH_012_318_000434	又諭之曰：「今日宥爾死者，朝廷好生之德；必杖爾者，人臣執法之義。」
HCH_012_318_000435	眾皆叩首悅服，願殺賊立功。
HCH_012_318_000436	臣隨至其營，撫定其眾七萬餘人，復委布政使林富等安插，於二月二十六日悉命歸業。
HCH_012_318_000437	是皆皇上至孝達順之德，神武不殺之威，未期月而蠻民率服，不折一矢，不傷一人；而全活數萬生靈，即古舞幹之化，奚以加焉。
HCH_012_318_000438	疏聞，帝嘉之，遣行人賫敕獎賚。
HCH_012_318_000439	於是守仁復疏言：思、田久構禍，荼毒兩省，已逾二年。
HCH_012_318_000440	兵力盡於哨守，民脂竭於轉輸，官吏疲於奔走。
HCH_012_318_000441	地方臲卼，如破壞之舟，漂泊風浪，覆溺在目，不待智者而知之矣。
HCH_012_318_000442	必欲窮兵雪憤，以殲一隅，無論不克，縱使克之，患且不測。
HCH_012_318_000443	況田州外捍交阯，內屏各郡，深山絕谷，瑤、僚盤據。
HCH_012_318_000444	使盡誅其人，異日雖欲改土為流，誰為編戶？
HCH_012_318_000445	非惟自撤其藩籬，而拓土開疆以資鄰敵，非計之得也。
HCH_012_318_000446	今岑氏世效邊功，猛獨詿誤觸法，雖未伏誅，聞已病死。
HCH_012_318_000447	臣謂治田州非岑氏不可，請降田州府為田州，而官其子，以存岑氏之後。
HCH_012_318_000448	查猛有二子，長邦佐，自幼出繼為武靖州知州。
HCH_012_318_000449	武靖當瑤賊之沖，邦佐才足制馭，宜仍舊職。
HCH_012_318_000450	而今所建州，請以猛幼子邦相授吏目，署州事，俟後遞升為知州，以承岑氏之祀。
HCH_012_318_000451	設土巡檢諸司，即以盧蘇、王受等九人為之，以殺其勢。
HCH_012_318_000452	添設田寧府，統以流官知府，以總其權。
HCH_012_318_000453	從之。
HCH_012_318_000454	惟以守仁所奏岑猛子，與撫按所報異，令再覆。
HCH_012_318_000455	於是守仁言：「臣初議立岑氏後，該府土目及耆老俱言岑猛本有四子：長邦佐，妻張氏出；次邦彥，妾林氏出；次邦輔，外婢所生；次邦相，妾韋氏出。猛嬖溺林氏而張失愛，故邦佐自幼出繼武靖。邦彥既死，邦佐得武靖民心，更代亦難其人。欲立邦輔，土目謂外婢所生，名實不正。惟邦相系猛正派，質貌厚重，堪繼岑氏。故當時直謂猛子存者二人，亦所以正名慎始，杜後日之爭也。」
HCH_012_318_000456	疏上，如議行。
HCH_012_318_000457	八年，守仁於思、田既議設流官，又議移南丹衛於八寨，改思恩府城於荒田，改設鳳化縣治於三里，添設流官縣於思龍，增築五鎮城堡於五屯。
HCH_012_318_000458	及侍郎林富繼之，又言：「田州界居南寧、泗城，交通雲、貴、交阯，為備非一，不宜改設流官。南丹衛設在賓州，既不足以遙制八寨，遷八寨又不得以還護賓州。為今日計，獨上林之三里，守仁所議設縣者，可遷南丹衛於此。夫設縣則割賓州之地以益思恩，是顧彼而失此也。遷衛則扼八寨之吭以還護賓州，是一舉而兩得也。然不宜屬田州，而仍屬南寧為便。」
HCH_012_318_000459	其議與守仁頗有異同，詔從富言。
HCH_012_318_000460	初，邦相兄邦彥有子芝，依大母林氏、瓦氏居，官給養田。
HCH_012_318_000461	其後邦相惡蘇專擅，密與頭目盧玉等謀誅蘇及芝。
HCH_012_318_000462	蘇知之，會邦相又侵削二氏原食莊田，二氏遂與蘇合謀，以芝奔梧州，赴軍門告襲，蘇又為芝疏請。
HCH_012_318_000463	尋令人刺邦相，邦相覺，殺行刺者。
HCH_012_318_000464	而蘇遂伏兵殺盧玉等，以兵圍邦相宅，誘邦相出，乘夜與瓦氏縊殺之。
HCH_012_318_000465	巡按御史曾守約以聞，帝命守臣亟為勘處。
HCH_012_318_000466	蘇之殺邦相也，歸順、鎮安、泗城、向武諸土官群起構難，互相訐奏。
HCH_012_318_000467	當事者謂以岑芝承襲未定，田州無主，致令鄰封覬覦，當給劄付令芝管事。
HCH_012_318_000468	蘇又請早給芝冠帶，以撫田州，而自悔罪，願裹糧立功，及追補累年所逋糧賦。
HCH_012_318_000469	巡按御史諸演疏聞，部議以土蠻自相仇殺，當從末減，皆令立功，方準贖罪復官。
HCH_012_318_000470	三十二年，芝死，子大壽方四歲。
HCH_012_318_000471	土人莫葦冒岑姓，及土官岑施，相煽構亂，提督郎槚奏令思恩守備張啟元暫駐田州鎮之，報可。
HCH_012_318_000472	三十四年，田州土官婦瓦氏以狼兵應調至蘇州剿倭，隸於總兵俞大猷麾下。
HCH_012_318_000473	以殺賊多，詔賞瓦氏及其孫男岑大壽、大祿銀幣，余令軍門獎賞。
HCH_012_318_000474	四十二年以平廣西瑤、僮功，準岑大祿實受知州職。
HCH_012_318_000475	泰昌元年，總督許弘綱奏：「田州土官岑懋仁肆惡起釁，窺占上林，納叛人黃德隆等，糾眾破城，擅殺土官黃德勛，擄其妻女印信，乞正其罪。」
HCH_012_318_000476	詔令岑懋仁速獻印，執送諸犯，聽按臣分別正法，違則進剿。
HCH_012_318_000477	天啟二年，巡撫何士晉請免懋仁逮問，各率土兵援剿，有功優敘，從之。
HCH_012_318_000478	田州世岑氏，改流者再，而終不果。
HCH_012_318_000479	盧蘇再叛弒主，終逸於罰，論者以為失刑雲。
HCH_012_318_000480	上林在田州東，宋置，隸橫山寨。
HCH_012_318_000481	元屬田州路。
HCH_012_318_000482	洪武二年，土官黃嵩歸附，授世襲知縣，流官典史佐之。
HCH_012_318_000483	恩城州，唐置，宋、元仍舊。
HCH_012_318_000484	明初因之，隸廣西布政司，朝貢如例。
HCH_012_318_000485	成化十九年，知州岑欽，田州土官岑溥叔也，相仇殺。
HCH_012_318_000486	溥敗，欽入田州，焚府治，大肆殺掠。
HCH_012_318_000487	溥訴於制府，下三司官鞫理。
HCH_012_318_000488	弘治三年，欽復入田州，與泗城土官岑應分據其地。
HCH_012_318_000489	巡撫秦纮請調兵剿之。
HCH_012_318_000490	兵部言兵不可輕動，惟令守臣諭令應縛欽自贖。
HCH_012_318_000491	五年，欽走岑應所借兵，總鎮檄應捕之，欽遂殺應父子。
HCH_012_318_000492	已而應弟接佯以兵送欽，亦殺欽父子。
HCH_012_318_000493	有司以恩城宜裁革，從之，州遂廢。
HCH_012_318_000494	上隆州，宋置，隸橫山寨。
HCH_012_318_000495	元屬田州路，明因之。
HCH_012_318_000496	後改隸布政司。
HCH_012_318_000497	洪武十九年，上隆知州岑永通遣從子岑安來貢，賜綺帛鈔錠。
HCH_012_318_000498	洪熙元年，土官知州岑瓊母陳氏來朝，貢馬，賜鈔幣。
HCH_012_318_000499	宣德四年以陳氏為知州。
HCH_012_318_000500	時瓊已卒，無子，土人訴於朝，願得陳氏襲職，故有是命。
HCH_012_318_000501	都康州，宋置，隸橫山寨。
HCH_012_318_000502	元屬田州路。
HCH_012_318_000503	洪武間，為蠻僚所據。
HCH_012_318_000504	三十二年復置，隸布政司。
HCH_012_318_000505	土官馮姓。
HCH_012_318_000506	其界東南抵龍英，西至鎮安，北至向武。
